allocation,total_pair_presentations,pair_loss_steps,mean_universal_biological_score,gain_vs_50x128
50x128,6400,100,0.40805101944133637,0.0
100x64,6400,100,0.42433823766186834,0.016287218220531974
200x32,6400,100,0.4259158241562545,0.017864804714918137
