noise_level,seed,strategy,grade,precision,recall,f1,support
0.0,7,cross_site_blend_50,0,0.5668789808917197,0.8811881188118812,0.689922480620155,101
0.0,7,cross_site_blend_50,1,0.4444444444444444,0.31683168316831684,0.3699421965317919,101
0.0,7,cross_site_blend_50,2,0.43243243243243246,0.32323232323232326,0.3699421965317919,99
0.0,7,cross_site_blend_50,3,0.41284403669724773,0.44554455445544555,0.42857142857142855,101
0.0,7,cross_site_blend_50,4,0.4868421052631579,0.37,0.42045454545454547,100
0.0,7,cross_site_blend_50,5,0.5663716814159292,0.6464646464646465,0.6037735849056604,99
0.0,7,cross_site_blend_50,high_grade_4_5,0.7248677248677249,0.6884422110552764,0.7061855670103093,199
0.0,7,cross_site_blend_75,0,0.5714285714285714,0.8712871287128713,0.6901960784313725,101
0.0,7,cross_site_blend_75,1,0.42857142857142855,0.297029702970297,0.3508771929824561,101
0.0,7,cross_site_blend_75,2,0.4084507042253521,0.29292929292929293,0.3411764705882353,99
0.0,7,cross_site_blend_75,3,0.38738738738738737,0.42574257425742573,0.4056603773584906,101
0.0,7,cross_site_blend_75,4,0.48717948717948717,0.38,0.42696629213483145,100
0.0,7,cross_site_blend_75,5,0.5641025641025641,0.6666666666666666,0.6111111111111112,99
0.0,7,cross_site_blend_75,high_grade_4_5,0.7230769230769231,0.7085427135678392,0.7157360406091371,199
0.0,7,cross_site_full,0,0.6,0.8613861386138614,0.7073170731707317,101
0.0,7,cross_site_full,1,0.43243243243243246,0.31683168316831684,0.3657142857142857,101
0.0,7,cross_site_full,2,0.4307692307692308,0.2828282828282828,0.34146341463414637,99
0.0,7,cross_site_full,3,0.39655172413793105,0.45544554455445546,0.423963133640553,101
0.0,7,cross_site_full,4,0.49382716049382713,0.4,0.4419889502762431,100
0.0,7,cross_site_full,5,0.5666666666666667,0.6868686868686869,0.6210045662100456,99
0.0,7,cross_site_full,high_grade_4_5,0.7213930348258707,0.7286432160804021,0.725,199
0.0,7,fedavg,0,0.5743243243243243,0.8415841584158416,0.6827309236947792,101
0.0,7,fedavg,1,0.5161290322580645,0.31683168316831684,0.39263803680981596,101
0.0,7,fedavg,2,0.4,0.5454545454545454,0.46153846153846156,99
0.0,7,fedavg,3,0.5652173913043478,0.38613861386138615,0.4588235294117647,101
0.0,7,fedavg,4,0.5714285714285714,0.4,0.47058823529411764,100
0.0,7,fedavg,5,0.5811965811965812,0.6868686868686869,0.6296296296296297,99
0.0,7,fedavg,high_grade_4_5,0.7754010695187166,0.7286432160804021,0.7512953367875648,199
0.0,42,cross_site_blend_50,0,0.5804195804195804,0.8217821782178217,0.680327868852459,101
0.0,42,cross_site_blend_50,1,0.38961038961038963,0.30303030303030304,0.3409090909090909,99
0.0,42,cross_site_blend_50,2,0.46875,0.45454545454545453,0.46153846153846156,99
0.0,42,cross_site_blend_50,3,0.5,0.38,0.4318181818181818,100
0.0,42,cross_site_blend_50,4,0.5365853658536586,0.43564356435643564,0.4808743169398907,101
0.0,42,cross_site_blend_50,5,0.5905511811023622,0.7425742574257426,0.6578947368421053,101
0.0,42,cross_site_blend_50,high_grade_4_5,0.7272727272727273,0.7524752475247525,0.7396593673965937,202
0.0,42,cross_site_blend_75,0,0.5540540540540541,0.8118811881188119,0.6586345381526104,101
0.0,42,cross_site_blend_75,1,0.37142857142857144,0.26262626262626265,0.3076923076923077,99
0.0,42,cross_site_blend_75,2,0.4583333333333333,0.4444444444444444,0.4512820512820513,99
0.0,42,cross_site_blend_75,3,0.5,0.38,0.4318181818181818,100
0.0,42,cross_site_blend_75,4,0.5421686746987951,0.44554455445544555,0.4891304347826087,101
0.0,42,cross_site_blend_75,5,0.578125,0.7326732673267327,0.6462882096069869,101
0.0,42,cross_site_blend_75,high_grade_4_5,0.7251184834123223,0.7574257425742574,0.7409200968523002,202
0.0,42,cross_site_full,0,0.5540540540540541,0.8118811881188119,0.6586345381526104,101
0.0,42,cross_site_full,1,0.3670886075949367,0.29292929292929293,0.3258426966292135,99
0.0,42,cross_site_full,2,0.4827586206896552,0.42424242424242425,0.45161290322580644,99
0.0,42,cross_site_full,3,0.48148148148148145,0.39,0.430939226519337,100
0.0,42,cross_site_full,4,0.5526315789473685,0.4158415841584158,0.4745762711864407,101
0.0,42,cross_site_full,5,0.5692307692307692,0.7326732673267327,0.6406926406926406,101
0.0,42,cross_site_full,high_grade_4_5,0.7281553398058253,0.7425742574257426,0.7352941176470589,202
0.0,42,fedavg,0,0.5594405594405595,0.7920792079207921,0.6557377049180327,101
0.0,42,fedavg,1,0.4125,0.3333333333333333,0.3687150837988827,99
0.0,42,fedavg,2,0.5393258426966292,0.48484848484848486,0.5106382978723404,99
0.0,42,fedavg,3,0.44155844155844154,0.34,0.384180790960452,100
0.0,42,fedavg,4,0.4782608695652174,0.43564356435643564,0.45595854922279794,101
0.0,42,fedavg,5,0.5583333333333333,0.6633663366336634,0.6063348416289592,101
0.0,42,fedavg,high_grade_4_5,0.6886792452830188,0.7227722772277227,0.7053140096618358,202
0.0,99,cross_site_blend_50,0,0.5217391304347826,0.72,0.6050420168067226,100
0.0,99,cross_site_blend_50,1,0.38,0.38,0.38,100
0.0,99,cross_site_blend_50,2,0.40476190476190477,0.34,0.3695652173913043,100
0.0,99,cross_site_blend_50,3,0.33653846153846156,0.3465346534653465,0.34146341463414637,101
0.0,99,cross_site_blend_50,4,0.36,0.26732673267326734,0.3068181818181818,101
0.0,99,cross_site_blend_50,5,0.54,0.5454545454545454,0.542713567839196,99
0.0,99,cross_site_blend_50,high_grade_4_5,0.68,0.595,0.6346666666666667,200
0.0,99,cross_site_blend_75,0,0.5103448275862069,0.74,0.6040816326530613,100
0.0,99,cross_site_blend_75,1,0.3763440860215054,0.35,0.3626943005181347,100
0.0,99,cross_site_blend_75,2,0.4235294117647059,0.36,0.3891891891891892,100
0.0,99,cross_site_blend_75,3,0.336734693877551,0.32673267326732675,0.3316582914572864,101
0.0,99,cross_site_blend_75,4,0.3333333333333333,0.26732673267326734,0.2967032967032967,101
0.0,99,cross_site_blend_75,5,0.5454545454545454,0.5454545454545454,0.5454545454545454,99
0.0,99,cross_site_blend_75,high_grade_4_5,0.6611111111111111,0.595,0.6263157894736842,200
0.0,99,cross_site_full,0,0.4935064935064935,0.76,0.5984251968503937,100
0.0,99,cross_site_full,1,0.34615384615384615,0.27,0.30337078651685395,100
0.0,99,cross_site_full,2,0.4065934065934066,0.37,0.387434554973822,100
0.0,99,cross_site_full,3,0.3333333333333333,0.3069306930693069,0.31958762886597936,101
0.0,99,cross_site_full,4,0.3132530120481928,0.25742574257425743,0.2826086956521739,101
0.0,99,cross_site_full,5,0.5490196078431373,0.5656565656565656,0.5572139303482587,99
0.0,99,cross_site_full,high_grade_4_5,0.6486486486486487,0.6,0.6233766233766234,200
0.0,99,fedavg,0,0.5031055900621118,0.81,0.6206896551724138,100
0.0,99,fedavg,1,0.38333333333333336,0.23,0.2875,100
0.0,99,fedavg,2,0.44155844155844154,0.34,0.384180790960452,100
0.0,99,fedavg,3,0.3106796116504854,0.31683168316831684,0.3137254901960784,101
0.0,99,fedavg,4,0.3473684210526316,0.32673267326732675,0.336734693877551,101
0.0,99,fedavg,5,0.5047619047619047,0.5353535353535354,0.5196078431372549,99
0.0,99,fedavg,high_grade_4_5,0.655,0.655,0.655,200
0.0,123,cross_site_blend_50,0,0.5524475524475524,0.79,0.6502057613168725,100
0.0,123,cross_site_blend_50,1,0.411214953271028,0.43564356435643564,0.4230769230769231,101
0.0,123,cross_site_blend_50,2,0.4647887323943662,0.32673267326732675,0.38372093023255816,101
0.0,123,cross_site_blend_50,3,0.47619047619047616,0.4,0.43478260869565216,100
0.0,123,cross_site_blend_50,4,0.46511627906976744,0.4,0.43010752688172044,100
0.0,123,cross_site_blend_50,5,0.5636363636363636,0.6262626262626263,0.5933014354066986,99
0.0,123,cross_site_blend_50,high_grade_4_5,0.7040816326530612,0.6934673366834171,0.6987341772151898,199
0.0,123,cross_site_blend_75,0,0.5298013245033113,0.8,0.6374501992031872,100
