noise_level,seed,strategy,site_id,qwk,accuracy,macro_f1,support
0.0,7,cross_site_blend_50,0,0.6833232992173389,0.45555555555555555,0.4457196756113387,270
0.0,7,cross_site_blend_50,1,0.6388384754990926,0.5333333333333333,0.5029239766081871,90
0.0,7,cross_site_blend_50,2,0.7751277683134582,0.5444444444444444,0.5019098548510313,90
0.0,7,cross_site_blend_50,3,0.6032856385797563,0.4868421052631579,0.45294113715166345,76
0.0,7,cross_site_blend_50,4,0.7987837596136648,0.56,0.5343434343434343,75
0.0,7,cross_site_blend_75,0,0.6964393482196741,0.45185185185185184,0.44220024653379264,270
0.0,7,cross_site_blend_75,1,0.6552962298025133,0.5333333333333333,0.5035725514503103,90
0.0,7,cross_site_blend_75,2,0.7996604414261461,0.5333333333333333,0.4902980400825229,90
0.0,7,cross_site_blend_75,3,0.6013141161509115,0.47368421052631576,0.4368035710140974,76
0.0,7,cross_site_blend_75,4,0.8014964116659031,0.5333333333333333,0.5056701468466175,75
0.0,7,cross_site_full,0,0.7074500302846759,0.46296296296296297,0.45348973240652407,270
0.0,7,cross_site_full,1,0.7358834244080146,0.5555555555555556,0.5259387471557856,90
0.0,7,cross_site_full,2,0.7529610829103215,0.5222222222222223,0.48182936874199794,90
0.0,7,cross_site_full,3,0.6451682953311618,0.5,0.4740788840788841,76
0.0,7,cross_site_full,4,0.785176548122988,0.5466666666666666,0.5119555068404174,75
0.0,7,fedavg,0,0.689969604863222,0.4777777777777778,0.46598421012803376,270
0.0,7,fedavg,1,0.6971962616822429,0.6111111111111112,0.6093905676656434,90
0.0,7,fedavg,2,0.7878260869565217,0.5888888888888889,0.5611243588255083,90
0.0,7,fedavg,3,0.6103296467303769,0.5,0.47950063429823553,76
0.0,7,fedavg,4,0.8074605752606486,0.5733333333333334,0.5499871497420518,75
0.0,42,cross_site_blend_50,0,0.7535410764872521,0.5111111111111111,0.4855911242753348,270
0.0,42,cross_site_blend_50,1,0.6537785588752196,0.5,0.4887318655060591,90
0.0,42,cross_site_blend_50,2,0.6969147005444646,0.5111111111111111,0.5007033339022587,90
0.0,42,cross_site_blend_50,3,0.7370662124760485,0.5921052631578947,0.5769825585042976,76
0.0,42,cross_site_blend_50,4,0.7774103281607734,0.5466666666666666,0.5378927203065135,75
0.0,42,cross_site_blend_75,0,0.7481648785996612,0.5074074074074074,0.48204587845792196,270
0.0,42,cross_site_blend_75,1,0.6212914485165794,0.4777777777777778,0.4681993743853327,90
0.0,42,cross_site_blend_75,2,0.6809269162210339,0.5111111111111111,0.49754482872762446,90
0.0,42,cross_site_blend_75,3,0.7459677419354839,0.5657894736842105,0.5383897337045763,76
0.0,42,cross_site_blend_75,4,0.7594124599020766,0.5333333333333333,0.5237819185645273,75
0.0,42,cross_site_full,0,0.7465025181869054,0.5037037037037037,0.47987885897306787,270
0.0,42,cross_site_full,1,0.606473594548552,0.45555555555555555,0.4439689323022656,90
0.0,42,cross_site_full,2,0.7030965391621129,0.5444444444444444,0.5362264632900308,90
0.0,42,cross_site_full,3,0.7540387290039585,0.5526315789473685,0.5285467865145769,76
0.0,42,cross_site_full,4,0.7101327507981852,0.5333333333333333,0.5262948178516201,75
0.0,42,fedavg,0,0.6958261863922242,0.4962962962962963,0.4755912123303428,270
0.0,42,fedavg,1,0.6847635726795097,0.5,0.4901149425287356,90
0.0,42,fedavg,2,0.7091561938958708,0.5222222222222223,0.515298994584257,90
0.0,42,fedavg,3,0.695187165775401,0.5657894736842105,0.5593557292014515,76
0.0,42,fedavg,4,0.6844139115500214,0.49333333333333335,0.4857132331270262,75
0.0,99,cross_site_blend_50,0,0.5739287869643934,0.3814814814814815,0.37062085336202455,270
0.0,99,cross_site_blend_50,1,0.6198934280639432,0.4888888888888889,0.48742266418781105,90
0.0,99,cross_site_blend_50,2,0.6606170598911071,0.5111111111111111,0.49844717141713796,90
0.0,99,cross_site_blend_50,3,0.5761843068777108,0.4605263157894737,0.45602962858397644,76
0.0,99,cross_site_blend_50,4,0.5434243935268744,0.4266666666666667,0.4146581196581196,75
0.0,99,cross_site_blend_75,0,0.5791044776119403,0.37777777777777777,0.36694033276519383,270
0.0,99,cross_site_blend_75,1,0.5619546247818499,0.4666666666666667,0.464100655679603,90
0.0,99,cross_site_blend_75,2,0.6642201834862387,0.5222222222222223,0.5114720050064877,90
0.0,99,cross_site_blend_75,3,0.5688303020190222,0.47368421052631576,0.46130059199112905,76
0.0,99,cross_site_blend_75,4,0.5088868101028998,0.4266666666666667,0.41252688172043,75
0.0,99,cross_site_full,0,0.570840681951793,0.36666666666666664,0.35139793647331374,270
0.0,99,cross_site_full,1,0.6402753872633391,0.4666666666666667,0.45572773031743036,90
0.0,99,cross_site_full,2,0.6519337016574587,0.5222222222222223,0.5150935757790597,90
0.0,99,cross_site_full,3,0.5669999441434397,0.4342105263157895,0.41657255787690567,76
0.0,99,cross_site_full,4,0.5086334915412165,0.4266666666666667,0.4077290910283237,75
0.0,99,fedavg,0,0.572356763142351,0.3814814814814815,0.3633128775985918,270
0.0,99,fedavg,1,0.6519524617996604,0.4777777777777778,0.4682216456403163,90
0.0,99,fedavg,2,0.677361853832442,0.5,0.48845045264482606,90
0.0,99,fedavg,3,0.6495361978889007,0.4605263157894737,0.43545954568075085,76
0.0,99,fedavg,4,0.4869336233792254,0.4,0.3763070263070263,75
0.0,123,cross_site_blend_50,0,0.6492236917768832,0.4888888888888889,0.480804757887761,270
0.0,123,cross_site_blend_50,1,0.7850799289520426,0.45555555555555555,0.4384531590413943,90
0.0,123,cross_site_blend_50,2,0.6946826758147513,0.5444444444444444,0.537879046481197,90
0.0,123,cross_site_blend_50,3,0.7204556241101092,0.5,0.49242905242905244,76
0.0,123,cross_site_blend_50,4,0.6773463149552814,0.5066666666666667,0.4918165784832451,75
0.0,123,cross_site_blend_75,0,0.6568796776050662,0.4962962962962963,0.48870839051655995,270
0.0,123,cross_site_blend_75,1,0.779896013864818,0.45555555555555555,0.434369883218988,90
0.0,123,cross_site_blend_75,2,0.694017094017094,0.5333333333333333,0.5237356729292213,90
0.0,123,cross_site_blend_75,3,0.6834076507862004,0.5,0.4918074686996678,76
0.0,123,cross_site_blend_75,4,0.655860552252179,0.4666666666666667,0.44838049229353577,75
0.0,123,cross_site_full,0,0.6492146596858639,0.4777777777777778,0.4705371446383171,270
0.0,123,cross_site_full,1,0.7689594356261023,0.4444444444444444,0.423629135253162,90
0.0,123,cross_site_full,2,0.6833046471600688,0.5111111111111111,0.499630715759748,90
0.0,123,cross_site_full,3,0.6861183741383409,0.5131578947368421,0.5078612209046992,76
0.0,123,cross_site_full,4,0.6103784894673745,0.44,0.4306249306249306,75
0.0,123,fedavg,0,0.6588081204977079,0.48148148148148145,0.47503630735118724,270
0.0,123,fedavg,1,0.7879924953095685,0.4666666666666667,0.45466788567278765,90
0.0,123,fedavg,2,0.6775431861804222,0.5333333333333333,0.5315028161802354,90
0.0,123,fedavg,3,0.7384654601070608,0.5,0.4832736229287953,76
0.0,123,fedavg,4,0.6553731160397009,0.4666666666666667,0.46565939248451976,75
0.0,2025,cross_site_blend_50,0,0.5838805970149255,0.4148148148148148,0.4037205599242275,270
0.0,2025,cross_site_blend_50,1,0.42802303262955854,0.4222222222222222,0.4066210982000456,90
0.0,2025,cross_site_blend_50,2,0.6351118760757315,0.45555555555555555,0.4347598522167487,90
0.0,2025,cross_site_blend_50,3,0.7192982456140351,0.47368421052631576,0.46194633721515443,76
0.0,2025,cross_site_blend_50,4,0.7546774826638755,0.5066666666666667,0.47381611817095687,75
0.0,2025,cross_site_blend_75,0,0.5767609873570139,0.4074074074074074,0.3977851241698424,270
0.0,2025,cross_site_blend_75,1,0.46653919694072654,0.45555555555555555,0.4429642412957207,90
0.0,2025,cross_site_blend_75,2,0.6368330464716008,0.4666666666666667,0.4467193486590038,90
0.0,2025,cross_site_blend_75,3,0.7155172413793104,0.4605263157894737,0.44846195949644213,76
0.0,2025,cross_site_blend_75,4,0.7585669781931464,0.52,0.48456393646611046,75
