noise_level,seed,strategy,delta_qwk_vs_fedavg,fedavg_qwk,strategy_qwk,delta_accuracy_vs_fedavg,fedavg_accuracy,strategy_accuracy,delta_macro_f1_vs_fedavg,fedavg_macro_f1,strategy_macro_f1
0.0,7,cross_site_blend_50,-0.01520951389599301,0.7115612922781581,0.6963517783821651,-0.03161397670549082,0.5291181364392679,0.49750415973377704,-0.0355570639605326,0.5159914693964281,0.48043440543589555
0.0,7,cross_site_blend_75,-0.0031871056983897583,0.7115612922781581,0.7083741865797684,-0.03993344425956735,0.5291181364392679,0.4891846921797005,-0.044993548962011964,0.5159914693964281,0.4709979204344162
0.0,7,cross_site_full,0.009902193017973904,0.7115612922781581,0.721463485296132,-0.028286189683860208,0.5291181364392679,0.5008319467554077,-0.03241623212209388,0.5159914693964281,0.48357523727433427
0.0,42,cross_site_blend_50,0.03684108142017051,0.6946568826732116,0.7314979640933821,0.014975041597337757,0.5091514143094842,0.5241264559068219,0.011966231416454032,0.4969275447335775,0.5088937761500315
0.0,42,cross_site_blend_75,0.026115272606328954,0.6946568826732116,0.7207721552795405,0.004991680532445919,0.5091514143094842,0.5141430948419301,0.0005467424888803141,0.4969275447335775,0.4974742872224578
0.0,42,cross_site_full,0.021105565809999005,0.6946568826732116,0.7157624484832106,0.0033277870216306127,0.5091514143094842,0.5124792013311148,0.00012216800076397805,0.4969275447335775,0.49704971273434145
0.0,99,cross_site_blend_50,-0.009054060846364509,0.5997239662738247,0.5906699054274602,0.006655574043261225,0.4259567387687188,0.43261231281198004,0.013860654190966881,0.41040641222395835,0.42426706641492523
0.0,99,cross_site_blend_75,-0.020403094117097176,0.5997239662738247,0.5793208721567276,0.004991680532445919,0.4259567387687188,0.43094841930116473,0.01122379710529392,0.41040641222395835,0.42163020932925227
0.0,99,cross_site_full,-0.014448654517980164,0.5997239662738247,0.5852753117558446,-0.004991680532445919,0.4259567387687188,0.4209650582362729,-0.0022996133560447274,0.41040641222395835,0.4081067988679136
0.0,123,cross_site_blend_50,-0.002861422342035125,0.6909282147715607,0.6880667924295256,0.008319467554076532,0.4875207986688852,0.49584026622296173,0.0038840228257406295,0.4819818414426635,0.4858658642684041
