n,training_count,pair_count,paired_fraction_of_total,paired_fraction_of_training,overlap,nonlinear,method,task_auc_mean,task_auc_std,universal_biological_score_mean,universal_biological_score_std,factor_separation_score_mean,factor_separation_score_std,task_auc_from_acq_mean,task_auc_from_acq_std,chance_normalized_environment_leakage_mean,chance_normalized_environment_leakage_std,paired_biological_invariance_error_mean,paired_biological_invariance_error_std,counterfactual_transport_error_mean,counterfactual_transport_error_std,biology_cca_from_bio_mean,biology_cca_from_bio_std,biology_procrustes_error_mean,biology_procrustes_error_std,n_seeds,recovery_margin,recovered,observational_log10,pair_count_log10_plus_one
500,300,0,0.0,0.0,0.9,False,factorized,0.9643633290997558,0.028209858292666923,0.23688196390867233,0.10700606909391829,0.6025790467858314,0.06944766904099016,0.7852165054620881,0.0687671595206265,0.256,0.18120583753167435,,,,,0.5572438832568484,0.04915275249921081,0.9963036417961121,0.18315887786290885,5,-0.26311803609132767,False,2.6989700043360187,0.0
500,300,0,0.0,0.0,0.9,False,hybrid_curriculum,0.9698843214967147,0.020925164025482383,0.161663419008255,0.09102685009874209,0.47960538864135743,0.1699703411169883,0.7384110558619583,0.048269759573163845,0.28,0.10498677165349087,,,,,0.5388813022637272,0.05015633735022195,1.013558602333069,0.1557589676870358,5,-0.338336580991745,False,2.6989700043360187,0.0
500,300,0,0.0,0.0,0.9,False,operator,0.9680474742167398,0.023136362377715495,0.18762713074684143,0.037959966732537403,0.47018752098083494,0.06811890008730925,0.8174282285667891,0.04478255496072546,0.2773333333333333,0.06759355656339507,,,,,0.5588463519327533,0.060011577936562956,1.0146432757377624,0.34857337741347916,5,-0.31237286925315855,False,2.6989700043360187,0.0
500,300,0,0.0,0.0,0.9,False,pair_consistency,0.9682769410759473,0.020691090502749494,0.17503438591957093,0.08109760167443,0.5526741653680801,0.16267067856819764,0.7279176307431185,0.09033327534713871,0.3066666666666667,0.09285592184789417,,,,,0.5273451124671025,0.03349463379477645,0.9615838170051575,0.2843920470035817,5,-0.32496561408042907,False,2.6989700043360187,0.0
500,300,0,0.0,0.0,0.9,True,factorized,0.9580369276212901,0.029432453135079927,0.25341926217079164,0.09742243296682956,0.6123709872364997,0.11907598056717424,0.7608316396316981,0.07390065914632331,0.24,0.13432961119739922,,,,,0.5684480259647129,0.059043998464250035,0.933673083782196,0.1390127858960462,5,-0.24658073782920836,False,2.6989700043360187,0.0
500,300,0,0.0,0.0,0.9,True,hybrid_curriculum,0.9649207526102227,0.02042287303171837,0.20103873312473297,0.0866076081960927,0.4781133681535721,0.15618371918906304,0.7667105723062171,0.05546373900911476,0.296,0.1418606515015508,,,,,0.48321604486669356,0.048070947425749216,0.9416032910346985,0.08017178435928476,5,-0.29896126687526703,False,2.6989700043360187,0.0
500,300,0,0.0,0.0,0.9,True,operator,0.9625226475517744,0.027832128979364615,0.19883427321910857,0.1217058724285904,0.5229144126176835,0.1040906288755049,0.7511398883031474,0.07044051541341814,0.2506666666666667,0.1280277747643499,,,,,0.5248517617902397,0.054486096661138274,0.9474021792411804,0.26806440714864327,5,-0.30116572678089143,False,2.6989700043360187,0.0
500,300,0,0.0,0.0,0.9,True,pair_consistency,0.9605963390186993,0.027244417354268052,0.20945545434951782,0.1347082514266984,0.539093354344368,0.23996414537952948,0.7717492089009517,0.08002060848623889,0.2666666666666667,0.07542472332656508,,,,,0.5315059223831483,0.042891850141529804,0.9251900434494018,0.2316031500238196,5,-0.29054454565048216,False,2.6989700043360187,0.0
500,300,0,0.0,0.0,0.95,False,factorized,0.9434569517855451,0.03676524390002391,0.20901424884796144,0.09450814841922979,0.524612519145012,0.09592111225853846,0.7793623350789591,0.05891653851717556,0.264,0.13837148068394248,,,,,0.549853572314182,0.06788937609011589,1.0051039934158326,0.2297946022208708,5,-0.29098575115203856,False,2.6989700043360187,0.0
500,300,0,0.0,0.0,0.95,False,hybrid_curriculum,0.9504159728432435,0.02927630434088356,0.1081318199634552,0.07637330373136401,0.3780220657587051,0.1867945361260533,0.7454291965288531,0.06739778922225455,0.328,0.0663994645226066,,,,,0.5425061362895476,0.06060007746545798,1.005230188369751,0.16611127018639993,5,-0.3918681800365448,False,2.6989700043360187,0.0
