fold,seed,condition,mean_paired_cosine,worst_paired_cosine,mean_top1_retrieval,worst_top1_retrieval,scanner_probe_accuracy,effective_rank,biological_acquisition_cross_covariance,feature_variance_nonzero_fraction,n_test_samples,n_test_regions
0,911,shuffled_region_pairs,0.5854848742485046,0.49467766284942627,0.7493055555555556,0.5763888888888888,0.31527777777777777,50.60025585047505,0.11230865120887756,1.0,8,144
0,912,shuffled_region_pairs,0.5737092673778534,0.4623885750770569,0.7375,0.5659722222222222,0.2847222222222222,52.17285944193201,0.10318963974714279,1.0,8,144
0,913,shuffled_region_pairs,0.5770257860422134,0.48008060455322266,0.7378472222222222,0.5868055555555556,0.30972222222222223,50.82536341049063,0.10636619478464127,1.0,8,144
0,914,shuffled_region_pairs,0.5845946431159973,0.49258506298065186,0.757638888888889,0.5972222222222222,0.3,50.82148589091162,0.1085553988814354,1.0,8,144
0,915,shuffled_region_pairs,0.5720802277326584,0.46120867133140564,0.7437499999999999,0.5347222222222222,0.26944444444444443,50.93081190866904,0.10479507595300674,1.0,8,144
1,911,shuffled_region_pairs,0.5440266489982605,0.4064754247665405,0.7335978835978836,0.4735449735449735,0.31957671957671957,55.74465420420549,0.0772760808467865,1.0,9,189
1,912,shuffled_region_pairs,0.5452736288309097,0.3981114625930786,0.7502645502645503,0.5291005291005291,0.3301587301587302,55.40793552931739,0.07767967134714127,1.0,9,189
1,913,shuffled_region_pairs,0.5468418627977372,0.4123404622077942,0.7555555555555556,0.5132275132275133,0.32486772486772486,56.104121784343135,0.07851582765579224,1.0,9,189
1,914,shuffled_region_pairs,0.5372163236141205,0.38489672541618347,0.7373015873015873,0.4576719576719577,0.3375661375661375,56.605875392298316,0.08151648193597794,1.0,9,189
1,915,shuffled_region_pairs,0.5508367627859115,0.3990192711353302,0.7436507936507937,0.4708994708994709,0.28359788359788357,54.5712891144014,0.08649685233831406,1.0,9,189
2,911,shuffled_region_pairs,0.529589980840683,0.4071471691131592,0.7337931034482759,0.5517241379310345,0.25655172413793104,55.28110369031083,0.07982391119003296,1.0,9,145
2,912,shuffled_region_pairs,0.5269203871488571,0.4086892306804657,0.7203448275862068,0.47931034482758617,0.29655172413793107,54.826557875392005,0.07897444814443588,1.0,9,145
2,913,shuffled_region_pairs,0.5227768123149872,0.4085994362831116,0.7327586206896551,0.506896551724138,0.29517241379310344,55.79587296188792,0.07904448360204697,1.0,9,145
