fold,seed,condition,mean_paired_cosine,worst_paired_cosine,mean_top1_retrieval,worst_top1_retrieval,scanner_probe_accuracy,effective_rank,biological_acquisition_cross_covariance,feature_variance_nonzero_fraction,n_test_slides
0,701,shuffled_region_pairs,0.5333456665277481,0.47768768668174744,0.882,0.8200000000000001,0.294,81.63159939352329,0.08443919569253922,1.0,10
0,702,shuffled_region_pairs,0.5284911096096039,0.4779697358608246,0.8909999999999998,0.815,0.284,82.3807407435042,0.08527225255966187,1.0,10
0,703,shuffled_region_pairs,0.5310515403747559,0.4754759669303894,0.8795,0.785,0.266,82.15094671845092,0.0888785868883133,1.0,10
0,704,shuffled_region_pairs,0.5233130425214767,0.4655250310897827,0.8789999999999999,0.83,0.282,83.75625083439097,0.08435093611478806,1.0,10
0,705,shuffled_region_pairs,0.5202878713607788,0.4537574052810669,0.8665,0.78,0.266,82.77122483589811,0.0867067277431488,1.0,10
1,701,shuffled_region_pairs,0.5178363740444183,0.4380704462528229,0.8985,0.79,0.278,85.66862535258268,0.07805920392274857,1.0,10
1,702,shuffled_region_pairs,0.5150426238775253,0.4318211078643799,0.9065,0.815,0.27599999999999997,86.39658377403948,0.07912690192461014,1.0,10
1,703,shuffled_region_pairs,0.5171073794364929,0.4384634792804718,0.8864999999999998,0.815,0.28200000000000003,84.77373381802556,0.07888752967119217,1.0,10
1,704,shuffled_region_pairs,0.5204073995351791,0.4517713189125061,0.9040000000000001,0.8300000000000001,0.32199999999999995,84.97430843204215,0.07853242754936218,1.0,10
1,705,shuffled_region_pairs,0.5134022384881973,0.4307954013347626,0.8945000000000001,0.775,0.252,85.85911604924722,0.08002539724111557,1.0,10
2,701,shuffled_region_pairs,0.5183105140924453,0.44241711497306824,0.883,0.795,0.28600000000000003,85.70249668339653,0.08667910099029541,1.0,10
2,702,shuffled_region_pairs,0.5145598769187927,0.4330880045890808,0.8949999999999999,0.8,0.316,85.77252897066367,0.08482799679040909,1.0,10
2,703,shuffled_region_pairs,0.5230491429567337,0.44732582569122314,0.884,0.78,0.32199999999999995,84.92262203148954,0.08213687688112259,1.0,10
2,704,shuffled_region_pairs,0.5185406625270843,0.4360395669937134,0.8825,0.79,0.264,84.19564003793921,0.08511626720428467,1.0,10
2,705,shuffled_region_pairs,0.504923415184021,0.42342305183410645,0.8549999999999999,0.72,0.27599999999999997,84.76051644042913,0.08394010365009308,1.0,10
3,701,shuffled_region_pairs,0.5087867945432663,0.4434749484062195,0.8672222222222222,0.788888888888889,0.36,76.66875264998731,0.0862470269203186,1.0,9
3,702,shuffled_region_pairs,0.49970891773700715,0.4222434163093567,0.8677777777777778,0.8111111111111111,0.36,78.58464101021035,0.08904635161161423,1.0,9
3,703,shuffled_region_pairs,0.5100337475538254,0.44321009516716003,0.8638888888888889,0.7666666666666667,0.35555555555555557,77.08007511982042,0.08813582360744476,1.0,9
