condition,n_runs,scanner_probe_accuracy_mean,scanner_probe_accuracy_std,scanner_probe_accuracy_min,scanner_probe_accuracy_max,mean_paired_cosine_mean,mean_paired_cosine_std,mean_paired_cosine_min,mean_paired_cosine_max,worst_paired_cosine_mean,worst_paired_cosine_std,worst_paired_cosine_min,worst_paired_cosine_max,mean_top1_retrieval_mean,mean_top1_retrieval_std,mean_top1_retrieval_min,mean_top1_retrieval_max,worst_top1_retrieval_mean,worst_top1_retrieval_std,worst_top1_retrieval_min,worst_top1_retrieval_max,effective_rank_mean,effective_rank_std,effective_rank_min,effective_rank_max,biological_acquisition_cross_covariance_mean,biological_acquisition_cross_covariance_std,biological_acquisition_cross_covariance_min,biological_acquisition_cross_covariance_max
shuffled_region_pairs,25,0.30450666666666665,0.03184178480015309,0.252,0.36,0.5188143639564514,0.009767851011452477,0.49970891773700715,0.5383014559745789,0.44869268298149106,0.016776942073100272,0.4222434163093567,0.4779697358608246,0.8839444444444444,0.016203066125022515,0.8494444444444446,0.9100000000000001,0.7980444444444444,0.026111170212699084,0.72,0.8388888888888889,81.66953550818884,3.626968257268196,76.66875264998731,86.39658377403948,0.08506163239479064,0.0036803749565344226,0.07805920392274857,0.09016341716051102
shuffled_sample_pairs,25,0.30665777777777775,0.033272752356586256,0.25,0.37333333333333335,0.5083236070871353,0.00869468925561378,0.48681938648223877,0.5265508890151978,0.4438923728466034,0.013777053513310761,0.4133516848087311,0.4768890142440796,0.8774822222222223,0.014622379122202218,0.8411111111111111,0.8983333333333334,0.8003111111111112,0.020957089217669662,0.7555555555555555,0.8333333333333334,81.43773514241849,3.444948739567963,75.01037792430738,86.4368015028893,0.08465246319770812,0.003382418223168076,0.07730388641357422,0.08999486267566681
true_pairs,25,0.3144622222222222,0.04333945445846317,0.252,0.39333333333333326,0.6544406855106354,0.008495437357266874,0.6391827881336212,0.668795245885849,0.5978132653236389,0.015070418959066132,0.5701954364776611,0.6211356520652771,0.97262,0.006543906001870524,0.9599999999999997,0.9854999999999998,0.9454888888888888,0.012868358489168705,0.915,0.9666666666666667,85.08746652068234,6.001838955018165,75.5682729953761,93.00584974533699,0.0895672732591629,0.0038831693704792316,0.07956907153129578,0.09417569637298584
