regime,model,rounds,mode,dropout_prob,communication_gb_mean,communication_gb_std,total_hours_mean,total_hours_std,failed_rounds_mean,failed_rounds_std,mean_active_clients_mean,mean_active_clients_std,min_active_clients_mean,min_active_clients_std
detector_switch_after_10_rounds,full_resnet18_detector_limited,10,sync,0.0,2.498374432325363,0.0,2.265069665818234,0.15330181419216551,0.0,0.0,3.0,0.0,3.0,0.0
detector_switch_after_10_rounds,full_resnet18_detector_limited,10,sync,0.05,2.498374432325363,0.0,2.186124637280551,0.20625580531463764,0.0,0.0,2.8539999999999996,0.12343566598177223,2.15,0.5388914922357194
detector_switch_after_10_rounds,full_resnet18_detector_limited,10,sync,0.1,2.498374432325363,0.0,2.1163280173878825,0.18528798344446024,0.02,0.1407052941362897,2.693,0.16407377005542967,1.85,0.519809599951771
detector_switch_after_10_rounds,full_resnet18_detector_limited,10,sync,0.2,2.498374432325363,0.0,2.0397809963417526,0.20864742766421537,0.06,0.23868325657594203,2.4019999999999997,0.2169485346036398,1.27,0.5659532050470519
feature_head_sync_100_rounds,feature_head,100,sync,0.0,0.0022932887077331543,0.0,22.436011929894015,0.5439831106816038,0.0,0.0,3.0,0.0,3.0,0.0
feature_head_sync_100_rounds,feature_head,100,sync,0.05,0.0022932887077331543,0.0,21.984613046574538,0.6462085497355757,0.03,0.1714466079977653,2.8491000000000004,0.03739213442920474,1.49,0.5594911107696915
feature_head_sync_100_rounds,feature_head,100,sync,0.1,0.0022932887077331543,0.0,21.419154278895927,0.5678476561716609,0.09,0.2876234912646613,2.6953000000000005,0.05066138329710081,0.94,0.3428932159955306
feature_head_sync_100_rounds,feature_head,100,sync,0.2,0.0022932887077331543,0.0,20.256434442694495,0.7063776989277096,0.76,0.877553992698461,2.4090000000000003,0.0787849649810845,0.47,0.5016135580465919
feature_head_sync_25_rounds,feature_head,25,sync,0.0,0.0005733221769332886,0.0,5.621757073353794,0.2664118042928564,0.0,0.0,3.0,0.0,3.0,0.0
feature_head_sync_25_rounds,feature_head,25,sync,0.05,0.0005733221769332886,0.0,5.43586010224208,0.3309779492317773,0.0,0.0,2.8392,0.07836305045598774,1.84,0.4197161137740796
feature_head_sync_25_rounds,feature_head,25,sync,0.1,0.0005733221769332886,0.0,5.350460626941258,0.27940429781278886,0.0,0.0,2.7152,0.09119276951667389,1.49,0.5024183937956914
feature_head_sync_25_rounds,feature_head,25,sync,0.2,0.0005733221769332886,0.0,5.040865783092545,0.3311501524760873,0.19,0.3942772444036625,2.4096,0.12405538026920626,0.88,0.4980771105770753
full_resnet18_async_proxy_100_rounds,full_resnet18,100,async_proxy,0.0,24.98374432325363,0.0,12.00422246905882,0.2859635109760244,0.0,0.0,3.0,0.0,3.0,0.0
full_resnet18_async_proxy_100_rounds,full_resnet18,100,async_proxy,0.05,24.98374432325363,0.0,12.272791623519304,0.3037159830268727,0.0,0.0,2.8503,0.03264300317932867,1.6,0.49236596391733095
full_resnet18_async_proxy_100_rounds,full_resnet18,100,async_proxy,0.1,24.98374432325363,0.0,12.489417430467327,0.34873608124206096,0.06,0.238683256575942,2.7088,0.056769603475697136,1.0,0.3481553119113957
full_resnet18_async_proxy_100_rounds,full_resnet18,100,async_proxy,0.2,24.98374432325363,0.0,12.888528180697481,0.43903809385767506,0.93,0.9561602502940731,2.3877,0.0746149035942809,0.36,0.4824181513244218
full_resnet18_sync_100_rounds,full_resnet18,100,sync,0.0,24.98374432325363,0.0,22.443806727372966,0.594960258586474,0.0,0.0,3.0,0.0,3.0,0.0
full_resnet18_sync_100_rounds,full_resnet18,100,sync,0.05,24.98374432325363,0.0,21.88074146521233,0.5771103991751192,0.03,0.17144660799776532,2.8512,0.038932212520189136,1.44,0.5563227026600204
full_resnet18_sync_100_rounds,full_resnet18,100,sync,0.1,24.98374432325363,0.0,21.470784465009245,0.6468089389924211,0.14,0.3765875486765088,2.7113,0.04721870456298088,0.93,0.43239992711573966
full_resnet18_sync_100_rounds,full_resnet18,100,sync,0.2,24.98374432325363,0.0,20.290686862820777,0.6828845844552454,0.81,0.9067090007941975,2.4149000000000003,0.0706605915055853,0.43,0.497569851956243
