strategy,global_qwk,global_accuracy,macro_f1,global_loss,worst_site_qwk,worst_site_accuracy,mean_site_qwk,weight_entropy,n_eff
fedavg,0.5565021790836455,0.40266222961730447,0.39270998445518696,1.5027133226394653,0.4103984277291406,0.37333333333333335,0.549216545180391,1.447865223410363,3.584382912358957
cross_site_full,0.5681617715446293,0.40765391014975044,0.39156938771662353,1.458388328552246,0.4501314151334901,0.37333333333333335,0.5641473301571357,1.608981966540156,4.995497346558111
cross_site_blend_25,0.5163910092276579,0.3793677204658902,0.36553383087354013,1.4959479570388794,0.48307744032276134,0.34814814814814815,0.5202597206728983,1.5177236291139797,4.111756263746801
cross_site_blend_50,0.5521361310070024,0.39434276206322794,0.3779328227526191,1.4803740978240967,0.5084735975979444,0.362962962962963,0.5530665500281093,1.5689380966587834,4.582466891764201
cross_site_blend_75,0.5777687289301174,0.39933444259567386,0.3847990297581605,1.4711419343948364,0.4176232275489534,0.3333333333333333,0.57467379003796,1.6006259155543443,4.908217312249348
