representation,held_out_scanner,seed,n_train_patches,n_test_patches,n_train_samples,n_test_samples,sample_overlap,train_has_heldout_scanner
shuffled_sample_acquisition,gt450,915,2332,222,30,14,0,False
shuffled_sample_acquisition,nz20,911,2136,271,30,14,0,False
shuffled_sample_acquisition,nz20,912,2332,222,30,14,0,False
shuffled_sample_acquisition,nz20,913,2120,275,30,14,0,False
shuffled_sample_acquisition,nz20,914,1856,341,30,14,0,False
shuffled_sample_acquisition,nz20,915,2332,222,30,14,0,False
shuffled_sample_acquisition,nz210,911,2136,271,30,14,0,False
shuffled_sample_acquisition,nz210,912,2332,222,30,14,0,False
shuffled_sample_acquisition,nz210,913,2120,275,30,14,0,False
shuffled_sample_acquisition,nz210,914,1856,341,30,14,0,False
shuffled_sample_acquisition,nz210,915,2332,222,30,14,0,False
shuffled_sample_acquisition,p1000,911,2136,271,30,14,0,False
shuffled_sample_acquisition,p1000,912,2332,222,30,14,0,False
shuffled_sample_acquisition,p1000,913,2120,275,30,14,0,False
shuffled_sample_acquisition,p1000,914,1856,341,30,14,0,False
shuffled_sample_acquisition,p1000,915,2332,222,30,14,0,False
pca_removal_k1,cs2,911,2136,271,30,14,0,False
pca_removal_k1,cs2,912,2332,222,30,14,0,False
pca_removal_k1,cs2,913,2120,275,30,14,0,False
pca_removal_k1,cs2,914,1856,341,30,14,0,False
pca_removal_k1,cs2,915,2332,222,30,14,0,False
pca_removal_k2,cs2,911,2136,271,30,14,0,False
pca_removal_k2,cs2,912,2332,222,30,14,0,False
pca_removal_k2,cs2,913,2120,275,30,14,0,False
pca_removal_k2,cs2,914,1856,341,30,14,0,False
pca_removal_k2,cs2,915,2332,222,30,14,0,False
pca_removal_k4,cs2,911,2136,271,30,14,0,False
pca_removal_k4,cs2,912,2332,222,30,14,0,False
pca_removal_k4,cs2,913,2120,275,30,14,0,False
pca_removal_k4,cs2,914,1856,341,30,14,0,False
pca_removal_k4,cs2,915,2332,222,30,14,0,False
pca_removal_k8,cs2,911,2136,271,30,14,0,False
pca_removal_k8,cs2,912,2332,222,30,14,0,False
pca_removal_k8,cs2,913,2120,275,30,14,0,False
pca_removal_k8,cs2,914,1856,341,30,14,0,False
pca_removal_k8,cs2,915,2332,222,30,14,0,False
pca_removal_k16,cs2,911,2136,271,30,14,0,False
pca_removal_k16,cs2,912,2332,222,30,14,0,False
pca_removal_k16,cs2,913,2120,275,30,14,0,False
pca_removal_k16,cs2,914,1856,341,30,14,0,False
pca_removal_k16,cs2,915,2332,222,30,14,0,False
pca_removal_k32,cs2,911,2136,271,30,14,0,False
pca_removal_k32,cs2,912,2332,222,30,14,0,False
pca_removal_k32,cs2,913,2120,275,30,14,0,False
