method,feature_source,policy,test_accuracy,test_macro_f1,test_auc,communication_regime,communication_gb,communication_mb,accuracy_per_gb,macro_f1_per_gb,auc_per_gb
feature_head_downweight_dominant_center,camelyon17_trained_resnet18,downweight_dominant_center,0.9322,0.9321,0.9783,feature_head_federation_100_round_fp32,0.0022932887077331,2.34832763671875,406.4904679714196,406.4468624717445,426.5926033216475
full_resnet18_proxy_downweight_dominant_center,camelyon17_trained_resnet18,downweight_dominant_center,0.9322,0.9321,0.9783,full_resnet18_federation_100_round_fp32_proxy,24.98374432325363,25583.35418701172,0.037312261442427365,0.0373082588398268,0.03915746124128587
feature_head_equal_client,camelyon17_trained_resnet18,equal_client,0.9318,0.9317,0.9788,feature_head_federation_100_round_fp32,0.0022932887077331,2.34832763671875,406.31604597271917,406.272440473044,426.8106308200231
full_resnet18_proxy_equal_client,camelyon17_trained_resnet18,equal_client,0.9318,0.9317,0.9788,full_resnet18_federation_100_round_fp32_proxy,24.98374432325363,25583.35418701172,0.03729625103202512,0.03729224842942456,0.03917747425428868
feature_head_fedavg_equal_patch,camelyon17_trained_resnet18,fedavg_equal_patch,0.9052,0.9045,0.966,feature_head_federation_100_round_fp32,0.0022932887077331,2.34832763671875,394.7169830591386,394.41174456141283,421.2291268616084
full_resnet18_proxy_fedavg_equal_patch,camelyon17_trained_resnet18,fedavg_equal_patch,0.9052,0.9045,0.966,full_resnet18_federation_100_round_fp32_proxy,24.98374432325363,25583.35418701172,0.03623155874027596,0.03620354052207203,0.0386651411214169
