policy,test_accuracy,test_accuracy_delta_vs_fedavg,communication_mb,communication_gb,accuracy_per_gb,accuracy_per_gb_delta_vs_fedavg
downweight_dominant_center,0.9322,0.027000000000000024,2.34832763671875,0.0022932887077331,406.4904679714196,11.773484912280992
equal_client,0.9318,0.026599999999999957,2.34832763671875,0.0022932887077331,406.31604597271917,11.599062913580553
fedavg_equal_patch,0.9052,0.0,2.34832763671875,0.0022932887077331,394.7169830591386,0.0
