representation,representation_family,branch,fold,neural_seed,k_value,same_category_purity_k1,same_category_purity_k5,same_category_purity_k10,same_sample_top1_retrieval
original_frozen_features,frozen,original,0,,,0.9375,0.8522222222222222,0.6991666666666667,1.0
original_frozen_features,frozen,original,1,,,0.9830687830687831,0.8884656084656085,0.7534391534391535,0.9936507936507937
original_frozen_features,frozen,original,2,,,0.9448275862068966,0.8615172413793103,0.7071724137931035,0.9958620689655172
original_frozen_features,frozen,original,3,,,0.985897435897436,0.8987179487179487,0.7656410256410257,0.9948717948717949
original_frozen_features,frozen,original,4,,,0.9497076023391813,0.8575438596491228,0.7273684210526316,0.9964912280701754
shuffled_sample_acquisition,neural_factorization,acquisition,0,911.0,,0.7138888888888889,0.6088888888888889,0.5234722222222222,0.9194444444444444
shuffled_sample_acquisition,neural_factorization,acquisition,0,912.0,,0.6763888888888889,0.5797222222222222,0.5204166666666666,0.8958333333333334
shuffled_sample_acquisition,neural_factorization,acquisition,0,913.0,,0.6986111111111111,0.6061111111111112,0.5345833333333333,0.8986111111111111
shuffled_sample_acquisition,neural_factorization,acquisition,0,914.0,,0.7069444444444445,0.6016666666666667,0.5108333333333334,0.9
shuffled_sample_acquisition,neural_factorization,acquisition,0,915.0,,0.7027777777777777,0.6058333333333333,0.5193055555555556,0.9152777777777777
shuffled_sample_acquisition,neural_factorization,acquisition,1,911.0,,0.7534391534391535,0.6205291005291005,0.54,0.8126984126984127
shuffled_sample_acquisition,neural_factorization,acquisition,1,912.0,,0.7661375661375661,0.6311111111111111,0.55005291005291,0.817989417989418
shuffled_sample_acquisition,neural_factorization,acquisition,1,913.0,,0.7407407407407407,0.6167195767195767,0.5367195767195767,0.8042328042328042
shuffled_sample_acquisition,neural_factorization,acquisition,1,914.0,,0.7502645502645503,0.6215873015873016,0.541058201058201,0.8063492063492064
shuffled_sample_acquisition,neural_factorization,acquisition,1,915.0,,0.7555555555555555,0.612910052910053,0.533015873015873,0.819047619047619
shuffled_sample_acquisition,neural_factorization,acquisition,2,911.0,,0.7103448275862069,0.5812413793103448,0.5016551724137931,0.8275862068965517
shuffled_sample_acquisition,neural_factorization,acquisition,2,912.0,,0.72,0.5853793103448276,0.5013793103448276,0.8234482758620689
shuffled_sample_acquisition,neural_factorization,acquisition,2,913.0,,0.7255172413793104,0.5729655172413793,0.4979310344827586,0.8220689655172414
shuffled_sample_acquisition,neural_factorization,acquisition,2,914.0,,0.7062068965517241,0.5875862068965517,0.5026206896551724,0.8206896551724138
shuffled_sample_acquisition,neural_factorization,acquisition,2,915.0,,0.7172413793103448,0.576551724137931,0.496551724137931,0.8193103448275862
shuffled_sample_acquisition,neural_factorization,acquisition,3,911.0,,0.7589743589743589,0.6582051282051282,0.5997435897435898,0.8064102564102564
shuffled_sample_acquisition,neural_factorization,acquisition,3,912.0,,0.7666666666666667,0.6687179487179488,0.6103846153846154,0.8128205128205128
shuffled_sample_acquisition,neural_factorization,acquisition,3,913.0,,0.7833333333333333,0.668974358974359,0.6106410256410256,0.8346153846153846
shuffled_sample_acquisition,neural_factorization,acquisition,3,914.0,,0.7705128205128206,0.668974358974359,0.6093589743589743,0.8371794871794872
