seed,split,accuracy_equal_minus_fedavg,accuracy_downweight_minus_fedavg,balanced_accuracy_equal_minus_fedavg,balanced_accuracy_downweight_minus_fedavg,macro_f1_equal_minus_fedavg,macro_f1_downweight_minus_fedavg,auc_equal_minus_fedavg,auc_downweight_minus_fedavg
1,id_val,-0.014666666666666828,-0.015333333333333421,-0.014666666666666828,-0.015333333333333199,-0.014667754106289621,-0.015332572139276412,-0.011697777777777585,-0.01318711111111115
1,val,-0.04500000000000004,-0.049000000000000044,-0.04500000000000004,-0.049000000000000044,-0.04717839246948641,-0.051394321630303,-0.01441199999999998,-0.018283999999999967
1,test,0.08200000000000007,0.07600000000000007,0.08200000000000007,0.07600000000000007,0.08550033771781562,0.07947016495039083,0.01329199999999997,0.011743999999999977
2,id_val,-0.016333333333333422,-0.019333333333333425,-0.016333333333333422,-0.019333333333333202,-0.01633809418120702,-0.019332258280466252,-0.010074666666666565,-0.011294666666666564
2,val,-0.02100000000000002,-0.025000000000000022,-0.02100000000000002,-0.025000000000000022,-0.02331903702042315,-0.02755397484028188,0.008652000000000104,0.005275999999999836
2,test,0.10400000000000009,0.09900000000000009,0.10399999999999998,0.09899999999999998,0.1076784985720115,0.10267433336791665,0.005931999999999937,0.005047999999999941
3,id_val,-0.013666666666666605,-0.014666666666666606,-0.013666666666666605,-0.014666666666666606,-0.013681903911089921,-0.014668759270581533,-0.01051599999999997,-0.011511999999999967
3,val,-0.040000000000000036,-0.040000000000000036,-0.040000000000000036,-0.040000000000000036,-0.04196759028265207,-0.04204523825414608,0.0035879999999999246,0.0025559999999998917
3,test,0.07500000000000007,0.07100000000000006,0.07500000000000007,0.07100000000000006,0.07680915690711532,0.0728126570823201,0.0034319999999999906,0.0033799999999999386
4,id_val,-0.016333333333333422,-0.019000000000000017,-0.016333333333333422,-0.019000000000000017,-0.016325011741156636,-0.0189792673928022,-0.012166666666666659,-0.013546666666666596
4,val,-0.038000000000000034,-0.039000000000000035,-0.038000000000000034,-0.039000000000000035,-0.04058598241555389,-0.04164822438320315,0.00025200000000003,-0.0023159999999999847
4,test,0.06800000000000006,0.06800000000000006,0.06800000000000006,0.06800000000000006,0.07039275819753266,0.07039475034494902,0.0038719999999999866,0.0031200000000000117
5,id_val,-0.016000000000000014,-0.02100000000000002,-0.016000000000000014,-0.02100000000000002,-0.016020640005093845,-0.021004608000254055,-0.009783555555555656,-0.01058266666666663
5,val,-0.061000000000000054,-0.05800000000000005,-0.061000000000000054,-0.05799999999999994,-0.06425489861103939,-0.061353981159992355,-0.005908000000000024,-0.009651999999999994
5,test,0.08100000000000007,0.07700000000000007,0.08100000000000007,0.07700000000000007,0.0837171107243746,0.07971245049155906,0.015052000000000065,0.014080000000000092
