alternative,min_val_gain,max_id_val_cost,switched_mean,switched_std,id_val_accuracy_chosen_minus_fedavg_mean,id_val_accuracy_chosen_minus_fedavg_std,val_accuracy_chosen_minus_fedavg_mean,val_accuracy_chosen_minus_fedavg_std,test_accuracy_chosen_minus_fedavg_mean,test_accuracy_chosen_minus_fedavg_std,test_macro_f1_chosen_minus_fedavg_mean,test_macro_f1_chosen_minus_fedavg_std,test_auc_chosen_minus_fedavg_mean,test_auc_chosen_minus_fedavg_std,robust_positive
downweight_dominant_center,-0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
downweight_dominant_center,-0.07,0.015,0.2,0.447213595499958,-0.0029333333333333212,0.006559132733999355,-0.008000000000000007,0.017888543819998336,0.014200000000000013,0.03175216528049704,0.01456253141646402,0.032562810171689854,0.0006759999999999877,0.0015115819527898302,False
downweight_dominant_center,-0.07,0.02,0.8,0.4472135954999579,-0.013666666666666693,0.00792324288266983,-0.030600000000000026,0.019138965489283913,0.06280000000000005,0.03715777173082372,0.06507038114911531,0.03854820761996573,0.004658399999999974,0.004360595922577548,True
downweight_dominant_center,-0.07,0.025,1.0,0.0,-0.017866666666666697,0.0027345525735991746,-0.042200000000000036,0.01231665539016174,0.07820000000000008,0.012194260945215182,0.08101287124742713,0.012779651618020292,0.007474399999999992,0.005086151865605315,True
downweight_dominant_center,-0.07,0.03,1.0,0.0,-0.017866666666666697,0.0027345525735991746,-0.042200000000000036,0.01231665539016174,0.07820000000000008,0.012194260945215182,0.08101287124742713,0.012779651618020292,0.007474399999999992,0.005086151865605315,True
downweight_dominant_center,-0.07,0.04,1.0,0.0,-0.017866666666666697,0.0027345525735991746,-0.042200000000000036,0.01231665539016174,0.07820000000000008,0.012194260945215182,0.08101287124742713,0.012779651618020292,0.007474399999999992,0.005086151865605315,True
downweight_dominant_center,-0.07,0.05,1.0,0.0,-0.017866666666666697,0.0027345525735991746,-0.042200000000000036,0.01231665539016174,0.07820000000000008,0.012194260945215182,0.08101287124742713,0.012779651618020292,0.007474399999999992,0.005086151865605315,True
downweight_dominant_center,-0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
downweight_dominant_center,-0.06,0.015,0.2,0.447213595499958,-0.0029333333333333212,0.006559132733999355,-0.008000000000000007,0.017888543819998336,0.014200000000000013,0.03175216528049704,0.01456253141646402,0.032562810171689854,0.0006759999999999877,0.0015115819527898302,False
downweight_dominant_center,-0.06,0.02,0.8,0.4472135954999579,-0.013666666666666693,0.00792324288266983,-0.030600000000000026,0.019138965489283913,0.06280000000000005,0.03715777173082372,0.06507038114911531,0.03854820761996573,0.004658399999999974,0.004360595922577548,True
downweight_dominant_center,-0.06,0.025,1.0,0.0,-0.017866666666666697,0.0027345525735991746,-0.042200000000000036,0.01231665539016174,0.07820000000000008,0.012194260945215182,0.08101287124742713,0.012779651618020292,0.007474399999999992,0.005086151865605315,True
downweight_dominant_center,-0.06,0.03,1.0,0.0,-0.017866666666666697,0.0027345525735991746,-0.042200000000000036,0.01231665539016174,0.07820000000000008,0.012194260945215182,0.08101287124742713,0.012779651618020292,0.007474399999999992,0.005086151865605315,True
downweight_dominant_center,-0.06,0.04,1.0,0.0,-0.017866666666666697,0.0027345525735991746,-0.042200000000000036,0.01231665539016174,0.07820000000000008,0.012194260945215182,0.08101287124742713,0.012779651618020292,0.007474399999999992,0.005086151865605315,True
downweight_dominant_center,-0.06,0.05,1.0,0.0,-0.017866666666666697,0.0027345525735991746,-0.042200000000000036,0.01231665539016174,0.07820000000000008,0.012194260945215182,0.08101287124742713,0.012779651618020292,0.007474399999999992,0.005086151865605315,True
downweight_dominant_center,-0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
downweight_dominant_center,-0.05,0.015,0.2,0.447213595499958,-0.0029333333333333212,0.006559132733999355,-0.008000000000000007,0.017888543819998336,0.014200000000000013,0.03175216528049704,0.01456253141646402,0.032562810171689854,0.0006759999999999877,0.0015115819527898302,False
