dataset_backbone,condition,n_runs,bio_scanner_probe_accuracy_mean,bio_scanner_probe_accuracy_std,bio_mean_paired_cosine_mean,bio_mean_paired_cosine_std,bio_worst_paired_cosine_mean,bio_worst_paired_cosine_std,bio_mean_top1_retrieval_mean,bio_mean_top1_retrieval_std,bio_worst_top1_retrieval_mean,bio_worst_top1_retrieval_std,bio_effective_rank_mean,bio_effective_rank_std,acq_scanner_probe_accuracy_mean,acq_scanner_probe_accuracy_std,acq_mean_paired_cosine_mean,acq_mean_paired_cosine_std,acq_worst_paired_cosine_mean,acq_worst_paired_cosine_std,acq_mean_top1_retrieval_mean,acq_mean_top1_retrieval_std,acq_worst_top1_retrieval_mean,acq_worst_top1_retrieval_std,acq_effective_rank_mean,acq_effective_rank_std,biological_acquisition_cross_covariance_mean,biological_acquisition_cross_covariance_std,scanner_probe_delta_mean,scanner_probe_delta_std,paired_cosine_delta_mean,paired_cosine_delta_std,top1_retrieval_delta_mean,top1_retrieval_delta_std,effective_rank_delta_mean,effective_rank_delta_std,bio_scanner_tissue_ratio_mean,bio_scanner_tissue_ratio_std,acq_scanner_tissue_ratio_mean,acq_scanner_tissue_ratio_std
SCORPION_DINOv2,shuffled_region_pairs,25,0.3735733333333333,0.028814214027822308,0.808928780078888,0.005637539367194962,0.7631822729110718,0.006625966113377435,0.9953577777777777,0.0024469725983588945,0.9839333333333334,0.007682819805553763,39.07685841307836,0.9906415833754717,0.8520088888888889,0.026710494847146184,0.43283662782795723,0.020276087141453344,-0.08316874099895358,0.042336917506297395,0.39105999999999996,0.028544514906996072,0.1742,0.04178873477277656,10.575648885553697,0.649165680488034,0.10544303596019745,0.0032864518715281887,0.47843555555555556,0.026177652015040912,-0.3760921522509307,0.023565019667266002,-0.6042977777777778,0.02941176068627424,-28.50120952752467,1.0331653829388159,0.3753206423246185,0.02898959703992746,2.188519969461124,0.15423421134723275
SCORPION_DINOv2,shuffled_sample_pairs,25,0.3588355555555555,0.03784092108606733,0.7668202250003815,0.00892866077008535,0.7168447422981262,0.016691840496588745,0.9792422222222221,0.005148711333436927,0.9494,0.014688921107153545,35.22585177852263,1.0649912556470011,0.8558222222222223,0.02398070211803804,0.45858163718692957,0.019750219963323875,-0.04087835447862744,0.03701781322342996,0.4179888888888889,0.025740858979211523,0.18504444444444446,0.042297970551282975,11.09460330117533,0.49893083901690677,0.10289278984069825,0.004349731159916323,0.4969866666666667,0.03163637797730066,-0.3082385878134519,0.02404918576341036,-0.5612533333333333,0.026372397771107815,-24.13124847734731,1.0770974382630338,0.36644940563907386,0.038675948859345465,2.0530935722136188,0.10642228556555203
SCORPION_DINOv2,true_pairs,25,0.3997777777777778,0.037550459877836874,0.8795768868923186,0.006381896040981288,0.8502300524711609,0.01030855615449876,0.9999133333333333,0.00020291091519724844,0.9991333333333333,0.002029109151972181,54.45141185935111,4.113757638954357,0.8582311111111112,0.024191237402790926,0.2794805098613724,0.02891470459474268,-0.3536864149570465,0.047853148065188464,0.09437333333333334,0.01298520763345549,0.030977777777777785,0.010139561114194114,5.133715480836546,0.2854176028497597,0.0917091652750969,0.003909367677065816,0.4584533333333334,0.030649718881087844,-0.6000963770309463,0.03234174332287635,-0.90554,0.012928006969271433,-49.317696378514555,3.9494589276219734,0.39981417831638316,0.037573098517956836,9.279354081781058,1.457578231225167
SCORPION_Phikon,shuffled_region_pairs,25,0.4340711111111112,0.036501463976503515,0.6913147790431975,0.007689444448281165,0.6022239422798157,0.012049280913985046,0.9603155555555556,0.007988654506426314,0.8991777777777777,0.019874296322662292,44.39034498132671,1.7512465585232446,0.9673422222222221,0.01221506187563187,0.3496511160936206,0.02736055536179858,0.03132796606048942,0.060258187922748695,0.44738666666666665,0.055907048905159996,0.28615555555555555,0.07470723379896356,15.44068410387364,0.9163214499686047,0.11144584327936173,0.004526325690736661,0.5332711111111111,0.03477698022987998,-0.34166366294957695,0.030797306285619476,-0.5129288888888888,0.056475641440639594,-28.949660877453084,1.7081197499939753,0.45208700390062434,0.03875983959482265,2.2059422844642085,0.3752050054133015
SCORPION_Phikon,shuffled_sample_pairs,25,0.4085333333333333,0.0501896813620722,0.6158467257022857,0.016768957683811918,0.47411992073059084,0.026549449342892724,0.8762866666666667,0.017558029010001367,0.6756666666666667,0.05695167072486908,42.545296058155046,1.973812534442828,0.9657511111111111,0.014725516053614812,0.3713856331408024,0.023692919671583285,0.051822472214698795,0.057431906711901876,0.47352888888888883,0.04591429471142661,0.3139777777777778,0.06701216031161532,15.636671583730697,0.7805623356413304,0.11263976156711579,0.004628584420633355,0.5572177777777777,0.04867242144226539,-0.2444610925614834,0.02131665208230369,-0.4027577777777777,0.048746786535430874,-26.908624474424354,2.3205594367138964,0.46648601516661414,0.05928936920261029,2.058649389965319,0.20943946711236935
SCORPION_Phikon,true_pairs,25,0.5200444444444444,0.04642375048456873,0.8644930913448334,0.006087660828004725,0.8300214338302613,0.005967991221529675,0.9996799999999999,0.0004117862324490441,0.9974444444444444,0.0031590226128207295,46.75071637524961,3.668099914222558,0.9710933333333334,0.013453000032578011,0.162433669205755,0.027728654534321672,-0.2031186728179455,0.07468951749980524,0.07391777777777779,0.012150411092301945,0.03686666666666667,0.011918447160433669,8.602407935948454,0.5813740108242802,0.08886689931154251,0.004176956592770401,0.45104888888888894,0.04124230917205797,-0.7020594221390785,0.03037261335959871,-0.9257622222222223,0.01200634820082033,-38.14830843930116,3.6225995830307256,0.5202124173778745,0.0464589778889821,13.4935842781151,2.3058577342277173
SCORPION_ResNet50,shuffled_region_pairs,25,0.30450666666666665,0.031841784800153074,0.5188143630027772,0.009767851502840867,0.44869267582893374,0.016776942873821952,0.8839444444444443,0.016203066125022522,0.7980444444444444,0.026111170212699063,81.66953550818884,3.62696825726819,0.7805600000000001,0.039067953882640595,0.45595602297782906,0.03201004287724208,0.17891284346580505,0.06125259845338854,0.32510666666666665,0.03533110914849054,0.19753333333333334,0.03521979779014356,14.325371094681064,0.5258452673504722,0.08506163239479064,0.0036803749565344226,0.47605333333333333,0.028608560116408464,-0.06285834002494814,0.02708632750849643,-0.5588377777777778,0.026990157480515836,-67.34416441350778,3.481247748734829,0.3446750211019461,0.037563578954140454,2.4405328712209093,0.3947324974462978
SCORPION_ResNet50,shuffled_sample_pairs,25,0.30665777777777775,0.03327275235658625,0.5083236049413681,0.008694691122665466,0.4438923609256744,0.013777043846282675,0.8774822222222223,0.014622379122202246,0.800311111111111,0.020957089217669655,81.43773514241849,3.444948739567964,0.7806933333333334,0.042899073824261315,0.4689023081064224,0.027965744966208787,0.19817611157894136,0.056680533593759456,0.3447511111111112,0.03401187126329975,0.20837777777777777,0.03243778470461893,14.825273555030424,0.41068982034254314,0.08465246319770812,0.0033824182231680763,0.4740355555555555,0.032361428547163486,-0.039421296834945684,0.022888935272038904,-0.5327311111111112,0.02468358237134811,-66.61246158738808,3.3704300013289803,0.3499112422703922,0.041922892167544794,2.2954830932853896,0.346764828067303
SCORPION_ResNet50,true_pairs,25,0.3144622222222222,0.04333945445846315,0.6544406836032867,0.008495438216437693,0.5978132653236389,0.015070421081902761,0.97262,0.006543906001870514,0.9454888888888888,0.012868358489168725,85.08746652068234,6.001838955018165,0.7845333333333333,0.04127604552469116,0.31398109487071635,0.045473724288096956,-0.04503017317503691,0.08398510459269046,0.17052444444444448,0.027493897003298448,0.09255555555555556,0.024718580672293364,9.241400104352593,0.5603111373162195,0.0895672732591629,0.0038831693704792377,0.47007111111111116,0.030654702443393612,-0.34045958873257043,0.049274670455633496,-0.8020955555555556,0.024779581399228385,-75.84606641632973,5.576792738867581,0.323363284469342,0.044988684642653494,4.771102077935912,1.1394150531576384
canineSCC_DINOv2,shuffled_region_pairs,25,0.3056734275269665,0.020843994305186492,0.5421641640663146,0.020829571936618788,0.4210631227493286,0.031343715043513264,0.729273992766325,0.017166805147153744,0.5158278809313291,0.042136630435537704,54.513186314989355,1.9839624289041426,0.8646739174047704,0.02456097929155638,0.53430151450634,0.029162924560604733,0.3897213292121887,0.055653363355221745,0.43760121664314044,0.0331873840089469,0.2781839909603067,0.0444511555740274,20.278006799982002,0.8466857830046031,0.08710586667060852,0.010991977350879076,0.5590004898778038,0.027180572577116906,-0.007862649559974672,0.020178791602024817,-0.2916727761231845,0.027802500543648256,-34.235179515007346,2.2755955977862206,0.4194066870264253,0.030784820585385737,1.989589698114135,0.19250478882468255
