dataset_backbone,fold,seed,condition,bio_scanner_probe_accuracy,bio_mean_paired_cosine,bio_worst_paired_cosine,bio_mean_top1_retrieval,bio_worst_top1_retrieval,bio_effective_rank,acq_scanner_probe_accuracy,acq_mean_paired_cosine,acq_worst_paired_cosine,acq_mean_top1_retrieval,acq_worst_top1_retrieval,acq_effective_rank,biological_acquisition_cross_covariance
SCORPION_DINOv2,0,701,true_pairs,0.41800000000000004,0.8786423563957214,0.8534649610519409,1.0,1.0,55.80824591221862,0.8459999999999999,0.2850710693746805,-0.3036777675151825,0.08950000000000001,0.034999999999999996,5.253207635071077,0.09695681929588318
SCORPION_DINOv2,0,701,shuffled_region_pairs,0.348,0.8016615688800812,0.7606022357940674,0.9959999999999999,0.985,39.91091316267216,0.836,0.43618094325065615,-0.035514503717422485,0.394,0.185,10.772214125464057,0.10412688553333282
SCORPION_DINOv2,0,701,shuffled_sample_pairs,0.33599999999999997,0.764339804649353,0.7056007981300354,0.9815000000000002,0.965,35.94175253423372,0.8440000000000001,0.4550868676975369,-0.008280498906970024,0.3955,0.2,11.225212292102523,0.10377300530672073
SCORPION_DINOv2,0,702,true_pairs,0.37,0.8761184692382813,0.8523958325386047,1.0,1.0,56.587847751378476,0.844,0.29793653935194014,-0.29356715083122253,0.094,0.025,5.45535305050221,0.09440017491579056
SCORPION_DINOv2,0,702,shuffled_region_pairs,0.356,0.8015367090702057,0.7511744499206543,0.9925,0.975,39.93701320290491,0.8320000000000001,0.4573029353749007,-0.004422799218446016,0.382,0.165,11.078712588312765,0.10558942705392838
SCORPION_DINOv2,0,702,shuffled_sample_pairs,0.336,0.7691822707653045,0.7117018103599548,0.9755,0.955,34.15431033789249,0.8320000000000001,0.4665440048556775,0.004666920285671949,0.39299999999999996,0.195,11.454259215809435,0.10612937062978745
SCORPION_DINOv2,0,703,true_pairs,0.35200000000000004,0.8767441928386688,0.8507982492446899,1.0,1.0,56.6821515372095,0.8379999999999999,0.2920127272605896,-0.2880640923976898,0.10800000000000001,0.04,5.399134411241835,0.09759481251239777
SCORPION_DINOv2,0,703,shuffled_region_pairs,0.348,0.8024670243263244,0.7621550559997559,0.9959999999999999,0.985,42.065663953819794,0.8480000000000001,0.4492198064923286,-0.01593787968158722,0.376,0.175,11.100035738726424,0.09762944281101227
SCORPION_DINOv2,0,703,shuffled_sample_pairs,0.33199999999999996,0.75523082613945,0.6903948187828064,0.978,0.9450000000000001,36.75117957483691,0.852,0.46235709823668003,0.007575575262308121,0.3935,0.19,11.270696905993816,0.10254858434200287
SCORPION_DINOv2,0,704,true_pairs,0.38199999999999995,0.8771757304668426,0.8528202772140503,0.9994999999999999,0.995,56.905464457478715,0.858,0.31138901263475416,-0.31140297651290894,0.0835,0.02,5.139870984689494,0.09386266767978668
