contrast_type,fold,neural_seed,k_value,biological_scanner_balanced_accuracy,acquisition_scanner_balanced_accuracy,bio_minus_acq_scanner_balanced_accuracy,biological_scanner_macro_f1,acquisition_scanner_macro_f1,bio_minus_acq_scanner_macro_f1,biological_category_balanced_accuracy,acquisition_category_balanced_accuracy,bio_minus_acq_category_balanced_accuracy,biological_category_macro_f1,acquisition_category_macro_f1,bio_minus_acq_category_macro_f1,biological_category_weighted_f1,acquisition_category_weighted_f1,bio_minus_acq_category_weighted_f1,biological_scanner_category_ratio,acquisition_scanner_category_ratio,bio_minus_acq_scanner_category_ratio,biological_category_scanner_ratio,acquisition_category_scanner_ratio,bio_minus_acq_category_scanner_ratio,biological_neighborhood_purity_k1,acquisition_neighborhood_purity_k1,bio_minus_acq_neighborhood_purity_k1,biological_neighborhood_purity_k5,acquisition_neighborhood_purity_k5,bio_minus_acq_neighborhood_purity_k5,biological_neighborhood_purity_k10,acquisition_neighborhood_purity_k10,bio_minus_acq_neighborhood_purity_k10,keep_scanner_balanced_accuracy,removed_scanner_balanced_accuracy,keep_minus_removed_scanner_balanced_accuracy,keep_scanner_macro_f1,removed_scanner_macro_f1,keep_minus_removed_scanner_macro_f1,keep_category_balanced_accuracy,removed_category_balanced_accuracy,keep_minus_removed_category_balanced_accuracy,keep_category_macro_f1,removed_category_macro_f1,keep_minus_removed_category_macro_f1,keep_category_weighted_f1,removed_category_weighted_f1,keep_minus_removed_category_weighted_f1,keep_scanner_category_ratio,removed_scanner_category_ratio,keep_minus_removed_scanner_category_ratio,keep_category_scanner_ratio,removed_category_scanner_ratio,keep_minus_removed_category_scanner_ratio,keep_neighborhood_purity_k1,removed_neighborhood_purity_k1,keep_minus_removed_neighborhood_purity_k1,keep_neighborhood_purity_k5,removed_neighborhood_purity_k5,keep_minus_removed_neighborhood_purity_k5,keep_neighborhood_purity_k10,removed_neighborhood_purity_k10,keep_minus_removed_neighborhood_purity_k10
true_pair_branch,0,911,,0.3652777777777777,0.8472222222222221,-0.4819444444444444,0.357036576848397,0.8474793715678819,-0.4904427947194849,0.3527046783625731,0.3288502013682003,0.023854476994372764,0.3034418191783683,0.2806738262679195,0.022767992910448842,0.3232105620096583,0.2641258835343631,0.059084678475295194,1.0356476683937823,2.576316568143504,-1.5406688997497218,0.9655793476085652,0.38815105735263,0.5774282902559352,0.9611111111111112,0.5597222222222222,0.401388888888889,0.8766666666666667,0.4788888888888888,0.3977777777777779,0.7219444444444445,0.4277777777777777,0.2941666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shuffled_sample_branch,0,911,,0.3819444444444445,0.7999999999999999,-0.41805555555555546,0.3829160178975647,0.8015937014262118,-0.4186776835286471,0.2925986842105263,0.3519908786641657,-0.05939219445363936,0.260973603958924,0.2551223355409306,0.005851268417993383,0.2916991883747662,0.2723226909031444,0.01937649747162179,1.3053525701080508,2.2727861671758816,-0.9674335970678307,0.7660765550239234,0.4399885983302071,0.32608795669371626,0.9097222222222222,0.7138888888888889,0.1958333333333333,0.7663888888888889,0.6088888888888889,0.15749999999999997,0.61875,0.5234722222222222,0.0952777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true_pair_branch,0,912,,0.3541666666666666,0.8277777777777778,-0.47361111111111126,0.3522696955568009,0.8268545196980039,-0.47458482414120307,0.3048706967891426,0.286929801574166,0.017940895214976604,0.2560474158356,0.2376130936714946,0.01843432216410537,0.2833291706928219,0.2143368502237334,0.06899232046908849,1.1616946803897603,2.8849487687803417,-1.7232540883905814,0.860811379169344,0.3466266059285226,0.5141847732408213,0.9611111111111112,0.5708333333333333,0.39027777777777795,0.8822222222222222,0.4911111111111111,0.39111111111111113,0.7173611111111111,0.4338888888888889,0.28347222222222224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shuffled_sample_branch,0,912,,0.375,0.8041666666666668,-0.4291666666666668,0.3742751991122323,0.8036070075286584,-0.42933180841642615,0.282075655596013,0.293166170142337,-0.011090514546323982,0.2366487259976047,0.2055945230841584,0.031054202913446294,0.2359476563863786,0.2451257251904593,-0.009178068804080702,1.3294305714105037,2.7430404615792834,-1.4136098901687797,0.7522017482560348,0.364558968052647,0.3876427802033878,0.9111111111111112,0.6763888888888889,0.23472222222222228,0.7841666666666667,0.5797222222222222,0.20444444444444443,0.6406944444444445,0.5204166666666666,0.12027777777777782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true_pair_branch,0,913,,0.3361111111111111,0.8333333333333334,-0.4972222222222223,0.329316050666569,0.8331143075525723,-0.5037982568860033,0.3245100730074663,0.2901218783331494,0.03438819467431692,0.2722018922644523,0.2159455818926038,0.0562563103718485,0.2931153067397812,0.1777440979052993,0.1153712088344819,1.0357493929113808,2.8723560529840824,-1.8366066600727016,0.9654845147329576,0.3481462539997793,0.6173382607331783,0.9611111111111112,0.5486111111111112,0.4125000000000001,0.8794444444444445,0.4813888888888888,0.39805555555555566,0.7331944444444445,0.4327777777777777,0.3004166666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shuffled_sample_branch,0,913,,0.4041666666666667,0.7805555555555557,-0.376388888888889,0.4033595416379092,0.7784871162846141,-0.3751275746467049,0.270869193423811,0.2973171135385634,-0.026447920114752388,0.1860703538645765,0.2083296878838657,-0.0222593340192892,0.2285386811569849,0.2329518094123328,-0.004413128255347898,1.4921101272461572,2.62533006010202,-1.133219932855863,0.6701918187805634,0.3809044870956683,0.2892873316848951,0.9111111111111112,0.6986111111111111,0.21250000000000013,0.7633333333333333,0.6061111111111112,0.15722222222222215,0.6193055555555556,0.5345833333333333,0.08472222222222225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true_pair_branch,0,914,,0.3708333333333333,0.8402777777777779,-0.4694444444444446,0.3664872485896725,0.8403145876274911,-0.4738273390378186,0.3334788195593806,0.2920695869653169,0.041409232594063705,0.2455194330177637,0.1960087204282969,0.04951071258946679,0.295813301007735,0.1930763617581398,0.1027369392495952,1.112014651555108,2.8769780055105856,-1.7649633539554777,0.8992687269017006,0.3475869464711209,0.5516817804305797,0.9569444444444444,0.5736111111111111,0.3833333333333333,0.8713888888888889,0.4955555555555556,0.3758333333333333,0.7094444444444444,0.4377777777777777,0.2716666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shuffled_sample_branch,0,914,,0.3791666666666666,0.8055555555555556,-0.426388888888889,0.3787132463045523,0.8035108510371618,-0.4247976047326095,0.2608276554856744,0.3002895472433705,-0.0394618917576961,0.1807867751977915,0.2102973543019205,-0.02951057910412902,0.2064104436188999,0.2268205976422215,-0.02041015402332161,1.4537057658270132,2.682596057540061,-1.2288902917130478,0.6878971133688115,0.3727732310607357,0.31512388230807586,0.9111111111111112,0.7069444444444445,0.20416666666666672,0.7625,0.6016666666666667,0.16083333333333327,0.6302777777777778,0.5108333333333334,0.11944444444444446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true_pair_branch,0,915,,0.3652777777777777,0.825,-0.45972222222222225,0.3512137602456377,0.8238203044055716,-0.4726065441599339,0.2964593907462576,0.2911673608812387,0.005292029865018921,0.2162555254696649,0.1955776801401905,0.020677845329474392,0.2683296029236559,0.1945380605950043,0.07379154232865157,1.2321342793638217,2.8334219793835365,-1.6012877000197148,0.8115998529935571,0.3529301344015015,0.4586697185920556,0.9541666666666668,0.55,0.4041666666666668,0.8811111111111111,0.4930555555555556,0.3880555555555555,0.7223611111111111,0.43,0.2923611111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shuffled_sample_branch,0,915,,0.3708333333333333,0.7902777777777777,-0.41944444444444445,0.3710358240380343,0.7850137570119576,-0.4139779329739233,0.2811053872889771,0.3378633132884622,-0.05675792599948509,0.2290210304018951,0.2319892866790249,-0.0029682562771298215,0.2223736826279779,0.2438185208858388,-0.021444838257860893,1.3191968211982916,2.339045841011602,-1.0198490198133106,0.7580369994309496,0.4275247549520085,0.3305122444789411,0.9027777777777778,0.7027777777777777,0.20000000000000007,0.7583333333333333,0.6058333333333333,0.15249999999999997,0.62125,0.5193055555555556,0.1019444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true_pair_branch,1,911,,0.3597883597883597,0.8497354497354497,-0.48994708994708996,0.3561565874891693,0.8489042279930775,-0.49274764050390824,0.2899317242878886,0.3052933246357903,-0.015361600347901683,0.2524338461845819,0.2596563475741036,-0.007222501389521685,0.3999633536975309,0.3922490709218509,0.0077142827756799814,1.24094167574124,2.7833410728818566,-1.5423993971406167,0.80583964544722,0.3592804380832153,0.4465592073640047,0.9915343915343916,0.5767195767195767,0.41481481481481486,0.904126984126984,0.466031746031746,0.438095238095238,0.7617989417989418,0.4079365079365079,0.35386243386243393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shuffled_sample_branch,1,911,,0.4158730158730158,0.8105820105820106,-0.39470899470899484,0.4146814473878277,0.8094825077752874,-0.3948010603874597,0.3313598608393129,0.3678108284409654,-0.036450967601652506,0.2883221418863514,0.3672431675003083,-0.07892102561395686,0.4154609750358346,0.4545065538051303,-0.03904557876929565,1.2550494644089862,2.203801378055706,-0.94875191364672,0.7967813447662868,0.4537614006223398,0.343019944143947,0.9555555555555556,0.7523809523809524,0.20317460317460323,0.795978835978836,0.6194708994708995,0.1765079365079365,0.6483597883597884,0.5394708994708994,0.10888888888888892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true_pair_branch,1,912,,0.3492063492063492,0.8592592592592594,-0.5100529100529102,0.3461013945479415,0.8587940577746209,-0.5126926632266795,0.3743465970863231,0.299108936725375,0.07523766036094814,0.3749459783230307,0.2531523214277675,0.12179365689526322,0.4690902093516897,0.366813957622412,0.10227625172927773,0.9328423229284046,2.8727301452988105,-1.939887822370406,1.0719925280199254,0.3481009177407381,0.7238916102791872,0.9904761904761904,0.5756613756613757,0.41481481481481475,0.9066666666666666,0.4569312169312169,0.4497354497354497,0.7596825396825397,0.4013756613756614,0.35830687830687835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shuffled_sample_branch,1,912,,0.4137566137566137,0.8243386243386241,-0.41058201058201044,0.4118914503612194,0.8230021804668674,-0.41111073010564797,0.3374603174603174,0.3629288975864318,-0.025468580126114415,0.2708344378644596,0.3096536223234206,-0.03881918445896099,0.3844697009476936,0.4508483099273006,-0.06637860897960696,1.2260896832862966,2.2713502006059114,-1.0452605173196148,0.8156010230179028,0.4402667627974045,0.3753342602204983,0.9513227513227512,0.7682539682539683,0.18306878306878294,0.7904761904761904,0.6321693121693122,0.15830687830687828,0.6492063492063492,0.5505820105820106,0.09862433862433861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true_pair_branch,1,913,,0.3767195767195767,0.856084656084656,-0.4793650793650793,0.3755753481364555,0.855456084208593,-0.4798807360721375,0.398008262665797,0.296884974994564,0.10112328767123296,0.3988813981491855,0.2506455164237105,0.14823588172547497,0.4771712222763956,0.3502757218955921,0.1268955003808035,0.9465119497679972,2.8835566909384043,-1.937044741170407,1.0565106972448826,0.346793944832958,0.7097167524119246,0.9915343915343916,0.5936507936507937,0.39788359788359795,0.9087830687830688,0.4641269841269841,0.4446560846560847,0.7594708994708995,0.4015873015873016,0.3578835978835979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shuffled_sample_branch,1,913,,0.4232804232804232,0.8349206349206348,-0.41164021164021164,0.4213484249295031,0.8339725024337644,-0.41262407750426133,0.3283944335725158,0.3533268101761252,-0.02493237660360942,0.2799291406505029,0.3564562001793296,-0.07652705952882671,0.4124022404595451,0.4485385050024795,-0.03613626454293439,1.288939092772274,2.36302655466322,-1.074087461890946,0.7758318493150687,0.4231861034428877,0.35264574587218095,0.9523809523809524,0.7407407407407407,0.21164021164021174,0.7942857142857143,0.6167195767195767,0.1775661375661376,0.6460317460317461,0.5367195767195767,0.10931216931216936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
