representation,representation_family,branch,fold,neural_seed,k_value,scanner_balanced_accuracy,scanner_macro_f1,category_balanced_accuracy,category_macro_f1,category_weighted_f1,neighborhood_purity_k1,neighborhood_purity_k5,neighborhood_purity_k10,scanner_category_ratio,category_scanner_ratio
original_frozen_features,frozen,original,0,,,0.85,0.8500756318396574,0.3462390350877193,0.29400421114130787,0.3099295141213824,0.9388888888888889,0.8525,0.69875,2.454951388668968,0.4073400412796698
original_frozen_features,frozen,original,1,,,0.8402116402116402,0.8401974473264572,0.38365035877364645,0.38947191806024595,0.48400488864099145,0.9830687830687831,0.8876190476190476,0.7525925925925926,2.190045235191256,0.45661157309961703
original_frozen_features,frozen,original,2,,,0.8579310344827586,0.8588101444337927,0.48903263403263403,0.4094137240951029,0.47656917824327355,0.9448275862068966,0.8601379310344828,0.708,1.7543431149126694,0.5700139223049191
original_frozen_features,frozen,original,3,,,0.8846153846153847,0.8847622600191384,0.4197600927737914,0.36276117121283763,0.4288444058176399,0.985897435897436,0.8982051282051282,0.7655128205128205,2.1074308869378484,0.47451140922254675
original_frozen_features,frozen,original,4,,,0.887719298245614,0.8876757971747711,0.3692614695856947,0.336172461970951,0.43569513319246267,0.9473684210526315,0.8580116959064328,0.7285380116959065,2.40403987787196,0.4159664775965336
linear_keep_k1,linear_decomposition,keep,0,,1,0.7847222222222222,0.7833610304978973,0.3546271929824561,0.30387747108250424,0.3189823411542319,0.9402777777777778,0.8522222222222222,0.6986111111111111,2.212808937810484,0.45191429902189095
linear_keep_k1,linear_decomposition,keep,1,,1,0.780952380952381,0.7776147937658555,0.3868053924766253,0.3930539139661459,0.48831397469236476,0.9830687830687831,0.8878306878306879,0.7526984126984126,2.0189800766533366,0.4952995879273861
linear_keep_k1,linear_decomposition,keep,2,,1,0.8220689655172414,0.8239919847528381,0.4845881895881896,0.4064134580115409,0.47434350759738986,0.9448275862068966,0.8606896551724138,0.7073103448275863,1.6964279839668566,0.5894738883413381
linear_keep_k1,linear_decomposition,keep,3,,1,0.8282051282051281,0.8289843219992792,0.41984634340798727,0.3654802641327,0.4320864563309725,0.985897435897436,0.8982051282051282,0.7657692307692308,1.9726386598544619,0.506935213402833
linear_keep_k1,linear_decomposition,keep,4,,1,0.8257309941520468,0.8239129986903885,0.3718533150530216,0.33893825344407497,0.44037410088980894,0.9485380116959065,0.8582456140350877,0.7291228070175438,2.2205825811565183,0.4503322724792259
linear_keep_k16,linear_decomposition,keep,0,,4,0.6583333333333333,0.6574151068658958,0.34711933134723605,0.29561109621460385,0.3098432880412507,0.9402777777777778,0.8536111111111111,0.7,1.8965620001001289,0.5272698704008649
linear_keep_k16,linear_decomposition,keep,1,,4,0.7185185185185186,0.7168459475823539,0.3868884540117417,0.39217755480693106,0.4874539458039612,0.9841269841269841,0.8893121693121693,0.7544973544973544,1.8571722962213604,0.5384530030060323
linear_keep_k16,linear_decomposition,keep,2,,4,0.6758620689655173,0.6752711672549202,0.4858676508676509,0.4093958925097477,0.4763237641968684,0.9448275862068966,0.8620689655172413,0.7082758620689655,1.3910415063826103,0.7188858099572385
linear_keep_k16,linear_decomposition,keep,3,,4,0.7153846153846153,0.715773874747308,0.4155394288613466,0.35927451967688234,0.4204533722177659,0.9884615384615385,0.8984615384615384,0.7662820512820513,1.7215805906671693,0.5808615672255383
linear_keep_k16,linear_decomposition,keep,4,,4,0.7672514619883041,0.7672254382845288,0.36710632562824014,0.33293186551817183,0.43273841001128366,0.952046783625731,0.8603508771929824,0.7299415204678362,2.0899979336375734,0.47846937257948985
linear_keep_k2,linear_decomposition,keep,0,,2,0.736111111111111,0.7358623062943721,0.35596884309831184,0.3060507392878196,0.3214701741788563,0.9402777777777778,0.8525,0.6991666666666667,2.0679088223117637,0.48358031515242367
linear_keep_k2,linear_decomposition,keep,1,,2,0.7534391534391534,0.7517243192694284,0.39317416829745594,0.39893581634676534,0.4934584147525272,0.9851851851851852,0.8884656084656085,0.7536507936507937,1.9162987148971062,0.5218393104509774
linear_keep_k2,linear_decomposition,keep,2,,2,0.7641379310344828,0.7643019926609922,0.4853457653457654,0.407806285980057,0.47553500510396557,0.9448275862068966,0.8604137931034482,0.7075862068965517,1.5744196933295647,0.6351546568153067
linear_keep_k2,linear_decomposition,keep,3,,2,0.7705128205128206,0.7705734943652753,0.4166108574327752,0.35902660065893155,0.4237824663441586,0.985897435897436,0.8974358974358975,0.7661538461538462,1.8494784923773893,0.5406929597297249
linear_keep_k2,linear_decomposition,keep,4,,2,0.7953216374269005,0.7928395329604621,0.36674028858441104,0.33231881700058813,0.43031974682446394,0.9485380116959065,0.8580116959064328,0.7288888888888889,2.168623579636642,0.46112198049951686
linear_keep_k32,linear_decomposition,keep,0,,4,0.6583333333333333,0.6574151068658958,0.34711933134723605,0.29561109621460385,0.3098432880412507,0.9402777777777778,0.8536111111111111,0.7,1.8965620001001289,0.5272698704008649
linear_keep_k32,linear_decomposition,keep,1,,4,0.7185185185185186,0.7168459475823539,0.3868884540117417,0.39217755480693106,0.4874539458039612,0.9841269841269841,0.8893121693121693,0.7544973544973544,1.8571722962213604,0.5384530030060323
linear_keep_k32,linear_decomposition,keep,2,,4,0.6758620689655173,0.6752711672549202,0.4858676508676509,0.4093958925097477,0.4763237641968684,0.9448275862068966,0.8620689655172413,0.7082758620689655,1.3910415063826103,0.7188858099572385
linear_keep_k32,linear_decomposition,keep,3,,4,0.7153846153846153,0.715773874747308,0.4155394288613466,0.35927451967688234,0.4204533722177659,0.9884615384615385,0.8984615384615384,0.7662820512820513,1.7215805906671693,0.5808615672255383
linear_keep_k32,linear_decomposition,keep,4,,4,0.7672514619883041,0.7672254382845288,0.36710632562824014,0.33293186551817183,0.43273841001128366,0.952046783625731,0.8603508771929824,0.7299415204678362,2.0899979336375734,0.47846937257948985
linear_keep_k4,linear_decomposition,keep,0,,4,0.6583333333333333,0.6574151068658958,0.34711933134723605,0.29561109621460385,0.3098432880412507,0.9402777777777778,0.8536111111111111,0.7,1.8965620001001289,0.5272698704008649
linear_keep_k4,linear_decomposition,keep,1,,4,0.7185185185185186,0.7168459475823539,0.3868884540117417,0.39217755480693106,0.4874539458039612,0.9841269841269841,0.8893121693121693,0.7544973544973544,1.8571722962213604,0.5384530030060323
linear_keep_k4,linear_decomposition,keep,2,,4,0.6758620689655173,0.6752711672549202,0.4858676508676509,0.4093958925097477,0.4763237641968684,0.9448275862068966,0.8620689655172413,0.7082758620689655,1.3910415063826103,0.7188858099572385
linear_keep_k4,linear_decomposition,keep,3,,4,0.7153846153846153,0.715773874747308,0.4155394288613466,0.35927451967688234,0.4204533722177659,0.9884615384615385,0.8984615384615384,0.7662820512820513,1.7215805906671693,0.5808615672255383
linear_keep_k4,linear_decomposition,keep,4,,4,0.7672514619883041,0.7672254382845288,0.36710632562824014,0.33293186551817183,0.43273841001128366,0.952046783625731,0.8603508771929824,0.7299415204678362,2.0899979336375734,0.47846937257948985
linear_keep_k8,linear_decomposition,keep,0,,4,0.6583333333333333,0.6574151068658958,0.34711933134723605,0.29561109621460385,0.3098432880412507,0.9402777777777778,0.8536111111111111,0.7,1.8965620001001289,0.5272698704008649
linear_keep_k8,linear_decomposition,keep,1,,4,0.7185185185185186,0.7168459475823539,0.3868884540117417,0.39217755480693106,0.4874539458039612,0.9841269841269841,0.8893121693121693,0.7544973544973544,1.8571722962213604,0.5384530030060323
linear_keep_k8,linear_decomposition,keep,2,,4,0.6758620689655173,0.6752711672549202,0.4858676508676509,0.4093958925097477,0.4763237641968684,0.9448275862068966,0.8620689655172413,0.7082758620689655,1.3910415063826103,0.7188858099572385
