noise_level,seed,strategy,site_id,qwk,accuracy,macro_f1,support
0.0,7,adaptive_ordinal_harm,0,0.7065830721003135,0.4703703703703704,0.46986639336601826,270
0.0,7,adaptive_ordinal_harm,1,0.7013232514177693,0.6,0.5825784928196424,90
0.0,7,adaptive_ordinal_harm,2,0.758436944937833,0.5333333333333333,0.5180915703996906,90
0.0,7,adaptive_ordinal_harm,3,0.6360973411446598,0.5,0.4970513394651326,76
0.0,7,adaptive_ordinal_harm,4,0.7876156314895224,0.52,0.5066926763890782,75
0.0,7,cross_site_blend_50,0,0.7303582652419862,0.4962962962962963,0.4918376169558561,270
0.0,7,cross_site_blend_50,1,0.7571157495256167,0.6,0.5808047950362941,90
0.0,7,cross_site_blend_50,2,0.7954144620811288,0.5777777777777777,0.5579567476119199,90
0.0,7,cross_site_blend_50,3,0.5765605943009202,0.47368421052631576,0.4587878787878788,76
0.0,7,cross_site_blend_50,4,0.7682066724780093,0.52,0.5018821757952193,75
0.0,7,fedavg,0,0.715360501567398,0.44074074074074077,0.4387879059772302,270
0.0,7,fedavg,1,0.728813559322034,0.5888888888888889,0.5808531746031745,90
0.0,7,fedavg,2,0.7747747747747747,0.6222222222222222,0.6166865790521704,90
0.0,7,fedavg,3,0.5977477477477477,0.4342105263157895,0.41600736428322627,76
0.0,7,fedavg,4,0.7723548846329474,0.5466666666666666,0.5341558441558442,75
0.0,7,ordinal_harm_blend_50,0,0.7181082762912259,0.48518518518518516,0.48240544471345254,270
0.0,7,ordinal_harm_blend_50,1,0.7210626185958253,0.6,0.5778129800307219,90
0.0,7,ordinal_harm_blend_50,2,0.7746967071057193,0.5333333333333333,0.5134940328488716,90
0.0,7,ordinal_harm_blend_50,3,0.655875028299751,0.5263157894736842,0.5230959164292498,76
0.0,7,ordinal_harm_blend_50,4,0.7796080122934246,0.52,0.5055633709119466,75
0.0,42,adaptive_ordinal_harm,0,0.7065527065527066,0.48518518518518516,0.46520047400134085,270
0.0,42,adaptive_ordinal_harm,1,0.6457960644007155,0.4666666666666667,0.45326211222345814,90
0.0,42,adaptive_ordinal_harm,2,0.6697588126159555,0.5444444444444444,0.5379440961337513,90
