noise_level,seed,strategy,site_id,grade,recall,support
0.0,42,fedavg,2,4,0.3333333333333333,15
0.0,42,fedavg,2,5,0.8666666666666667,15
0.0,42,fedavg,2,high_grade_4_5,0.7333333333333333,30
0.0,42,fedavg,3,0,0.8461538461538461,13
0.0,42,fedavg,3,1,0.5,12
0.0,42,fedavg,3,2,0.3333333333333333,12
0.0,42,fedavg,3,3,0.5384615384615384,13
0.0,42,fedavg,3,4,0.6153846153846154,13
0.0,42,fedavg,3,5,0.6923076923076923,13
0.0,42,fedavg,3,high_grade_4_5,0.7692307692307693,26
0.0,42,fedavg,4,0,0.6923076923076923,13
0.0,42,fedavg,4,1,0.5,12
0.0,42,fedavg,4,2,0.16666666666666666,12
0.0,42,fedavg,4,3,0.5833333333333334,12
0.0,42,fedavg,4,4,0.46153846153846156,13
0.0,42,fedavg,4,5,0.6923076923076923,13
0.0,42,fedavg,4,high_grade_4_5,0.7692307692307693,26
0.0,42,ordinal_harm_blend_50,0,0,0.8444444444444444,45
0.0,42,ordinal_harm_blend_50,0,1,0.24444444444444444,45
0.0,42,ordinal_harm_blend_50,0,2,0.4444444444444444,45
0.0,42,ordinal_harm_blend_50,0,3,0.28888888888888886,45
0.0,42,ordinal_harm_blend_50,0,4,0.4444444444444444,45
0.0,42,ordinal_harm_blend_50,0,5,0.7777777777777778,45
0.0,42,ordinal_harm_blend_50,0,high_grade_4_5,0.7444444444444445,90
0.0,42,ordinal_harm_blend_50,1,0,0.8,15
0.0,42,ordinal_harm_blend_50,1,1,0.2,15
0.0,42,ordinal_harm_blend_50,1,2,0.4666666666666667,15
0.0,42,ordinal_harm_blend_50,1,3,0.4,15
0.0,42,ordinal_harm_blend_50,1,4,0.4666666666666667,15
0.0,42,ordinal_harm_blend_50,1,5,0.4666666666666667,15
0.0,42,ordinal_harm_blend_50,1,high_grade_4_5,0.6666666666666666,30
0.0,42,ordinal_harm_blend_50,2,0,0.8666666666666667,15
0.0,42,ordinal_harm_blend_50,2,1,0.6,15
0.0,42,ordinal_harm_blend_50,2,2,0.4,15
0.0,42,ordinal_harm_blend_50,2,3,0.4,15
0.0,42,ordinal_harm_blend_50,2,4,0.3333333333333333,15
0.0,42,ordinal_harm_blend_50,2,5,0.7333333333333333,15
0.0,42,ordinal_harm_blend_50,2,high_grade_4_5,0.6,30
0.0,42,ordinal_harm_blend_50,3,0,0.9230769230769231,13
0.0,42,ordinal_harm_blend_50,3,1,0.25,12
