noise_level,seed,strategy,delta_qwk_vs_fedavg,fedavg_qwk,strategy_qwk,delta_accuracy_vs_fedavg,fedavg_accuracy,strategy_accuracy,delta_macro_f1_vs_fedavg,fedavg_macro_f1,strategy_macro_f1
0.0,7,adaptive_ordinal_harm,-0.0032394649072037263,0.7190209123565712,0.7157814474493674,0.006655574043261225,0.502495840266223,0.5091514143094842,0.007456585251910397,0.4967620101593233,0.5042185954112337
0.0,7,cross_site_blend_50,0.01052427076399609,0.7190209123565712,0.7295451831205673,0.021630615640598982,0.502495840266223,0.5241264559068219,0.019346232996050428,0.4967620101593233,0.5161082431553737
0.0,7,ordinal_harm_blend_50,0.008778543876147071,0.7190209123565712,0.7277994562327182,0.016638935108153063,0.502495840266223,0.519134775374376,0.015412878519480033,0.4967620101593233,0.5121748886788033
0.0,42,adaptive_ordinal_harm,0.003308449186528284,0.6941913695024475,0.6974998186889758,-0.0033277870216306127,0.5158069883527454,0.5124792013311148,-0.0034946279745953768,0.5025027264520948,0.49900809847749944
0.0,42,cross_site_blend_50,0.015245901607553902,0.6941913695024475,0.7094372711100014,0.0,0.5158069883527454,0.5158069883527454,-0.012043336107650904,0.5025027264520948,0.4904593903444439
0.0,42,ordinal_harm_blend_50,0.015612660269024081,0.6941913695024475,0.7098040297714716,0.006655574043261225,0.5158069883527454,0.5224625623960066,0.006125762908197552,0.5025027264520948,0.5086284893602924
0.0,99,adaptive_ordinal_harm,-0.012675849460128785,0.5825662777608074,0.5698904283006786,-0.016638935108153063,0.43594009983361065,0.4193011647254576,-0.013410066866843762,0.4271158338339835,0.41370576696713973
0.0,99,cross_site_blend_50,-0.016866239595398014,0.5825662777608074,0.5657000381654094,-0.008319467554076532,0.43594009983361065,0.4276206322795341,-0.003832334510857238,0.4271158338339835,0.42328349932312626
0.0,99,ordinal_harm_blend_50,0.006661806341634824,0.5825662777608074,0.5892280841024422,-0.008319467554076532,0.43594009983361065,0.4276206322795341,-0.00402912840913805,0.4271158338339835,0.42308670542484544
0.0,123,adaptive_ordinal_harm,-0.04797129300153846,0.7197642577522286,0.6717929647506902,-0.03327787021630613,0.5158069883527454,0.4825291181364393,-0.027701134834390406,0.5078816611160332,0.48018052628164276
0.0,123,cross_site_blend_50,-0.04776808315390735,0.7197642577522286,0.6719961745983213,-0.038269550748752046,0.5158069883527454,0.47753743760399336,-0.03833405704014664,0.5078816611160332,0.4695476040758865
0.0,123,ordinal_harm_blend_50,-0.03992046160852902,0.7197642577522286,0.6798437961436996,-0.021630615640598982,0.5158069883527454,0.49417637271214643,-0.014534904957248573,0.5078816611160332,0.4933467561587846
0.0,2025,adaptive_ordinal_harm,0.0035356821309526776,0.6122233079416977,0.6157589900726503,-0.006655574043261225,0.45757071547420963,0.4509151414309484,-0.00851585170655117,0.4454718260275554,0.43695597432100425
0.0,2025,cross_site_blend_50,0.022892089220815093,0.6122233079416977,0.6351153971625128,0.004991680532445919,0.45757071547420963,0.46256239600665555,0.00908989451965908,0.4454718260275554,0.4545617205472145
0.0,2025,ordinal_harm_blend_50,0.0028848117714531663,0.6122233079416977,0.6151081197131508,-0.004991680532445919,0.45757071547420963,0.4525790349417637,-0.007067878083266199,0.4454718260275554,0.4384039479442892
0.25,7,adaptive_ordinal_harm,0.015517147197083192,0.6899987235910106,0.7055158707880937,0.021630615640598982,0.47753743760399336,0.49916805324459235,0.03236447387194391,0.4604955312421502,0.4928600051140941
0.25,7,cross_site_blend_50,0.016399866551615183,0.6899987235910106,0.7063985901426257,0.03993344425956735,0.47753743760399336,0.5174708818635607,0.04361536055552523,0.4604955312421502,0.5041108917976754
0.25,7,ordinal_harm_blend_50,0.01925813177112834,0.6899987235910106,0.7092568553621389,0.038269550748752046,0.47753743760399336,0.5158069883527454,0.046813799250959465,0.4604955312421502,0.5073093304931097
0.25,42,adaptive_ordinal_harm,0.010143389506483302,0.6620869615362436,0.6722303510427269,-0.018302828618968425,0.4858569051580699,0.46755407653910147,-0.024843270061476352,0.4703249824363744,0.44548171237489803
0.25,42,cross_site_blend_50,0.018757645873036966,0.6620869615362436,0.6808446074092805,0.006655574043261225,0.4858569051580699,0.4925124792013311,0.0025731446315555573,0.4703249824363744,0.47289812706792994
0.25,42,ordinal_harm_blend_50,0.008806013930896417,0.6620869615362436,0.67089297546714,-0.006655574043261225,0.4858569051580699,0.47920133111480867,-0.011694528777536684,0.4703249824363744,0.4586304536588377
0.25,99,adaptive_ordinal_harm,0.031792157586246095,0.5571357078964272,0.5889278654826733,-0.006655574043261225,0.4193011647254576,0.41264559068219636,0.0006512402573000675,0.4070905364153676,0.40774177667266764
0.25,99,cross_site_blend_50,0.01475843466140181,0.5571357078964272,0.571894142557829,-0.01663893510815312,0.4193011647254576,0.40266222961730447,-0.014165153774555739,0.4070905364153676,0.39292538264081184
0.25,99,ordinal_harm_blend_50,0.03908206518164192,0.5571357078964272,0.5962177730780691,-0.0033277870216306127,0.4193011647254576,0.415973377703827,0.002119856342366333,0.4070905364153676,0.4092103927577339
0.25,123,adaptive_ordinal_harm,0.016263663658182437,0.6391945477233533,0.6554582113815357,0.006655574043261225,0.4475873544093178,0.454242928452579,0.012101771341485767,0.43110830127975164,0.4432100726212374
0.25,123,cross_site_blend_50,0.0231376882970189,0.6391945477233533,0.6623322360203722,0.026622296173044957,0.4475873544093178,0.47420965058236275,0.03145809708097441,0.43110830127975164,0.46256639836072605
0.25,123,ordinal_harm_blend_50,0.02631146283840924,0.6391945477233533,0.6655060105617625,0.011647254575707144,0.4475873544093178,0.45923460898502494,0.016636770336786233,0.43110830127975164,0.44774507161653787
0.25,2025,adaptive_ordinal_harm,0.003998993484816915,0.5994025063762911,0.603401499861108,-0.0016638935108153063,0.43760399334442596,0.43594009983361065,-0.0038240904186130353,0.42427535857941007,0.42045126816079703
0.25,2025,cross_site_blend_50,0.020167965645097152,0.5994025063762911,0.6195704720213883,0.009983361064891838,0.43760399334442596,0.4475873544093178,0.01206325067227687,0.42427535857941007,0.43633860925168694
0.25,2025,ordinal_harm_blend_50,0.006549188026960362,0.5994025063762911,0.6059516944032515,0.0033277870216306127,0.43760399334442596,0.44093178036605657,0.002565759645802912,0.42427535857941007,0.426841118225213
0.35,7,adaptive_ordinal_harm,0.0013199130071882559,0.6929728741337796,0.6942927871409679,0.019966722129783676,0.4858569051580699,0.5058236272878536,0.026877136242200284,0.4714248224447714,0.4983019586869717
0.35,7,cross_site_blend_50,-0.0011671480974161375,0.6929728741337796,0.6918057260363635,0.029950083194675514,0.4858569051580699,0.5158069883527454,0.031760467357387745,0.4714248224447714,0.5031852898021592
0.35,7,ordinal_harm_blend_50,0.01539265097851883,0.6929728741337796,0.7083655251122984,0.024958402662229595,0.4858569051580699,0.5108153078202995,0.03337953265194854,0.4714248224447714,0.50480435509672
0.35,42,adaptive_ordinal_harm,0.006357799283266297,0.6493602662821476,0.6557180655654139,-0.009983361064891894,0.46921797004991683,0.45923460898502494,-0.011894428979088989,0.44864169906654894,0.43674727008745995
0.35,42,cross_site_blend_50,0.013410295018482121,0.6493602662821476,0.6627705613006297,0.006655574043261225,0.46921797004991683,0.47587354409317806,0.008107307940377562,0.44864169906654894,0.4567490070069265
0.35,42,ordinal_harm_blend_50,0.018835877659061584,0.6493602662821476,0.6681961439412092,-0.0049916805324459745,0.46921797004991683,0.46422628951747086,-0.005892238398843563,0.44864169906654894,0.4427494606677054
0.35,99,adaptive_ordinal_harm,0.0552135443890428,0.5238152180645694,0.5790287624536122,0.009983361064891838,0.40765391014975044,0.4176372712146423,0.016398750073729318,0.3953607425373915,0.4117594926111208
0.35,99,cross_site_blend_50,0.03610439864859938,0.5238152180645694,0.5599196167131688,0.006655574043261225,0.40765391014975044,0.41430948419301167,0.005487685060597214,0.3953607425373915,0.4008484275979887
0.35,99,ordinal_harm_blend_50,0.04661911941523034,0.5238152180645694,0.5704343374797998,0.011647254575707144,0.40765391014975044,0.4193011647254576,0.018252909942124973,0.3953607425373915,0.4136136524795165
0.35,123,adaptive_ordinal_harm,0.02320312104206379,0.6305496668250674,0.6537527878671312,0.029950083194675514,0.43427620632279534,0.46422628951747086,0.04287073940575603,0.41088684099136624,0.4537575803971223
0.35,123,cross_site_blend_50,0.021824413390613695,0.6305496668250674,0.6523740802156811,0.02329450915141429,0.43427620632279534,0.45757071547420963,0.03372435674497953,0.41088684099136624,0.4446111977363458
0.35,123,ordinal_harm_blend_50,0.021801568333022492,0.6305496668250674,0.6523512351580899,0.0266222961730449,0.43427620632279534,0.46089850249584025,0.04038030051895819,0.41088684099136624,0.45126714151032443
0.35,2025,adaptive_ordinal_harm,-0.009111785836058983,0.6113242940988477,0.6022125082627887,-0.0016638935108153063,0.43261231281198004,0.43094841930116473,-0.0034280339258246917,0.4186892616982337,0.415261227772409
0.35,2025,cross_site_blend_50,-0.023509408905360463,0.6113242940988477,0.5878148851934872,0.008319467554076532,0.43261231281198004,0.44093178036605657,0.013049299462814135,0.4186892616982337,0.4317385611610478
0.35,2025,ordinal_harm_blend_50,-0.020320430975229065,0.6113242940988477,0.5910038631236186,-0.004991680532445919,0.43261231281198004,0.4276206322795341,-0.006969132488629681,0.4186892616982337,0.411720129209604
0.45,7,adaptive_ordinal_harm,0.014938471365770756,0.6565256368976853,0.671464108263456,0.028286189683860263,0.46256239600665555,0.4908485856905158,0.028707018095390058,0.45047101481595764,0.4791780329113477
0.45,7,cross_site_blend_50,0.00783856044151654,0.6565256368976853,0.6643641973392018,0.04492512479201333,0.46256239600665555,0.5074875207986689,0.042179374434314465,0.45047101481595764,0.4926503892502721
