noise,strategy,global_qwk_delta,worst_site_qwk_delta,global_qwk,worst_site_qwk
0,adaptive_ordinal_harm,-0.01140849521027798,0.020336159549911748,0.6541447298524725,0.5765526028294989
0,cross_site_blend_50,-0.003194412231388055,-0.008273057200140932,0.6623588128313624,0.5479433860794463
0,fedavg,0.0,0.0,0.6655532250627505,0.5562164432795872
0,ordinal_harm_blend_50,-0.001196527870053976,0.018536900885388508,0.6643566971926965,0.5747533441649757
25,adaptive_ordinal_harm,0.015543070286562433,0.015923287879406778,0.6451067597112276,0.5394524357252782
25,cross_site_blend_50,0.018644320205634002,0.0036909184491537017,0.6482080096302991,0.5272200662950252
25,fedavg,0.0,0.0,0.6295636894246651,0.5235291478458715
25,ordinal_harm_blend_50,0.020001372349807256,0.02076818693678706,0.6495650617744724,0.5442973347826585
35,adaptive_ordinal_harm,0.015396518377100432,0.07056634993628375,0.6370009822579827,0.5575053223360191
35,cross_site_blend_50,0.009332510010983786,0.03431871014576193,0.6309369738918661,0.5212576825454973
35,fedavg,0.0,0.0,0.6216044638808823,0.4869389723997354
35,ordinal_harm_blend_50,0.016465757082120835,0.04701125476004431,0.6380702209630031,0.5339502271597797
45,adaptive_ordinal_harm,0.018358634381922534,0.0001114278976870331,0.6258725180042778,0.5259274432324722
45,cross_site_blend_50,0.018944188851314103,-0.0017993623223513389,0.6264580724736694,0.5240166530124338
45,fedavg,0.0,0.0,0.6075138836223553,0.5258160153347852
45,ordinal_harm_blend_50,0.020583787886294447,-0.006657427793411608,0.6280976715086497,0.5191585875413736
