strategy,n_seeds,global_accuracy_mean,global_accuracy_std,global_loss_mean,global_loss_std,worst_site_accuracy_mean,worst_site_accuracy_std,global_qwk_mean,global_qwk_std,macro_f1_mean,macro_f1_std,worst_site_qwk_mean,worst_site_qwk_std,mean_site_qwk_mean,mean_site_qwk_std,weight_entropy_mean,weight_entropy_std,n_eff_mean,n_eff_std,n_comparable_seeds,delta_vs_fedavg_global_qwk_mean,delta_vs_fedavg_global_qwk_std,wins_vs_fedavg_global_qwk,delta_vs_fedavg_worst_site_qwk_mean,delta_vs_fedavg_worst_site_qwk_std,wins_vs_fedavg_worst_site_qwk,delta_vs_fedavg_mean_site_qwk_mean,delta_vs_fedavg_mean_site_qwk_std,wins_vs_fedavg_mean_site_qwk,delta_vs_fedavg_global_accuracy_mean,delta_vs_fedavg_global_accuracy_std,wins_vs_fedavg_global_accuracy,delta_vs_fedavg_macro_f1_mean,delta_vs_fedavg_macro_f1_std,wins_vs_fedavg_macro_f1
adaptive_ordinal_harm,5,0.47487520798668886,0.03971794320476463,1.288723349571228,0.057094532296617775,0.4402962962962963,0.0388044939628734,0.6541447298524725,0.060337511606769104,0.466813792291704,0.03976874989423011,0.5765526028294989,0.08416159828876496,0.6604921962405391,0.057867584576752014,1.5389971400650513,0.04248436865702251,4.318131571460346,0.3806606414311444,5,-0.011408495210278003,0.02147728051917073,2,0.020336159549911748,0.04816751439249898,4,-0.00488999144096387,0.024715805447455563,3,-0.01064891846921796,0.015140516693613732,1,-0.009133019226094063,0.012946576595311617,1
cross_site_blend_50,5,0.4815307820299501,0.03959577145053802,1.2919986724853516,0.05620065209400568,0.4374035087719298,0.04968407959268561,0.6623588128313624,0.06501613404684285,0.470792091489209,0.035222138867237344,0.5479433860794463,0.09701620600482125,0.6648602998719689,0.0612424511365896,1.56538777288485,0.0007710692440969401,4.547225911077319,0.007684450011304401,5,-0.003194412231388055,0.029079563264441603,3,-0.008273057200140954,0.05750503450799033,2,-0.000521887809533994,0.026819031529849827,3,-0.003993344425956735,0.022061496231570325,2,-0.0051547200285890545,0.022097940414281172,2
fedavg,5,0.4855241264559068,0.03661321960910265,1.278964138031006,0.05503046984319817,0.4446198830409357,0.03761693349514907,0.6655532250627505,0.06393099101647076,0.47594681151779805,0.03698483761466769,0.5562164432795872,0.11837349168661394,0.6653821876815029,0.06284857816513438,1.447865223410363,0.0,3.584382912358957,0.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
ordinal_harm_blend_50,5,0.4831946755407654,0.041773338149405446,1.2867964506149292,0.05370079990516663,0.44584795321637427,0.04172254953209253,0.6643566971926965,0.06000005174097385,0.475128157513403,0.04148382264346089,0.5747533441649757,0.09744546140473923,0.667645098937071,0.05693029778401554,1.5666090598765732,0.0008529642224169141,4.558979012642991,0.00858700184106577,5,-0.001196527870053976,0.022135969914770636,4,0.018536900885388487,0.04189081315068744,2,0.002262911255568123,0.020506570351788687,4,-0.002329450915141429,0.01462902139123677,2,-0.0008186540043950474,0.011717327575247532,2
