policy,noise_std,split,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,auc_mean,auc_std
downweight_dominant_center,0.0,id_val,0.9683333333333334,0.0,0.9683333333333334,0.0,0.9683307681255515,0.0,0.9950822222222222,0.0
downweight_dominant_center,0.0,test,0.9339999999999999,0.0,0.9339999999999999,0.0,0.9339482154008742,0.0,0.978872,0.0
downweight_dominant_center,0.0,val,0.925,0.0,0.925,0.0,0.9249963248199162,0.0,0.9799279999999999,0.0
downweight_dominant_center,0.01,id_val,0.9682666666666666,0.00014907119850002387,0.9682666666666666,0.00014907119850002387,0.9682640569407605,0.000149170744052331,0.9950816888888889,1.0610965675968218e-06
downweight_dominant_center,0.01,test,0.9339999999999999,0.0,0.9339999999999999,0.0,0.9339482154008742,0.0,0.9788712,1.3084341787085271e-05
downweight_dominant_center,0.01,val,0.9254000000000001,0.0005477225575051776,0.9254000000000001,0.0005477225575051776,0.9253959003707004,0.0005471413564801181,0.9799256,1.0430723848325888e-05
downweight_dominant_center,0.03,id_val,0.9681333333333333,0.0001825741858350648,0.9681333333333333,0.0001825741858350648,0.9681306345711784,0.00018269610373977557,0.9950762666666666,7.421024520801496e-06
downweight_dominant_center,0.03,test,0.9334,0.0005477225575052004,0.9334,0.0005477225575051058,0.9333454495037214,0.0005502474646089984,0.9788544,7.702467137226091e-05
downweight_dominant_center,0.03,val,0.9258000000000001,0.00044721359550001314,0.9258000000000001,0.00044721359550001314,0.9257958903629276,0.0004469716273143649,0.9799416000000001,2.9879759035174692e-05
downweight_dominant_center,0.05,id_val,0.9680666666666667,0.00027888667551134716,0.9680666666666667,0.00027888667551134716,0.9680639211336471,0.0002790769470126749,0.9950727111111111,1.131196242157744e-05
downweight_dominant_center,0.05,test,0.9336,0.0005477225575051843,0.9336,0.0005477225575051058,0.9335463714694392,0.0005502474646090208,0.9789071999999999,4.199047511042722e-05
downweight_dominant_center,0.05,val,0.9254000000000001,0.0008944271909999424,0.9254000000000001,0.0008944271909999424,0.9253944229676879,0.0008956978138683139,0.9798624,8.544471897084836e-05
downweight_dominant_center,0.1,id_val,0.9682666666666666,0.0002788866755113991,0.9682666666666666,0.0002788866755113991,0.9682641954929542,0.000279111185716286,0.9950592888888888,1.227101372249174e-05
downweight_dominant_center,0.1,test,0.9342,0.0010954451150103196,0.9342,0.0010954451150103196,0.9341489904875951,0.0011003608476518201,0.9788743999999999,0.0001726174962163793
downweight_dominant_center,0.1,val,0.9262,0.00130384048104055,0.9262,0.00130384048104055,0.9261967632550656,0.0013041906235502355,0.9798296000000001,0.00022709645527839017
downweight_dominant_center,0.2,id_val,0.9683333333333334,0.0007453559924999286,0.9683333333333334,0.0007453559924999286,0.9683309639725998,0.0007457755326742938,0.9950454222222221,2.254301786182677e-05
downweight_dominant_center,0.2,test,0.9350000000000002,0.0009999999999999996,0.9349999999999999,0.0009999999999999916,0.9349524849400772,0.0010042456678576316,0.978936,0.0003222793819033896
downweight_dominant_center,0.2,val,0.9259999999999999,0.0019999999999999797,0.9259999999999999,0.0019999999999999797,0.9259958221038674,0.002001676975191605,0.9796800000000001,0.00039576760857851803
equal_client,0.0,id_val,0.9676666666666666,0.0,0.9676666666666666,0.0,0.9676632138164976,0.0,0.9951617777777779,0.0
equal_client,0.0,test,0.9339999999999999,0.0,0.9339999999999999,0.0,0.9339482154008742,0.0,0.97956,0.0
equal_client,0.0,val,0.9259999999999999,0.0,0.9259999999999999,0.0,0.9259952636968766,0.0,0.98058,0.0
equal_client,0.01,id_val,0.9676666666666666,0.0,0.9676666666666666,0.0,0.9676632138164976,0.0,0.9951638222222222,9.216196157287663e-07
equal_client,0.01,test,0.9339999999999999,0.0,0.9339999999999999,0.0,0.9339482154008742,0.0,0.9795503999999999,1.971801207022362e-05
equal_client,0.01,val,0.9259999999999999,0.0,0.9259999999999999,0.0,0.9259952636968766,0.0,0.9805824000000001,1.663730747453992e-05
equal_client,0.03,id_val,0.9677333333333333,0.0001490711984999618,0.9677333333333333,0.0001490711984999618,0.9677299309891916,0.0001491841334105821,0.9951632888888888,4.9849155174728305e-06
equal_client,0.03,test,0.9339999999999999,0.0,0.9339999999999999,0.0,0.9339482154008742,0.0,0.9795648,5.8062035789262044e-05
equal_client,0.03,val,0.9269999999999999,0.000999999999999986,0.9269999999999999,0.000999999999999986,0.9269963532063683,0.001001072105660488,0.9806039999999999,3.124099870367726e-05
equal_client,0.05,id_val,0.9676666666666666,0.0,0.9676666666666666,0.0,0.9676632138164976,0.0,0.9951603555555556,1.4798732011046597e-05
equal_client,0.05,test,0.9339999999999999,0.0,0.9339999999999999,0.0,0.9339482154008742,0.0,0.9796144,6.42868571327185e-05
equal_client,0.05,val,0.9262,0.00044721359550001314,0.9262,0.00044721359550001314,0.926195495522445,0.0004477319732297608,0.9805168,7.07333019164405e-05
equal_client,0.1,id_val,0.9680666666666667,0.0002788866755113817,0.9680666666666667,0.0002788866755113278,0.9680635122283764,0.00027909243032125225,0.9951428444444443,1.3115253582860145e-05
equal_client,0.1,test,0.9348000000000001,0.0004472135954999604,0.9348000000000001,0.00044721359550001314,0.9347517074250822,0.000449165696377016,0.9796007999999998,0.00018949195233569253
equal_client,0.1,val,0.9266,0.0016733200530681248,0.9266,0.0016733200530681248,0.9265966780306607,0.0016744409446813359,0.980524,0.00022204504047597132
equal_client,0.2,id_val,0.969,0.0007453559924999346,0.969,0.0007453559924999346,0.968997467010794,0.0007458330278639582,0.9951211555555556,3.613910026406121e-05
equal_client,0.2,test,0.9358000000000001,0.0016431676725154724,0.9358000000000001,0.0016431676725154876,0.935754190522663,0.0016506295153597252,0.9796312,0.00032183722593887005
equal_client,0.2,val,0.9262,0.0019235384061671587,0.9262,0.0019235384061671587,0.9261961447606888,0.001925164507485483,0.9803664,0.0003929437618795084
fedavg_equal_patch,0.0,id_val,0.9706666666666667,0.0,0.9706666666666667,0.0,0.9706660278379395,0.0,0.9945777777777778,0.0
fedavg_equal_patch,0.0,test,0.9099999999999999,0.0,0.9099999999999999,0.0,0.9099823565418822,0.0,0.9671679999999998,0.0
fedavg_equal_patch,0.0,val,0.916,0.0,0.916,0.0,0.9159593243129676,0.0,0.9698040000000001,0.0
fedavg_equal_patch,0.01,id_val,0.9705333333333334,0.00018257418583503526,0.9705333333333334,0.0001825741858350648,0.9705327580773021,0.00018264188066671676,0.9945704888888889,2.0224908246544086e-05
fedavg_equal_patch,0.01,test,0.9088,0.0008366600265340788,0.9088,0.0008366600265340788,0.9087839991037013,0.0008345281899646981,0.9670888,0.0001007730122602955
fedavg_equal_patch,0.01,val,0.9146000000000001,0.0013416407864998826,0.9146000000000001,0.0013416407864998696,0.9145560186314018,0.0013486857940833714,0.9696767999999999,9.266714628177806e-05
fedavg_equal_patch,0.03,id_val,0.9708,0.0007302967433402181,0.9708,0.000730296743340225,0.9707994424913968,0.000730545856810267,0.9945645333333333,2.941805945710086e-05
fedavg_equal_patch,0.03,test,0.9088,0.0008366600265340538,0.9088,0.0008366600265340538,0.9087854953996117,0.0008394671690480925,0.9671032,0.0003671228677160048
fedavg_equal_patch,0.03,val,0.9144,0.003130495168499703,0.9144,0.003130495168499687,0.9143540529476839,0.0031481546392058087,0.9698407999999998,0.0003647399073312613
fedavg_equal_patch,0.05,id_val,0.9717333333333334,0.00101105005920687,0.9717333333333334,0.00101105005920687,0.971732945296786,0.0010112725402708271,0.9945770666666667,3.0674073179720535e-05
fedavg_equal_patch,0.05,test,0.9094000000000001,0.0019493588689618033,0.9094,0.0019493588689617617,0.9093537316028512,0.0019412175549326288,0.9671047999999999,0.0005697255479615077
fedavg_equal_patch,0.05,val,0.9172,0.004816637831516912,0.9172,0.004816637831516912,0.9171741528365457,0.004833720587366606,0.9702512000000001,0.0009280405163568469
fedavg_equal_patch,0.1,id_val,0.9706666666666667,0.002185812841433964,0.9706666666666667,0.0021858128414340232,0.9706655681411005,0.002186799850032671,0.9946353777777777,0.00014054764141086857
fedavg_equal_patch,0.1,test,0.9128000000000001,0.00083666002653412,0.9128000000000001,0.00083666002653412,0.9127885347156408,0.0008260034129096478,0.9687056000000001,0.0006463844057524903
fedavg_equal_patch,0.1,val,0.917,0.0012247448713915987,0.917,0.0012247448713915891,0.91696318697726,0.0012276060018531361,0.9708952,0.0015404970626391368
fedavg_equal_patch,0.2,id_val,0.9677333333333333,0.0038972925074837552,0.9677333333333333,0.0038972925074837552,0.9677297530504161,0.0039008778100613193,0.9945750222222222,0.0002714177500859763
fedavg_equal_patch,0.2,test,0.916,0.004949747468305864,0.916,0.0049497474683058195,0.9159791912280413,0.004949608369800969,0.9691495999999999,0.001999465128478101
fedavg_equal_patch,0.2,val,0.9166000000000001,0.0043931765272977544,0.9166000000000001,0.004393176527297734,0.9165630497613309,0.004404546087093944,0.970764,0.003783634231793524
