low_quantile,high_quantile,min_trigger_count,use_entropy,score,clean_trigger_rate,noisy_trigger_rate_mean,clean_global_qwk_delta,clean_worst_site_qwk_delta,noisy_global_qwk_delta_mean,noisy_macro_f1_delta_mean,noisy_worst_site_qwk_delta_mean,noisy_global_positive_regime_count,noisy_global_significant_regime_count,noisy_global_regret_vs_oracle_mean
0.1,0.8,3,False,0.014283552441238306,0.06666666666666667,0.888888888888889,0.0001255099312312824,4.942373882571941e-05,0.007053910418127766,0.0035849898734144846,0.006493582289503729,3,2,-0.0006448008675602419
0.1,0.85,3,False,0.014283552441238306,0.06666666666666667,0.888888888888889,0.0001255099312312824,4.942373882571941e-05,0.007053910418127766,0.0035849898734144846,0.006493582289503729,3,2,-0.0006448008675602419
0.05,0.95,2,False,0.01412054798990375,0.0,0.8444444444444444,0.0,0.0,0.006715770644085528,0.003541784799261092,0.007060265225614276,3,2,-0.00098294064160248
0.15,0.8,3,False,0.014111080802896438,0.13333333333333333,0.888888888888889,0.00030555100125970733,-0.00029396042798877827,0.007053910418127766,0.0035849898734144846,0.006493582289503729,3,2,-0.0006448008675602419
0.2,0.8,3,False,0.014111080802896438,0.13333333333333333,0.888888888888889,0.00030555100125970733,-0.00029396042798877827,0.007053910418127766,0.0035849898734144846,0.006493582289503729,3,2,-0.0006448008675602419
0.15,0.85,3,False,0.014111080802896438,0.13333333333333333,0.888888888888889,0.00030555100125970733,-0.00029396042798877827,0.007053910418127766,0.0035849898734144846,0.006493582289503729,3,2,-0.0006448008675602419
0.2,0.85,3,False,0.014111080802896438,0.13333333333333333,0.888888888888889,0.00030555100125970733,-0.00029396042798877827,0.007053910418127766,0.0035849898734144846,0.006493582289503729,3,2,-0.0006448008675602419
0.1,0.95,2,False,0.013648635160724691,0.06666666666666667,0.9111111111111111,-0.0009191029289690918,-0.0004301519174822873,0.007334563429284446,0.0038417354618982768,0.0069519296202915845,3,2,-0.0003641478564035615
0.05,0.8,2,False,0.013640178650008933,0.26666666666666666,0.9111111111111111,0.00010966563571729685,-0.001379052219090878,0.007334563429284446,0.0038417354618982768,0.0069519296202915845,3,2,-0.0003641478564035615
0.1,0.95,3,False,0.013590958496139987,0.0,0.8222222222222223,0.0,0.0,0.006435117632928848,0.003285039210777299,0.00660191789482642,3,2,-0.0012635936527591602
0.2,0.95,3,False,0.013590958496139987,0.0,0.8222222222222223,0.0,0.0,0.006435117632928848,0.003285039210777299,0.00660191789482642,3,2,-0.0012635936527591602
0.05,0.95,3,False,0.013590958496139987,0.0,0.8222222222222223,0.0,0.0,0.006435117632928848,0.003285039210777299,0.00660191789482642,3,2,-0.0012635936527591602
0.05,0.9,3,False,0.013590958496139987,0.0,0.8222222222222223,0.0,0.0,0.006435117632928848,0.003285039210777299,0.00660191789482642,3,2,-0.0012635936527591602
0.15,0.95,3,False,0.013590958496139987,0.0,0.8222222222222223,0.0,0.0,0.006435117632928848,0.003285039210777299,0.00660191789482642,3,2,-0.0012635936527591602
0.15,0.95,2,False,0.013519834359995738,0.13333333333333333,0.9111111111111111,-0.0007935929977378094,-0.0003807281786565679,0.007334563429284446,0.0038417354618982768,0.0069519296202915845,3,2,-0.0003641478564035615
0.2,0.95,2,False,0.013519834359995738,0.13333333333333333,0.9111111111111111,-0.0007935929977378094,-0.0003807281786565679,0.007334563429284446,0.0038417354618982768,0.0069519296202915845,3,2,-0.0003641478564035615
0.05,0.8,3,False,0.013462157695411033,0.06666666666666667,0.8222222222222223,0.0001255099312312824,4.942373882571941e-05,0.006435117632928848,0.003285039210777299,0.00660191789482642,3,2,-0.0012635936527591602
0.05,0.85,3,False,0.013462157695411033,0.06666666666666667,0.8222222222222223,0.0001255099312312824,4.942373882571941e-05,0.006435117632928848,0.003285039210777299,0.00660191789482642,3,2,-0.0012635936527591602
