noise,metric,n_seeds,detector_trigger_rate,clean_mean,corrupted_strategy_mean,detector_mean,oracle_mean,mean_delta_detector_vs_clean,sd_delta_detector_vs_clean,ci95_low,ci95_high,positive_seed_count,negative_seed_count,mean_regret_detector_vs_oracle,regret_ci95_low,regret_ci95_high
0,global_accuracy,15,0.06666666666666667,0.5660235294117647,0.5640156862745098,0.5660549019607843,0.5660235294117647,3.1372549019607436e-05,0.00012150535988101542,-3.592156862745051e-05,9.866666666666539e-05,1,0,3.1372549019607436e-05,-3.592156862745051e-05,9.866666666666539e-05
0,global_qwk,15,0.06666666666666667,0.7201368692066603,0.7197766067754112,0.7202623791378916,0.7201368692066603,0.0001255099312312824,0.0004860978734423948,-0.0001437088712598183,0.0003947287337223831,1,0,0.0001255099312312824,-0.0001437088712598183,0.0003947287337223831
0,macro_f1,15,0.06666666666666667,0.5049620454963686,0.49922394390119484,0.5051524308481156,0.5049620454963686,0.0001903853517469763,0.0007373592966778805,-0.000217991227750288,0.0005987619312442406,1,0,0.0001903853517469763,-0.000217991227750288,0.0005987619312442406
0,mean_site_qwk,15,0.06666666666666667,0.7206507923372883,0.7211031315288667,0.7208511950811168,0.7206507923372883,0.00020040274382847982,0.0007761564893819734,-0.0002294611416836093,0.0006302666293405689,1,0,0.00020040274382847982,-0.0002294611416836093,0.0006302666293405689
0,worst_site_qwk,15,0.06666666666666667,0.6849409424222447,0.6782068121705876,0.6849903661610703,0.6849409424222447,4.942373882571941e-05,0.00019141731737931628,-5.659018095544877e-05,0.00015543765860688758,1,0,4.942373882571941e-05,-5.659018095544877e-05,0.00015543765860688758
25,global_accuracy,15,0.8666666666666667,0.5463843137254901,0.5494588235294118,0.5487686274509805,0.5494588235294118,0.0023843137254901947,0.006399373836562641,-0.0011598938407180528,0.005928521291698442,9,4,-0.0006901960784313784,-0.003170315935851088,0.0017899237789883314
25,global_qwk,15,0.8666666666666667,0.6948332092536574,0.703109587910228,0.7028419589170465,0.703109587910228,0.008008749663389048,0.012031513093629612,0.0013452571360825808,0.014672242190695513,11,2,-0.00026762899318155675,-0.001502743878534649,0.0009674858921715356
25,macro_f1,15,0.8666666666666667,0.4791652032389799,0.4820137223178953,0.4806996082199938,0.4820137223178953,0.0015344049810139667,0.011636447959652995,-0.004910286008400615,0.007979095970428549,7,6,-0.0013141140979013532,-0.004230673216122407,0.0016024450203197013
25,mean_site_qwk,15,0.8666666666666667,0.6968602607719958,0.7049424536184332,0.7043641834182061,0.7049424536184332,0.007503922646210129,0.012730842570383462,0.0004531158462755787,0.014554729446144679,10,3,-0.0005782702002272192,-0.0024233972412483614,0.001266856840793923
25,worst_site_qwk,15,0.8666666666666667,0.6526586250177875,0.6544996886880615,0.6553871591847316,0.6544996886880615,0.0027285341669440596,0.024219198363282877,-0.010684944757542798,0.016142013091430915,6,7,0.0008874704966698547,-0.0006184984008032944,0.0023934393941430036
35,global_accuracy,15,0.8666666666666667,0.5378823529411765,0.5439372549019608,0.5427764705882353,0.5439372549019608,0.004894117647058819,0.004268034053421635,0.0025303240992362364,0.0072579111948814015,11,2,-0.00116078431372549,-0.0030983407814817107,0.0007767721540307309
35,global_qwk,15,0.8666666666666667,0.6892649222975975,0.6975721915959952,0.696747377019966,0.6975721915959952,0.007482454722368548,0.006434135430697522,0.003918994912410703,0.011045914532326393,12,1,-0.0008248145760291277,-0.0020665016778066664,0.00041687252574841094
35,macro_f1,15,0.8666666666666667,0.46827481906543966,0.4748112834176112,0.4727255967446394,0.4748112834176112,0.004450777679199687,0.009692459941220604,-0.0009172615596668909,0.009818816918066266,9,4,-0.0020856866729717536,-0.005449749893454972,0.0012783765475114645
35,mean_site_qwk,15,0.8666666666666667,0.6905638765303357,0.6994311805206818,0.6985132140146867,0.6994311805206818,0.007949337484350989,0.006449237872478798,0.004377513389105792,0.011521161579596186,13,0,-0.0009179665059951676,-0.0024603090519495167,0.0006243760399591813
35,worst_site_qwk,15,0.8666666666666667,0.6428177456464775,0.6489658663493204,0.6498571614149172,0.6489658663493204,0.007039415768439642,0.01493772102048432,-0.0012336411297561942,0.015312472666635478,10,3,0.0008912950655967385,-0.0004903603661327204,0.0022729504973261973
45,global_accuracy,15,0.9333333333333333,0.5318274509803921,0.537035294117647,0.5363450980392156,0.537035294117647,0.004517647058823523,0.007151879620476259,0.0005566742338451005,0.008478619883801945,10,4,-0.000690196078431371,-0.0021706666666666615,0.0007902745098039196
45,global_qwk,15,0.9333333333333333,0.6842733268811034,0.6907858127831992,0.6899438537497292,0.6907858127831992,0.005670526868625703,0.01249561881058563,-0.0012500043995897579,0.012591058136841164,10,4,-0.0008419590334700411,-0.0026479611602632795,0.0009640430933231973
45,macro_f1,15,0.9333333333333333,0.46095634846722916,0.46649637219271034,0.46572613542725894,0.46649637219271034,0.0047697869600297985,0.013381264370568432,-0.0026412472503228616,0.01218082117038246,8,6,-0.0007702367654513783,-0.0024223946273445847,0.0008819210964418283
45,mean_site_qwk,15,0.9333333333333333,0.6855132058153116,0.6929401916776722,0.6918638002832996,0.6929401916776722,0.006350594467988121,0.014488836111848431,-0.0016738535303096958,0.014375042466285938,10,4,-0.001076391394372389,-0.003385250935301164,0.0012324681465563858
45,worst_site_qwk,15,0.9333333333333333,0.6336657953236814,0.6447536342491726,0.643378592256809,0.6447536342491726,0.009712796933127484,0.01800144535049556,-0.0002570626880414265,0.019682656554296393,10,4,-0.0013750419923635644,-0.004324507065983411,0.001574423081256282
