metric,difference_definition,n_folds,n_slides,mean_difference,median_difference,fold_mean_min,fold_mean_max,fraction_slides_favorable,cluster_bootstrap_ci_025,cluster_bootstrap_ci_975,bootstrap_draws,p_value_reported
scanner_probe_accuracy,pathoalign_dep20_minus_paired_reference,5,48,-0.38541666666666674,-0.4000000000000001,-0.4176,-0.3297777777777778,1.0,-0.42064000000000007,-0.34643478260869565,100000,False
pair_cosine_average,pathoalign_dep20_minus_paired_reference,5,48,0.031035241278509318,0.03233142119646071,0.025731221139431028,0.03781730482975638,1.0,0.026858407069387497,0.035674580187052544,100000,False
pair_cosine_worst,pathoalign_dep20_minus_paired_reference,5,48,0.03109579056501389,0.029125826954841616,0.024403841018676764,0.042531623244285624,1.0,0.025433909586680174,0.03806131886798837,100000,False
retrieval_top1_average,pathoalign_dep20_minus_paired_reference,5,48,-8.33333333333311e-05,0.0,-0.00033333333333334595,0.00033333333333334595,0.020833333333333332,-0.0003829787234042509,0.00020833333333334278,100000,False
retrieval_top1_worst,pathoalign_dep20_minus_paired_reference,5,48,-0.0004166666666666624,0.0,-0.0019999999999999905,0.0022222222222222244,0.020833333333333332,-0.002083333333333321,0.0014893617021276633,100000,False
