seed,strategy,global_accuracy,global_loss,worst_site_accuracy,global_qwk,macro_f1,worst_site_qwk,mean_site_qwk,weight_entropy,n_eff,source_path
123,fedavg,0.5223529411764706,1.266165018081665,0.5,0.6902870340324374,0.4469779926237745,0.6254218443106734,0.6799472949439509,1.4482536578365668,3.5870568232048843,results\ordinal_harm_fair_weights_h_panda_all_noise_45_seed_123\summary.csv
123,cross_site_blend_50,0.5392941176470588,1.2179129123687744,0.518796992481203,0.707061220871747,0.47423906522387593,0.6615898993089597,0.7035834199652753,1.5715431712375811,4.608153573622763,results\ordinal_harm_fair_weights_h_panda_all_noise_45_seed_123\summary.csv
123,ordinal_harm_blend_50,0.5383529411764706,1.2272536754608154,0.5109717868338558,0.7047604264431813,0.45766587906244033,0.6498363988499802,0.6972047362338039,1.5730686386173474,4.623558017616724,results\ordinal_harm_fair_weights_h_panda_all_noise_45_seed_123\summary.csv
123,adaptive_ordinal_harm,0.5383529411764706,1.2629940509796143,0.5203761755485894,0.7021443624018522,0.45823477650857947,0.6512510966309997,0.6955281005733813,1.4818764684387364,3.8256405649884746,results\ordinal_harm_fair_weights_h_panda_all_noise_45_seed_123\summary.csv
2025,fedavg,0.5355294117647059,1.2904398441314697,0.5109717868338558,0.6779709780399036,0.4689681800995993,0.6460055680850161,0.683605851259627,1.4482536578365668,3.5870568232048843,results\ordinal_harm_fair_weights_h_panda_all_noise_45_seed_2025\summary.csv
2025,cross_site_blend_50,0.5298823529411765,1.2340737581253052,0.5047021943573667,0.6690279254939973,0.4590766702467819,0.6392618611327792,0.6804164160404496,1.570227942522743,4.595422215135635,results\ordinal_harm_fair_weights_h_panda_all_noise_45_seed_2025\summary.csv
2025,ordinal_harm_blend_50,0.5345882352941177,1.247161626815796,0.4952978056426332,0.6888744719923806,0.46874474464866883,0.6390999567286889,0.6913533751967005,1.568308137220598,4.576315155732706,results\ordinal_harm_fair_weights_h_panda_all_noise_45_seed_2025\summary.csv
2025,adaptive_ordinal_harm,0.5378823529411765,1.2654582262039185,0.5109717868338558,0.6874737961573838,0.4690843591844343,0.6636304489264802,0.69441754264146,1.5233157458326836,4.159913952569075,results\ordinal_harm_fair_weights_h_panda_all_noise_45_seed_2025\summary.csv
42,fedavg,0.5388235294117647,1.2619297504425049,0.5112781954887218,0.6754925326756467,0.47234819864995137,0.6365655682398987,0.6912462456145598,1.4482536578365668,3.5870568232048843,results\ordinal_harm_fair_weights_h_panda_all_noise_45_seed_42\summary.csv
42,cross_site_blend_50,0.540235294117647,1.2235981225967407,0.49624060150375937,0.6877803610395672,0.4767830643981876,0.6568988597254681,0.7000170727688022,1.571544074658874,4.608456970728073,results\ordinal_harm_fair_weights_h_panda_all_noise_45_seed_42\summary.csv
42,ordinal_harm_blend_50,0.5336470588235294,1.2307907342910767,0.48872180451127817,0.6616940340374903,0.4696776238768597,0.6128752625785657,0.6817892858985091,1.5709214962174487,4.602605937032072,results\ordinal_harm_fair_weights_h_panda_all_noise_45_seed_42\summary.csv
42,adaptive_ordinal_harm,0.5364705882352941,1.2483813762664795,0.5037593984962406,0.6825159508537959,0.47137589147041997,0.6439247751430908,0.6928591937032438,1.5224159321154465,4.1523050338304355,results\ordinal_harm_fair_weights_h_panda_all_noise_45_seed_42\summary.csv
7,fedavg,0.5228235294117647,1.2663218975067139,0.5,0.6863760977764747,0.44502434592852397,0.6555806196618275,0.6870541648289492,1.4482536578365668,3.5870568232048843,results\ordinal_harm_fair_weights_h_panda_all_noise_45_seed_7\summary.csv
7,cross_site_blend_50,0.5397647058823529,1.2177306413650513,0.5150375939849624,0.6977612755536045,0.4719750815683856,0.6696395610570436,0.7039433897461086,1.5707129928484322,4.599903511387598,results\ordinal_harm_fair_weights_h_panda_all_noise_45_seed_7\summary.csv
7,ordinal_harm_blend_50,0.5425882352941176,1.2123887538909912,0.5329153605015674,0.690237058734393,0.47897166714253386,0.6582537406665394,0.6904329078177912,1.572852604116904,4.621650183458027,results\ordinal_harm_fair_weights_h_panda_all_noise_45_seed_7\summary.csv
7,adaptive_ordinal_harm,0.5388235294117647,1.255776286125183,0.518796992481203,0.6913546776037707,0.4698657689142216,0.6642309916041689,0.6942064426544449,1.4757494356630407,3.7803151198401914,results\ordinal_harm_fair_weights_h_panda_all_noise_45_seed_7\summary.csv
99,fedavg,0.5294117647058824,1.2838990688323975,0.4924812030075188,0.680570804630434,0.4697329245397925,0.6359239911490293,0.6796394366057296,1.4482536578365668,3.5870568232048843,results\ordinal_harm_fair_weights_h_panda_all_noise_45_seed_99\summary.csv
99,cross_site_blend_50,0.5374117647058824,1.2351830005645752,0.5075187969924813,0.6872704525845417,0.4776774954936414,0.6401188426772864,0.6817101998862956,1.5712343084985385,4.605353627470946,results\ordinal_harm_fair_weights_h_panda_all_noise_45_seed_99\summary.csv
99,ordinal_harm_blend_50,0.5327058823529411,1.2214570045471191,0.5075187969924813,0.68377310978712,0.45991666037223994,0.6491139694425115,0.6825738341218438,1.5703705795648435,4.596102728544437,results\ordinal_harm_fair_weights_h_panda_all_noise_45_seed_99\summary.csv
99,adaptive_ordinal_harm,0.5247058823529411,1.240303874015808,0.4924812030075188,0.6770048265575224,0.447455825856981,0.633140666750122,0.6709142946481098,1.5200351197205113,4.130348310443234,results\ordinal_harm_fair_weights_h_panda_all_noise_45_seed_99\summary.csv
