comparison_id,comparison_role,metric,fold,fold_mean_difference,n_slides
full_minus_historical_paired_reference,secondary_architecture_unmatched,retrieval_top1_worst,4,0.0011111111111111243,9
full_minus_no_acquisition_classifier,registered_objective_ablation,scanner_probe_accuracy,0,0.0043999999999999925,10
full_minus_no_acquisition_classifier,registered_objective_ablation,scanner_probe_accuracy,1,0.003999999999999998,10
full_minus_no_acquisition_classifier,registered_objective_ablation,scanner_probe_accuracy,2,-0.007999999999999997,10
full_minus_no_acquisition_classifier,registered_objective_ablation,scanner_probe_accuracy,3,-0.01022222222222222,9
full_minus_no_acquisition_classifier,registered_objective_ablation,scanner_probe_accuracy,4,0.000888888888888865,9
full_minus_no_acquisition_classifier,registered_objective_ablation,pair_cosine_average,0,0.0015901671648025362,10
full_minus_no_acquisition_classifier,registered_objective_ablation,pair_cosine_average,1,0.0020873615145682867,10
full_minus_no_acquisition_classifier,registered_objective_ablation,pair_cosine_average,2,0.0023688406884670443,10
full_minus_no_acquisition_classifier,registered_objective_ablation,pair_cosine_average,3,0.0008609258201386608,9
full_minus_no_acquisition_classifier,registered_objective_ablation,pair_cosine_average,4,0.0007991574605305715,9
full_minus_no_acquisition_classifier,registered_objective_ablation,pair_cosine_worst,0,0.0022075730562210348,10
full_minus_no_acquisition_classifier,registered_objective_ablation,pair_cosine_worst,1,0.002537899851798997,10
full_minus_no_acquisition_classifier,registered_objective_ablation,pair_cosine_worst,2,0.0029342137575149585,10
full_minus_no_acquisition_classifier,registered_objective_ablation,pair_cosine_worst,3,0.0011677993668450669,9
full_minus_no_acquisition_classifier,registered_objective_ablation,pair_cosine_worst,4,0.0007832652992672365,9
full_minus_no_acquisition_classifier,registered_objective_ablation,retrieval_top1_average,0,0.0,10
full_minus_no_acquisition_classifier,registered_objective_ablation,retrieval_top1_average,1,0.0,10
full_minus_no_acquisition_classifier,registered_objective_ablation,retrieval_top1_average,2,0.0,10
full_minus_no_acquisition_classifier,registered_objective_ablation,retrieval_top1_average,3,0.00022222222222222242,9
full_minus_no_acquisition_classifier,registered_objective_ablation,retrieval_top1_average,4,0.0,9
full_minus_no_acquisition_classifier,registered_objective_ablation,retrieval_top1_worst,0,0.0,10
full_minus_no_acquisition_classifier,registered_objective_ablation,retrieval_top1_worst,1,0.0,10
full_minus_no_acquisition_classifier,registered_objective_ablation,retrieval_top1_worst,2,0.0,10
full_minus_no_acquisition_classifier,registered_objective_ablation,retrieval_top1_worst,3,0.0011111111111111122,9
full_minus_no_acquisition_classifier,registered_objective_ablation,retrieval_top1_worst,4,0.0,9
full_minus_no_acquisition_classifier,registered_objective_ablation,acquisition_scanner_probe_accuracy,0,0.0672,10
full_minus_no_acquisition_classifier,registered_objective_ablation,acquisition_scanner_probe_accuracy,1,0.08040000000000001,10
full_minus_no_acquisition_classifier,registered_objective_ablation,acquisition_scanner_probe_accuracy,2,0.05999999999999998,10
full_minus_no_acquisition_classifier,registered_objective_ablation,acquisition_scanner_probe_accuracy,3,0.061333333333333385,9
full_minus_no_acquisition_classifier,registered_objective_ablation,acquisition_scanner_probe_accuracy,4,0.06533333333333337,9
full_minus_no_adversary,registered_objective_ablation,scanner_probe_accuracy,0,0.0896,10
full_minus_no_adversary,registered_objective_ablation,scanner_probe_accuracy,1,0.09159999999999999,10
full_minus_no_adversary,registered_objective_ablation,scanner_probe_accuracy,2,0.082,10
full_minus_no_adversary,registered_objective_ablation,scanner_probe_accuracy,3,0.12755555555555556,9
full_minus_no_adversary,registered_objective_ablation,scanner_probe_accuracy,4,0.11022222222222225,9
full_minus_no_adversary,registered_objective_ablation,pair_cosine_average,0,-0.0018255875587463444,10
full_minus_no_adversary,registered_objective_ablation,pair_cosine_average,1,-0.0005888919115066615,10
full_minus_no_adversary,registered_objective_ablation,pair_cosine_average,2,9.627870917319203e-05,10
full_minus_no_adversary,registered_objective_ablation,pair_cosine_average,3,-0.001250202814737965,9
full_minus_no_adversary,registered_objective_ablation,pair_cosine_average,4,-0.0004866509702470391,9
full_minus_no_adversary,registered_objective_ablation,pair_cosine_worst,0,-0.0020713659524916996,10
full_minus_no_adversary,registered_objective_ablation,pair_cosine_worst,1,-0.0013219873905181978,10
full_minus_no_adversary,registered_objective_ablation,pair_cosine_worst,2,0.0002823821306228269,10
