comparison_id,comparison_role,difference_definition,metric,metric_direction,n_folds,n_slides,mean_difference,median_difference,fold_mean_min,fold_mean_max,folds_with_negative_mean,folds_with_positive_mean,cluster_bootstrap_ci_025,cluster_bootstrap_ci_975,bootstrap_draws,preservation_noninferiority_margin,interpretation_class,p_value_reported
full_minus_no_adversary,registered_objective_ablation,pathoalign_dep20 minus no_adversary,pair_cosine_average,higher_is_favorable,5,48,-0.0008086185765763162,-0.0005423488020896983,-0.0018255875587463444,9.627870917319203e-05,4,1,-0.0016301155271578928,-9.474922984859924e-06,100000,,interval_supported_regression,False
full_minus_no_adversary,registered_objective_ablation,pathoalign_dep20 minus no_adversary,pair_cosine_worst,higher_is_favorable,5,48,-0.0007131545245647394,-9.49293375016036e-05,-0.0020713659524916996,0.0002823821306228269,3,2,-0.0019221159963609647,0.00048078943412678955,100000,,descriptively_unfavorable_but_uncertain,False
full_minus_no_adversary,registered_objective_ablation,pathoalign_dep20 minus no_adversary,retrieval_top1_average,higher_is_favorable,5,48,4.166666666666902e-05,0.0,0.0,0.00011111111111112354,0,2,0.0,0.0001276595744680923,100000,0.02,interval_supported_preserved_within_noninferiority_margin,False
full_minus_no_adversary,registered_objective_ablation,pathoalign_dep20 minus no_adversary,retrieval_top1_worst,higher_is_favorable,5,48,0.0002083333333333335,0.0,0.0,0.0010000000000000009,0,1,0.0,0.000833333333333334,100000,0.02,interval_supported_preserved_within_noninferiority_margin,False
full_minus_no_adversary,registered_objective_ablation,pathoalign_dep20 minus no_adversary,acquisition_scanner_probe_accuracy,higher_is_favorable,5,48,-0.0003333333333333359,0.0,-0.0020000000000000018,0.001333333333333359,3,2,-0.0023333333333333123,0.0018333333333333326,100000,,descriptively_unfavorable_but_uncertain,False
full_minus_no_cross_covariance,registered_objective_ablation,pathoalign_dep20 minus no_cross_covariance,scanner_probe_accuracy,lower_is_favorable,5,48,-0.0014166666666666737,0.0,-0.015111111111111124,0.0031999999999999863,1,4,-0.011404255319148949,0.00784,100000,,descriptively_favorable_but_uncertain,False
full_minus_no_cross_covariance,registered_objective_ablation,pathoalign_dep20 minus no_cross_covariance,pair_cosine_average,higher_is_favorable,5,48,0.0012000178893407237,0.001205039680004183,0.000982516646385234,0.0014969039797782635,0,5,0.0009535771509214629,0.001466347580722368,100000,,interval_supported_favorable_change,False
full_minus_no_cross_covariance,registered_objective_ablation,pathoalign_dep20 minus no_cross_covariance,pair_cosine_worst,higher_is_favorable,5,48,0.0015268434459964526,0.001532060503959709,0.001077666944927638,0.0020966384410858628,0,5,0.0011157308278886451,0.0019544471535335372,100000,,interval_supported_favorable_change,False
full_minus_no_cross_covariance,registered_objective_ablation,pathoalign_dep20 minus no_cross_covariance,retrieval_top1_average,higher_is_favorable,5,48,4.1666666666666706e-05,0.0,0.0,0.00011111111111111121,0,2,0.0,0.0001276595744680852,100000,0.02,interval_supported_preserved_within_noninferiority_margin,False
full_minus_no_cross_covariance,registered_objective_ablation,pathoalign_dep20 minus no_cross_covariance,retrieval_top1_worst,higher_is_favorable,5,48,0.000416666666666667,0.0,0.0,0.0011111111111111122,0,2,0.0,0.0012765957446808523,100000,0.02,interval_supported_preserved_within_noninferiority_margin,False
full_minus_no_cross_covariance,registered_objective_ablation,pathoalign_dep20 minus no_cross_covariance,acquisition_scanner_probe_accuracy,higher_is_favorable,5,48,-0.0001666666666666645,0.0,-0.007555555555555538,0.005200000000000015,2,3,-0.005217391304347819,0.004319999999999979,100000,,descriptively_unfavorable_but_uncertain,False
full_minus_no_scanner_dependence,registered_objective_ablation,pathoalign_dep20 minus no_scanner_dependence,scanner_probe_accuracy,lower_is_favorable,5,48,-0.3164166666666666,-0.314,-0.3408,-0.29244444444444445,5,0,-0.33927999999999997,-0.2927826086956522,100000,,interval_supported_favorable_change,False
full_minus_no_scanner_dependence,registered_objective_ablation,pathoalign_dep20 minus no_scanner_dependence,pair_cosine_average,higher_is_favorable,5,48,0.016408108799407874,0.016508611857891042,0.013765460729599,0.0187632631725735,0,5,0.014567881322026242,0.018303759892673598,100000,,interval_supported_favorable_change,False
full_minus_no_scanner_dependence,registered_objective_ablation,pathoalign_dep20 minus no_scanner_dependence,pair_cosine_worst,higher_is_favorable,5,48,0.019995772292216624,0.019042733907699505,0.016214233756065365,0.026354250179396767,0,5,0.016629770703017722,0.024239260646787227,100000,,interval_supported_favorable_change,False
full_minus_no_scanner_dependence,registered_objective_ablation,pathoalign_dep20 minus no_scanner_dependence,retrieval_top1_average,higher_is_favorable,5,48,2.0833333333333353e-05,0.0,0.0,0.00011111111111111121,0,1,0.0,8.695652173913051e-05,100000,0.02,interval_supported_preserved_within_noninferiority_margin,False
full_minus_no_scanner_dependence,registered_objective_ablation,pathoalign_dep20 minus no_scanner_dependence,retrieval_top1_worst,higher_is_favorable,5,48,2.3129646346357427e-18,0.0,-0.0011111111111110998,0.0011111111111111122,1,1,-0.0008510638297872254,0.0008510638297872348,100000,0.02,interval_supported_preserved_within_noninferiority_margin,False
full_minus_no_scanner_dependence,registered_objective_ablation,pathoalign_dep20 minus no_scanner_dependence,acquisition_scanner_probe_accuracy,higher_is_favorable,5,48,-0.0002500000000000002,0.0,-0.006222222222222203,0.0043999999999999595,3,2,-0.004869565217391289,0.003920000000000002,100000,,descriptively_unfavorable_but_uncertain,False
