fold,seed,run_id,path,expected_size_bytes,expected_sha256,bytes_accessible,observed_sha256,torch_load,stored_method,stored_seed,epoch_count,stored_config,state_dict_key_shape_validation
2,804,fold2-pathoalign_dep20-seed804-37f842f5f91a24a9,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_2/pathoalign_dep20/seed_804/fold2-pathoalign_dep20-seed804-37f842f5f91a24a9/attempts/attempt_001/checkpoint.pt,6208098,22ec616ac15abee297eb07cde6d84a3dccd9df73db83769011583e71c9b42714,false,,not_attempted_missing,,,,not_attempted_missing
2,805,fold2-pathoalign_dep20-seed805-c847c1b984ed8abb,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_2/pathoalign_dep20/seed_805/fold2-pathoalign_dep20-seed805-c847c1b984ed8abb/attempts/attempt_001/checkpoint.pt,6208098,11ae0a09a19b5727ac06c9b9dedc3d13022828d7b767c96b4b125d88feb801c5,false,,not_attempted_missing,,,,not_attempted_missing
3,801,fold3-pathoalign_dep20-seed801-7c9ffbf17c94d36f,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_3/pathoalign_dep20/seed_801/fold3-pathoalign_dep20-seed801-7c9ffbf17c94d36f/attempts/attempt_001/checkpoint.pt,6208098,7ec2e92b67ec89dd26ff3a1d8a837887eccc4c8c7746df237ade605aac63cae0,false,,not_attempted_missing,,,,not_attempted_missing
3,802,fold3-pathoalign_dep20-seed802-0d826a14158b802c,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_3/pathoalign_dep20/seed_802/fold3-pathoalign_dep20-seed802-0d826a14158b802c/attempts/attempt_001/checkpoint.pt,6208098,83eb83551a5b41e9477e564b487a1a744edbf54085fbdaea119b9665e487235b,false,,not_attempted_missing,,,,not_attempted_missing
3,803,fold3-pathoalign_dep20-seed803-7ac9296a09782eeb,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_3/pathoalign_dep20/seed_803/fold3-pathoalign_dep20-seed803-7ac9296a09782eeb/attempts/attempt_001/checkpoint.pt,6208098,b87344e32d05ed1fa9636028cde68408f367b3e28468872096b4e846bcd59d18,false,,not_attempted_missing,,,,not_attempted_missing
3,804,fold3-pathoalign_dep20-seed804-341f43894202117e,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_3/pathoalign_dep20/seed_804/fold3-pathoalign_dep20-seed804-341f43894202117e/attempts/attempt_001/checkpoint.pt,6208098,529b1397f3f11db015e22a2265ab9b7d223ddf387a3e5a3f98d53597a14d317c,false,,not_attempted_missing,,,,not_attempted_missing
3,805,fold3-pathoalign_dep20-seed805-2b019e59ff17579d,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_3/pathoalign_dep20/seed_805/fold3-pathoalign_dep20-seed805-2b019e59ff17579d/attempts/attempt_001/checkpoint.pt,6208098,c67144e3ebb894cf219bea9c8b3c247c8a34507de701818cf380d542623e753a,false,,not_attempted_missing,,,,not_attempted_missing
4,801,fold4-pathoalign_dep20-seed801-d00f0fff0e270121,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_4/pathoalign_dep20/seed_801/fold4-pathoalign_dep20-seed801-d00f0fff0e270121/attempts/attempt_001/checkpoint.pt,6208098,38850e5eb9ec1f8f8ea4884e2ce2b869d1743ed4544311f0112a225e31850d9d,false,,not_attempted_missing,,,,not_attempted_missing
4,802,fold4-pathoalign_dep20-seed802-9e46641cfac5dc8c,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_4/pathoalign_dep20/seed_802/fold4-pathoalign_dep20-seed802-9e46641cfac5dc8c/attempts/attempt_001/checkpoint.pt,6208098,d86a70b48b2cda5a2d66039a50b214dfe1519d8281c07eba610831664376f627,false,,not_attempted_missing,,,,not_attempted_missing
4,803,fold4-pathoalign_dep20-seed803-363ee1fe43090055,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_4/pathoalign_dep20/seed_803/fold4-pathoalign_dep20-seed803-363ee1fe43090055/attempts/attempt_001/checkpoint.pt,6208098,affdd57afeeef24effd7e078e4b566a9d1114b84c04b1415fd347078ccd0c475,false,,not_attempted_missing,,,,not_attempted_missing
4,804,fold4-pathoalign_dep20-seed804-19cc2a4f69508554,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_4/pathoalign_dep20/seed_804/fold4-pathoalign_dep20-seed804-19cc2a4f69508554/attempts/attempt_001/checkpoint.pt,6208098,703f611b1a8bccb22db761b7cd18d706d1501450d4c7a82a08c4b2cc8711180d,false,,not_attempted_missing,,,,not_attempted_missing
4,805,fold4-pathoalign_dep20-seed805-d0c12ca42f2c2ff3,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_4/pathoalign_dep20/seed_805/fold4-pathoalign_dep20-seed805-d0c12ca42f2c2ff3/attempts/attempt_001/checkpoint.pt,6208098,0042ea013f950cdeee1554c9b804250d60b63d9bf0823938bf43f8e316e687c9,false,,not_attempted_missing,,,,not_attempted_missing
