strategy,global_qwk,global_accuracy,macro_f1,global_loss,worst_site_qwk,worst_site_accuracy,mean_site_qwk,weight_entropy,n_eff
fedavg,0.6507728059531697,0.4459234608985025,0.43446583640002956,1.382654070854187,0.6215722120658136,0.4111111111111111,0.6574753912366889,1.447865223410363,3.584382912358957
cross_site_full,0.6357948337973592,0.4492512479201331,0.435621455841557,1.3530882596969604,0.6201022146507666,0.4222222222222222,0.6418912303859291,1.6091739808039387,4.997380631504131
cross_site_blend_25,0.643441548586487,0.47088186356073214,0.4572001468660601,1.3734419345855713,0.5993895459748187,0.4444444444444444,0.6442898779999353,1.5171482949486945,4.106418393457692
cross_site_blend_50,0.641748502827751,0.4559068219633943,0.44340056618047524,1.367722749710083,0.6002307945928125,0.4473684210526316,0.6487397540616744,1.5685950046482762,4.57858738777881
cross_site_blend_75,0.6411082017350892,0.46921797004991683,0.45600917519652945,1.360355019569397,0.6207749381698269,0.4444444444444444,0.6442915691706487,1.6001679269238758,4.903249061593763
