variant,fold,scanner_balanced_accuracy,scanner_macro_f1,category_balanced_accuracy,category_macro_f1
new_style_keep_on_old_standardization,0,0.6625,0.6642380794590409,0.3393887923424915,0.24673814471243852
new_style_keep_on_old_standardization,1,0.7047619047619047,0.7037165121575903,0.38405088062622306,0.38928015122097454
new_style_keep_on_old_standardization,2,0.6813793103448276,0.6820035846988669,0.48605283605283606,0.4071164118384373
new_style_keep_on_old_standardization,3,0.6961538461538461,0.696650250718446,0.4161303501613735,0.3560897230776907
new_style_keep_on_old_standardization,4,0.760233918128655,0.7608633551652256,0.36654981239393486,0.33039016252334585
new_style_linear_keep_k4,0,0.6583333333333333,0.657569094378897,0.3492026646805693,0.29778750390500003
new_style_linear_keep_k4,1,0.7195767195767196,0.7179051631906986,0.3871863448575777,0.3920548295032605
new_style_linear_keep_k4,2,0.6772413793103448,0.67664035694046,0.4866252266252266,0.41059102493631594
new_style_linear_keep_k4,3,0.7153846153846153,0.7157704931439425,0.4155394288613466,0.35955388825773743
new_style_linear_keep_k4,4,0.7649122807017543,0.7647639168200069,0.36710632562824014,0.3329382465000142
new_style_linear_removed_k4,0,0.8486111111111111,0.8486355704628574,0.10364035087719299,0.07281687472051056
new_style_linear_removed_k4,1,0.8380952380952381,0.8380455629763395,0.14273189823874755,0.09298841485625084
new_style_linear_removed_k4,2,0.8579310344827586,0.8588101444337927,0.14436933436933436,0.10595904207645283
new_style_linear_removed_k4,3,0.8846153846153847,0.8847622600191384,0.12370681605975724,0.07219550288275475
new_style_linear_removed_k4,4,0.8900584795321637,0.8899858716755842,0.1673791447259263,0.1376577656314553
old_style_linear_projection_k4,0,0.2,0.06666666666666667,0.3403466705285225,0.24716927728130425
old_style_linear_projection_k4,1,0.2,0.06666666666666667,0.39958686671015436,0.4004886901022931
old_style_linear_projection_k4,2,0.2,0.06666666666666667,0.48286713286713284,0.40347982139964433
old_style_linear_projection_k4,3,0.2,0.06666666666666667,0.42135144468746405,0.3575784091915964
old_style_linear_projection_k4,4,0.2,0.06666666666666667,0.36326672663074644,0.32786498128440306
