threshold_shift,runs,triggered_runs,trigger_rate,mean_failure_count,mean_failure_count_when_triggered,mean_delta_global_qwk,mean_delta_global_qwk_when_triggered,positive_triggered_global_qwk,negative_triggered_global_qwk,mean_delta_macro_f1,mean_delta_macro_f1_when_triggered,positive_triggered_macro_f1,negative_triggered_macro_f1,mean_delta_worst_site_qwk,mean_delta_worst_site_qwk_when_triggered,positive_triggered_worst_site_qwk,negative_triggered_worst_site_qwk,mean_delta_mean_site_qwk,mean_delta_mean_site_qwk_when_triggered,positive_triggered_mean_site_qwk,negative_triggered_mean_site_qwk,mean_delta_global_accuracy,mean_delta_global_accuracy_when_triggered,positive_triggered_global_accuracy,negative_triggered_global_accuracy
0,15,2,0.13333333333333333,0.8666666666666667,3.5,-0.00025459820129094,-0.00190948650968205,1,1,8.683523388014667e-05,0.0006512642541011,1,1,0.0015082423774022001,0.011311817830516501,2,0,-4.0197499032733165e-06,-3.0148124274549876e-05,1,1,-0.0004705882352941133,-0.00352941176470585,1,1
25,15,5,0.3333333333333333,2.066666666666667,3.8,0.00128721382312452,0.0038616414693735607,3,2,0.0029029172462729934,0.00870875173881898,4,1,0.003528374114504134,0.010585122343512401,3,2,0.0009682408065864068,0.00290472241975922,3,2,0.0022274509803921535,0.0066823529411764605,4,1
35,15,9,0.6,2.8666666666666667,3.888888888888889,0.005417686746575852,0.009029477910959753,8,1,0.008384181556212313,0.013973635927020521,9,0,0.009909033851333007,0.016515056418888344,7,2,0.005919676097368233,0.009866126828947054,9,0,0.0072784313725489935,0.012130718954248323,9,0
45,15,11,0.7333333333333333,3.2666666666666666,3.909090909090909,0.010526980243074415,0.01435497305873784,10,1,0.015118835790296907,0.02061659425949578,11,0,0.012902275298181293,0.017594011770247216,10,1,0.010619007989083381,0.014480465439659156,10,1,0.012799999999999966,0.017454545454545407,11,0
