strategy,n_seeds,global_accuracy_mean,global_accuracy_std,global_loss_mean,global_loss_std,worst_site_accuracy_mean,worst_site_accuracy_std,global_qwk_mean,global_qwk_std,macro_f1_mean,macro_f1_std,worst_site_qwk_mean,worst_site_qwk_std,mean_site_qwk_mean,mean_site_qwk_std,weight_entropy_mean,weight_entropy_std,n_eff_mean,n_eff_std,n_comparable_seeds,delta_vs_fedavg_global_qwk_mean,delta_vs_fedavg_global_qwk_std,wins_vs_fedavg_global_qwk,delta_vs_fedavg_worst_site_qwk_mean,delta_vs_fedavg_worst_site_qwk_std,wins_vs_fedavg_worst_site_qwk,delta_vs_fedavg_mean_site_qwk_mean,delta_vs_fedavg_mean_site_qwk_std,wins_vs_fedavg_mean_site_qwk,delta_vs_fedavg_global_accuracy_mean,delta_vs_fedavg_global_accuracy_std,wins_vs_fedavg_global_accuracy,delta_vs_fedavg_macro_f1_mean,delta_vs_fedavg_macro_f1_std,wins_vs_fedavg_macro_f1
cross_site_blend_50,15,0.5453176470588236,0.008752001395288622,1.1536753575007122,0.016709135721241355,0.5170905796882365,0.01691524189617319,0.7080857343295306,0.015116917821039409,0.47473714101564235,0.012943098239722336,0.6701564498460573,0.023219001188738913,0.7109338577594347,0.014853099222072513,1.568903461828754,0.0006193818262564717,4.582072544209623,0.006040742353994764,15,0.005982112382900747,0.008850214976016091,12,0.007074442081353549,0.02001978762736086,9,0.0067989844148723146,0.007840306113235128,13,0.009788235294117646,0.009170349175683249,13,0.01017698469807314,0.0146686795233668,13
fedavg,15,0.5355294117647059,0.006232915354083628,1.17103222211202,0.013428437742296854,0.5072797579301699,0.013087819882246166,0.7021036219466299,0.016245230133620954,0.46456015631756925,0.00940413847631289,0.6630820077647037,0.020847943238254632,0.7041348733445624,0.014859663863914513,1.4482536578365668,0.0,3.5870568232048843,0.0,15,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
