representation,representation_family,confounding_strength,scanner,mean,std,count
linear_projection_k4,linear_projection,mild,cs2,0.5711045573704375,0.06363625592092406,25
linear_projection_k4,linear_projection,mild,gt450,0.5929126153137042,0.07278354111304455,25
linear_projection_k4,linear_projection,mild,nz20,0.5590650417674011,0.06881049689633009,25
linear_projection_k4,linear_projection,mild,nz210,0.5605997693910579,0.06590600042959162,25
linear_projection_k4,linear_projection,mild,p1000,0.566507762554042,0.0736282553650454,25
linear_projection_k4,linear_projection,moderate,cs2,0.5903559687606874,0.05769566663696314,25
linear_projection_k4,linear_projection,moderate,gt450,0.611388031307269,0.07365301819906363,25
linear_projection_k4,linear_projection,moderate,nz20,0.5673302926488044,0.06843233561431773,25
linear_projection_k4,linear_projection,moderate,nz210,0.5738684502296117,0.05902618844944508,25
linear_projection_k4,linear_projection,moderate,p1000,0.5728740256181273,0.07123801144402542,25
linear_projection_k4,linear_projection,severe,cs2,0.580669719539048,0.07068144648373438,25
linear_projection_k4,linear_projection,severe,gt450,0.6222276280887896,0.08096451995172722,25
linear_projection_k4,linear_projection,severe,nz20,0.5583542931156361,0.06722385259037093,25
linear_projection_k4,linear_projection,severe,nz210,0.5650868639325989,0.07488794054836315,25
linear_projection_k4,linear_projection,severe,p1000,0.585816663305774,0.0800045776772929,25
linear_projection_k8,linear_projection,mild,cs2,0.5711045573704375,0.06363625592092406,25
linear_projection_k8,linear_projection,mild,gt450,0.5929126153137042,0.07278354111304455,25
linear_projection_k8,linear_projection,mild,nz20,0.5590650417674011,0.06881049689633009,25
linear_projection_k8,linear_projection,mild,nz210,0.5605997693910579,0.06590600042959162,25
linear_projection_k8,linear_projection,mild,p1000,0.566507762554042,0.0736282553650454,25
linear_projection_k8,linear_projection,moderate,cs2,0.5903559687606874,0.05769566663696314,25
linear_projection_k8,linear_projection,moderate,gt450,0.611388031307269,0.07365301819906363,25
linear_projection_k8,linear_projection,moderate,nz20,0.5673302926488044,0.06843233561431773,25
linear_projection_k8,linear_projection,moderate,nz210,0.5738684502296117,0.05902618844944508,25
linear_projection_k8,linear_projection,moderate,p1000,0.5728740256181273,0.07123801144402542,25
linear_projection_k8,linear_projection,severe,cs2,0.580669719539048,0.07068144648373438,25
linear_projection_k8,linear_projection,severe,gt450,0.6222276280887896,0.08096451995172722,25
linear_projection_k8,linear_projection,severe,nz20,0.5583542931156361,0.06722385259037093,25
linear_projection_k8,linear_projection,severe,nz210,0.5650868639325989,0.07488794054836315,25
linear_projection_k8,linear_projection,severe,p1000,0.585816663305774,0.0800045776772929,25
