cell_key,acquisition_dim,cross_covariance_weight,fold,seed,epochs,classification,run_id,record_sha256,code_commit,environment_sha256,dataset_source_sha256,split_manifest_sha256,pair_assignments_sha256
dim16-xcov0-fold2-seed911,16,0.0,2,911,75,valid and complete,parun-v1-a400fca73eed184933fc987dd7e3f584111106fe20ee385dab83ce9d2e541f06,75acb6f794e2419ad39af7b508d51c052385dd7dbb962cf24c067c2b684145f1,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,6d6c2bc39de24244e414816dd4386fd0a61c94fc2e7d66f6e88aef61f66e1f3e,93e99ccaaa2200a6a9d2e8fd3c1050764304a1915e0fa320a1ab37f96adf9f57
dim16-xcov0-fold2-seed912,16,0.0,2,912,75,valid and complete,parun-v1-3c14e0f1c97edbe667ed08692135776de50b99eb757fa97e9427dd0d4a5a2d06,b5e3c300b34d17e3b758f45227be12c6a47acaaef50e79d0a45e89eeed299b9c,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,6d6c2bc39de24244e414816dd4386fd0a61c94fc2e7d66f6e88aef61f66e1f3e,a8cc4504a50f85b3737249d3bd3e015b1f8d0a87d9b6a9d2a79b6f287630c7c9
dim16-xcov0-fold2-seed913,16,0.0,2,913,75,valid and complete,parun-v1-1e2557cbc1e3761bc00667826d331e0fda5f65387b5969fcfffdcab474ff05dd,c308509cc44b20b35218d41dab145e73ff2a4b1a5cea8412d011511fd8d4f5a5,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,6d6c2bc39de24244e414816dd4386fd0a61c94fc2e7d66f6e88aef61f66e1f3e,1b7e89fba89f7566ae185fc800936c590fe515220ab53f006ebc3133b8da59fc
dim16-xcov0-fold2-seed914,16,0.0,2,914,75,valid and complete,parun-v1-ca8f33dba412876353047baf0f09858e1acd45fb5543b700cc68b1482f6ecf25,c1d02e59c08ae8a983883cb78baaf973707c30e7576a44ca35db835ecb7114fd,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,6d6c2bc39de24244e414816dd4386fd0a61c94fc2e7d66f6e88aef61f66e1f3e,c789db08d9ef36d74d4c6c3b9858511f08661765bac3ee799dc3a9982143160a
dim16-xcov0-fold2-seed915,16,0.0,2,915,75,valid and complete,parun-v1-395be44e72672a9814321311c39593edf7ba14a66f4b8fba59eaa19bed8a7832,fa80847f87789a11f56f06a044670c2c46a121171ec407ce18dc2cc8288d3e5c,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,6d6c2bc39de24244e414816dd4386fd0a61c94fc2e7d66f6e88aef61f66e1f3e,d336a73f85511cd34eb983aaf5e39f7ab3033271a7da72741e3648c4fe632bcc
dim16-xcov0-fold3-seed911,16,0.0,3,911,75,valid and complete,parun-v1-c9bf0111de6950db414647539ab4bd9431d6ee75cea8d73a77e7386eb0305a05,3b1e77f7b148846ba2a3f15727caab9cfcdbfab4dd92263d2aeb81e75df2adbe,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,3396e0fb34d92af27dbd982bd5cea16fbeae7cc3b4d3bb64ee9f04ca959cdaf7,788b680ccd19af1a5078a29468ccedec71924988f53e9d5a9bcec65b838a6f75
dim16-xcov0-fold3-seed912,16,0.0,3,912,75,valid and complete,parun-v1-2cf563d1ed0098e2e3da9f3c4af3b6c563a3c879e8dafd06d646459c9b6a3e3f,4c186fa60a90e31879e8d91a30e960403b25396e88bbf9eb7aa5f35f0fed8710,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,3396e0fb34d92af27dbd982bd5cea16fbeae7cc3b4d3bb64ee9f04ca959cdaf7,9143cda1072e3664a49e6e3b2d1d8494f0763cee9176381e29119d33155f8fac
dim16-xcov0-fold3-seed913,16,0.0,3,913,75,valid and complete,parun-v1-2f798737adbdf947b3afd8325a339162e6d0b4ac999ecf62519616da4e10122c,6d6fbe0bca1bacc83e04a080d5e9a0a25fa7a8330ceed11aa4a0fbcae8882794,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,3396e0fb34d92af27dbd982bd5cea16fbeae7cc3b4d3bb64ee9f04ca959cdaf7,47c382edc2395527f2c22f60c32f9c18fc1f027496589778ff6018dd434a35ba
dim16-xcov0-fold3-seed914,16,0.0,3,914,75,valid and complete,parun-v1-efecd572f5ba6f6af76b25087288f0d272a97738bcd20ea534a8744144cc0cbd,39aee4fb3ee18fb01f11036f5a7bb39c855efe337b3e8fa47c65604a4deae929,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,3396e0fb34d92af27dbd982bd5cea16fbeae7cc3b4d3bb64ee9f04ca959cdaf7,d78a282b3884d291121ce06532ba18e7f669118925ae184dacc36cd7c6b6b431
dim16-xcov0-fold3-seed915,16,0.0,3,915,75,valid and complete,parun-v1-b8b3e14f2ed3b8dbf05f91f61ee4a02447636571c17120fe0161f08810305cbb,c13dc7531ba1a8a1ac1ceda9a7f6540d53ad15606935839e27ac18b9cb9b65b1,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,3396e0fb34d92af27dbd982bd5cea16fbeae7cc3b4d3bb64ee9f04ca959cdaf7,eb78143a1b9c18c92198ec81bb92c912e3219330c6e15c3b8beac6d2a6cc0cc4
