cell_key,acquisition_dim,cross_covariance_weight,fold,seed,epochs,run_id,code_commit,environment_sha256,dataset_name,dataset_source_sha256,split_manifest_sha256,pair_assignments_sha256,biological_scanner_balanced_accuracy,biological_scanner_macro_f1,biological_category_balanced_accuracy,biological_category_macro_f1,biological_category_weighted_f1,biological_same_category_purity_k1,biological_same_category_purity_k5,biological_same_category_purity_k10,acquisition_scanner_balanced_accuracy,acquisition_scanner_macro_f1,acquisition_category_balanced_accuracy,acquisition_category_macro_f1,acquisition_category_weighted_f1,acquisition_same_category_purity_k1,acquisition_same_category_purity_k5,acquisition_same_category_purity_k10
dim16-xcov0-fold2-seed911,16,0.0,2,911,75,parun-v1-a400fca73eed184933fc987dd7e3f584111106fe20ee385dab83ce9d2e541f06,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,canine_cutaneous_scc_dinov2_paired_acquisition,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,6d6c2bc39de24244e414816dd4386fd0a61c94fc2e7d66f6e88aef61f66e1f3e,93e99ccaaa2200a6a9d2e8fd3c1050764304a1915e0fa320a1ab37f96adf9f57,0.33655172413793105,0.3369346176707246,0.49309246309246313,0.4903476591767582,0.49430091925951813,0.9572413793103448,0.8926896551724138,0.7475862068965518,0.8510344827586206,0.8512231729757446,0.4421820771820772,0.303724202940857,0.3289031892646017,0.44,0.38013793103448273,0.3353103448275862
dim16-xcov0-fold2-seed912,16,0.0,2,912,75,parun-v1-3c14e0f1c97edbe667ed08692135776de50b99eb757fa97e9427dd0d4a5a2d06,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,canine_cutaneous_scc_dinov2_paired_acquisition,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,6d6c2bc39de24244e414816dd4386fd0a61c94fc2e7d66f6e88aef61f66e1f3e,a8cc4504a50f85b3737249d3bd3e015b1f8d0a87d9b6a9d2a79b6f287630c7c9,0.3544827586206896,0.35164004617441735,0.48584693084693087,0.47820117277948154,0.48421295429823424,0.9544827586206897,0.8921379310344828,0.7430344827586207,0.8565517241379311,0.8568520630759944,0.45673012173012184,0.3388746973619941,0.3822991226445323,0.4317241379310345,0.37324137931034485,0.3387586206896552
dim16-xcov0-fold2-seed913,16,0.0,2,913,75,parun-v1-1e2557cbc1e3761bc00667826d331e0fda5f65387b5969fcfffdcab474ff05dd,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,canine_cutaneous_scc_dinov2_paired_acquisition,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,6d6c2bc39de24244e414816dd4386fd0a61c94fc2e7d66f6e88aef61f66e1f3e,1b7e89fba89f7566ae185fc800936c590fe515220ab53f006ebc3133b8da59fc,0.31724137931034485,0.3141949051677631,0.43516835016835015,0.36569828380388864,0.43900441058707657,0.9586206896551724,0.8929655172413793,0.744551724137931,0.8579310344827586,0.8582691622103387,0.40582880082880085,0.2885571977221235,0.3379801992574071,0.40551724137931033,0.3627586206896552,0.32441379310344826
dim16-xcov0-fold2-seed914,16,0.0,2,914,75,parun-v1-ca8f33dba412876353047baf0f09858e1acd45fb5543b700cc68b1482f6ecf25,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,canine_cutaneous_scc_dinov2_paired_acquisition,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,6d6c2bc39de24244e414816dd4386fd0a61c94fc2e7d66f6e88aef61f66e1f3e,c789db08d9ef36d74d4c6c3b9858511f08661765bac3ee799dc3a9982143160a,0.383448275862069,0.37715024273264425,0.4745661745661745,0.40891147989295434,0.47410924506390884,0.9558620689655173,0.8976551724137931,0.7452413793103448,0.8524137931034483,0.8519584795763109,0.4065475265475265,0.30629917496325854,0.36315449416966955,0.4068965517241379,0.3624827586206897,0.32786206896551723
dim16-xcov0-fold2-seed915,16,0.0,2,915,75,parun-v1-395be44e72672a9814321311c39593edf7ba14a66f4b8fba59eaa19bed8a7832,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,canine_cutaneous_scc_dinov2_paired_acquisition,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,6d6c2bc39de24244e414816dd4386fd0a61c94fc2e7d66f6e88aef61f66e1f3e,d336a73f85511cd34eb983aaf5e39f7ab3033271a7da72741e3648c4fe632bcc,0.3448275862068966,0.34420631664177087,0.4896386946386946,0.41304998626747585,0.48510677126610546,0.9572413793103448,0.8907586206896552,0.7380689655172413,0.8524137931034483,0.8528852775280009,0.46399248899248896,0.31277905016305724,0.3294284346651118,0.4262068965517241,0.3641379310344828,0.33048275862068965
dim16-xcov0-fold3-seed911,16,0.0,3,911,75,parun-v1-c9bf0111de6950db414647539ab4bd9431d6ee75cea8d73a77e7386eb0305a05,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,canine_cutaneous_scc_dinov2_paired_acquisition,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,3396e0fb34d92af27dbd982bd5cea16fbeae7cc3b4d3bb64ee9f04ca959cdaf7,788b680ccd19af1a5078a29468ccedec71924988f53e9d5a9bcec65b838a6f75,0.34487179487179487,0.3452222956985625,0.45239147257076345,0.34178992679872194,0.44200234433939145,0.9910256410256411,0.9215384615384615,0.7833333333333333,0.876923076923077,0.8773522817790017,0.25226372740877173,0.14941086443437449,0.17004792763010834,0.5102564102564102,0.4717948717948718,0.45384615384615384
dim16-xcov0-fold3-seed912,16,0.0,3,912,75,parun-v1-2cf563d1ed0098e2e3da9f3c4af3b6c563a3c879e8dafd06d646459c9b6a3e3f,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,canine_cutaneous_scc_dinov2_paired_acquisition,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,3396e0fb34d92af27dbd982bd5cea16fbeae7cc3b4d3bb64ee9f04ca959cdaf7,9143cda1072e3664a49e6e3b2d1d8494f0763cee9176381e29119d33155f8fac,0.3602564102564102,0.35672773876300246,0.39813568806518035,0.3426240714836948,0.38258521816794266,0.9935897435897436,0.9294871794871795,0.8002564102564103,0.8884615384615385,0.8888594964991914,0.3387830154893008,0.2099794532805189,0.2442073567652587,0.5025641025641026,0.47846153846153844,0.45897435897435895
dim16-xcov0-fold3-seed913,16,0.0,3,913,75,parun-v1-2f798737adbdf947b3afd8325a339162e6d0b4ac999ecf62519616da4e10122c,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,canine_cutaneous_scc_dinov2_paired_acquisition,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,3396e0fb34d92af27dbd982bd5cea16fbeae7cc3b4d3bb64ee9f04ca959cdaf7,47c382edc2395527f2c22f60c32f9c18fc1f027496589778ff6018dd434a35ba,0.3551282051282051,0.3543232454323465,0.3962889310975532,0.3391378777777699,0.3967565242027981,0.9935897435897436,0.9256410256410257,0.7937179487179488,0.8653846153846155,0.8661861685382162,0.31986005056512706,0.19085946099204984,0.2054967228898357,0.5371794871794872,0.4905128205128205,0.4691025641025641
dim16-xcov0-fold3-seed914,16,0.0,3,914,75,parun-v1-efecd572f5ba6f6af76b25087288f0d272a97738bcd20ea534a8744144cc0cbd,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,canine_cutaneous_scc_dinov2_paired_acquisition,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,3396e0fb34d92af27dbd982bd5cea16fbeae7cc3b4d3bb64ee9f04ca959cdaf7,d78a282b3884d291121ce06532ba18e7f669118925ae184dacc36cd7c6b6b431,0.3858974358974359,0.38516076323621823,0.41650082711928005,0.37648465349343674,0.43776188187853093,0.9961538461538462,0.9164102564102564,0.7767948717948718,0.8794871794871796,0.8798077093438907,0.28531744965870676,0.180683389373915,0.21492667775972552,0.5525641025641026,0.49333333333333335,0.47333333333333333
dim16-xcov0-fold3-seed915,16,0.0,3,915,75,parun-v1-b8b3e14f2ed3b8dbf05f91f61ee4a02447636571c17120fe0161f08810305cbb,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,canine_cutaneous_scc_dinov2_paired_acquisition,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,3396e0fb34d92af27dbd982bd5cea16fbeae7cc3b4d3bb64ee9f04ca959cdaf7,eb78143a1b9c18c92198ec81bb92c912e3219330c6e15c3b8beac6d2a6cc0cc4,0.3576923076923077,0.35073618479895263,0.4164535342295213,0.3060520794022567,0.40567823571826367,0.9948717948717949,0.9202564102564103,0.7876923076923077,0.8782051282051281,0.8784020949281027,0.32619720186400275,0.19424487339676338,0.19768343802990207,0.5461538461538461,0.4982051282051282,0.48115384615384615
