condition,n_runs,scanner_probe_accuracy_mean,scanner_probe_accuracy_std,scanner_probe_accuracy_min,scanner_probe_accuracy_max,mean_paired_cosine_mean,mean_paired_cosine_std,mean_paired_cosine_min,mean_paired_cosine_max,worst_paired_cosine_mean,worst_paired_cosine_std,worst_paired_cosine_min,worst_paired_cosine_max,mean_top1_retrieval_mean,mean_top1_retrieval_std,mean_top1_retrieval_min,mean_top1_retrieval_max,worst_top1_retrieval_mean,worst_top1_retrieval_std,worst_top1_retrieval_min,worst_top1_retrieval_max,effective_rank_mean,effective_rank_std,effective_rank_min,effective_rank_max,biological_acquisition_cross_covariance_mean,biological_acquisition_cross_covariance_std,biological_acquisition_cross_covariance_min,biological_acquisition_cross_covariance_max
shuffled_region_pairs,1,0.8560000000000001,,0.8560000000000001,0.8560000000000001,0.7664471924304962,,0.7664471924304962,0.7664471924304962,0.6697341203689575,,0.6697341203689575,0.6697341203689575,0.986,,0.986,0.986,0.9550000000000001,,0.9550000000000001,0.9550000000000001,44.817928610840404,,44.817928610840404,44.817928610840404,0.16161440312862396,,0.16161440312862396,0.16161440312862396
shuffled_sample_pairs,1,0.8360000000000001,,0.8360000000000001,0.8360000000000001,0.7296913087368011,,0.7296913087368011,0.7296913087368011,0.6144793033599854,,0.6144793033599854,0.6144793033599854,0.9904999999999999,,0.9904999999999999,0.9904999999999999,0.965,,0.965,0.965,54.66692419874563,,54.66692419874563,54.66692419874563,0.14942972362041473,,0.14942972362041473,0.14942972362041473
true_pairs,1,0.828,,0.828,0.828,0.8485406458377838,,0.8485406458377838,0.8485406458377838,0.7942429184913635,,0.7942429184913635,0.7942429184913635,0.9935,,0.9935,0.9935,0.98,,0.98,0.98,28.000302372732804,,28.000302372732804,28.000302372732804,0.1903725564479828,,0.1903725564479828,0.1903725564479828
