strategy,global_qwk,global_accuracy,macro_f1,global_loss,worst_site_qwk,worst_site_accuracy,mean_site_qwk,weight_entropy,n_eff
fedavg,0.676090750758968,0.47088186356073214,0.46210323091256517,1.3097904920578003,0.6324430286694438,0.45925925925925926,0.6780160917520328,1.447865223410363,3.584382912358957
cross_site_full,0.6752390884096005,0.480865224625624,0.47144209223539546,1.315789818763733,0.6031746031746033,0.4666666666666667,0.6809367344022795,1.6093879786321517,4.999500236524522
cross_site_blend_25,0.6764297042241851,0.47753743760399336,0.4680596961349139,1.3132603168487549,0.6491969568892646,0.4473684210526316,0.6809327121251136,1.5160231866302107,4.0968885987062835
cross_site_blend_50,0.6729060461811973,0.47920133111480867,0.4693889155863236,1.3102836608886719,0.6442251886244922,0.4444444444444444,0.6843503235472802,1.5663781374312473,4.556599472859632
cross_site_blend_75,0.6779681911822396,0.4841930116472546,0.4746652813406013,1.311305284500122,0.6221825613863381,0.45555555555555555,0.6859777695601215,1.5983457508457564,4.884030450607776
