representation,held_out_scanner,seed,n_train,n_test,feature_dim,train_class_counts,test_class_counts,rep_family,category_balanced_accuracy,category_macro_f1,category_weighted_f1,n_classes_test,n_classes_train,classes_missing_from_test,runtime_seconds,recall_Bone,precision_Bone,f1_Bone,support_Bone,recall_Cartilage,precision_Cartilage,f1_Cartilage,support_Cartilage,recall_Dermis,precision_Dermis,f1_Dermis,support_Dermis,recall_Epidermis,precision_Epidermis,f1_Epidermis,support_Epidermis,recall_Inflamm/Necrosis,precision_Inflamm/Necrosis,f1_Inflamm/Necrosis,support_Inflamm/Necrosis,recall_SCC,precision_SCC,f1_SCC,support_SCC,recall_Subcutis,precision_Subcutis,f1_Subcutis,support_Subcutis,condition,branch,k
true_pair_biological,gt450,911,3220,805,256,"{""Bone"": 156, ""Cartilage"": 8, ""Dermis"": 400, ""Epidermis"": 964, ""Inflamm/Necrosis"": 320, ""SCC"": 964, ""Subcutis"": 408}","{""Bone"": 39, ""Cartilage"": 2, ""Dermis"": 100, ""Epidermis"": 241, ""Inflamm/Necrosis"": 80, ""SCC"": 241, ""Subcutis"": 102}",pair_integrity,0.8407862136236558,0.7938440248873775,0.790782374131541,7,7,[],0.17310889999498613,0.9230769230769231,0.7346938775510204,0.8181818181818182,39,1.0,0.6666666666666666,0.8,2,0.76,0.6909090909090909,0.7238095238095238,100,0.8174273858921162,0.7975708502024291,0.8073770491803278,241,0.775,0.775,0.775,80,0.7178423236514523,0.8398058252427184,0.7740492170022372,241,0.8921568627450981,0.8272727272727273,0.8584905660377359,102,true_pairs,biological,
true_pair_biological,gt450,912,3220,805,256,"{""Bone"": 156, ""Cartilage"": 8, ""Dermis"": 400, ""Epidermis"": 964, ""Inflamm/Necrosis"": 320, ""SCC"": 964, ""Subcutis"": 408}","{""Bone"": 39, ""Cartilage"": 2, ""Dermis"": 100, ""Epidermis"": 241, ""Inflamm/Necrosis"": 80, ""SCC"": 241, ""Subcutis"": 102}",pair_integrity,0.8206497562318896,0.8075647063099936,0.7767920941136248,7,7,[],0.4689772999845445,0.8205128205128205,0.8,0.810126582278481,39,1.0,1.0,1.0,2,0.77,0.652542372881356,0.7064220183486238,100,0.7800829875518672,0.831858407079646,0.8051391862955032,241,0.75,0.6976744186046512,0.7228915662650602,80,0.7219917012448133,0.7945205479452054,0.7565217391304347,241,0.9019607843137255,0.8070175438596491,0.8518518518518519,102,true_pairs,biological,
true_pair_biological,gt450,913,3220,805,256,"{""Bone"": 156, ""Cartilage"": 8, ""Dermis"": 400, ""Epidermis"": 964, ""Inflamm/Necrosis"": 320, ""SCC"": 964, ""Subcutis"": 408}","{""Bone"": 39, ""Cartilage"": 2, ""Dermis"": 100, ""Epidermis"": 241, ""Inflamm/Necrosis"": 80, ""SCC"": 241, ""Subcutis"": 102}",pair_integrity,0.8207405803048956,0.7677295043828224,0.7589718061527855,7,7,[],0.19534620002377778,0.9487179487179487,0.7872340425531915,0.8604651162790697,39,1.0,0.6666666666666666,0.8,2,0.79,0.5895522388059702,0.6752136752136753,100,0.7676348547717843,0.8185840707964602,0.7922912205567452,241,0.725,0.6744186046511628,0.6987951807228916,80,0.6804979253112033,0.8241206030150754,0.7454545454545455,241,0.8333333333333334,0.7727272727272727,0.8018867924528302,102,true_pairs,biological,
true_pair_biological,gt450,914,3220,805,256,"{""Bone"": 156, ""Cartilage"": 8, ""Dermis"": 400, ""Epidermis"": 964, ""Inflamm/Necrosis"": 320, ""SCC"": 964, ""Subcutis"": 408}","{""Bone"": 39, ""Cartilage"": 2, ""Dermis"": 100, ""Epidermis"": 241, ""Inflamm/Necrosis"": 80, ""SCC"": 241, ""Subcutis"": 102}",pair_integrity,0.8329176780830431,0.8139249389871736,0.7835881992902181,7,7,[],0.23870969997369684,0.8717948717948718,0.8292682926829268,0.85,39,1.0,1.0,1.0,2,0.87,0.6,0.710204081632653,100,0.8132780082987552,0.8448275862068966,0.828752642706131,241,0.7125,0.7307692307692307,0.7215189873417721,80,0.6804979253112033,0.8541666666666666,0.7575057736720554,241,0.8823529411764706,0.782608695652174,0.8294930875576036,102,true_pairs,biological,
true_pair_biological,gt450,915,3220,805,256,"{""Bone"": 156, ""Cartilage"": 8, ""Dermis"": 400, ""Epidermis"": 964, ""Inflamm/Necrosis"": 320, ""SCC"": 964, ""Subcutis"": 408}","{""Bone"": 39, ""Cartilage"": 2, ""Dermis"": 100, ""Epidermis"": 241, ""Inflamm/Necrosis"": 80, ""SCC"": 241, ""Subcutis"": 102}",pair_integrity,0.8324107025510493,0.8047655045448281,0.7721105956894094,7,7,[],0.16951950002112426,0.8974358974358975,0.7608695652173914,0.8235294117647058,39,1.0,1.0,1.0,2,0.81,0.6585365853658537,0.726457399103139,100,0.7510373443983402,0.8457943925233645,0.7956043956043956,241,0.775,0.6391752577319587,0.7005649717514124,80,0.7012448132780082,0.8203883495145631,0.756152125279642,241,0.8921568627450981,0.7777777777777778,0.8310502283105022,102,true_pairs,biological,
true_pair_biological,nz20,911,3220,805,256,"{""Bone"": 156, ""Cartilage"": 8, ""Dermis"": 400, ""Epidermis"": 964, ""Inflamm/Necrosis"": 320, ""SCC"": 964, ""Subcutis"": 408}","{""Bone"": 39, ""Cartilage"": 2, ""Dermis"": 100, ""Epidermis"": 241, ""Inflamm/Necrosis"": 80, ""SCC"": 241, ""Subcutis"": 102}",pair_integrity,0.8704660785476017,0.7828571119267874,0.7922852124176214,7,7,[],0.17206199999782257,1.0,0.7358490566037735,0.8478260869565217,39,1.0,0.5,0.6666666666666666,2,0.79,0.7247706422018348,0.7559808612440191,100,0.7676348547717843,0.8726415094339622,0.8167770419426048,241,0.9,0.6857142857142857,0.7783783783783784,80,0.6846473029045643,0.825,0.7482993197278912,241,0.9509803921568627,0.7950819672131147,0.8660714285714286,102,true_pairs,biological,
true_pair_biological,nz20,912,3220,805,256,"{""Bone"": 156, ""Cartilage"": 8, ""Dermis"": 400, ""Epidermis"": 964, ""Inflamm/Necrosis"": 320, ""SCC"": 964, ""Subcutis"": 408}","{""Bone"": 39, ""Cartilage"": 2, ""Dermis"": 100, ""Epidermis"": 241, ""Inflamm/Necrosis"": 80, ""SCC"": 241, ""Subcutis"": 102}",pair_integrity,0.8628299139636704,0.7884003275945547,0.8047492957795671,7,7,[],0.4693173999839928,0.9487179487179487,0.7872340425531915,0.8604651162790697,39,1.0,0.5,0.6666666666666666,2,0.83,0.6384615384615384,0.7217391304347827,100,0.7883817427385892,0.8755760368663594,0.8296943231441049,241,0.825,0.7415730337078652,0.7810650887573964,80,0.7261410788381742,0.8536585365853658,0.7847533632286996,241,0.9215686274509803,0.831858407079646,0.8744186046511628,102,true_pairs,biological,
true_pair_biological,nz20,913,3220,805,256,"{""Bone"": 156, ""Cartilage"": 8, ""Dermis"": 400, ""Epidermis"": 964, ""Inflamm/Necrosis"": 320, ""SCC"": 964, ""Subcutis"": 408}","{""Bone"": 39, ""Cartilage"": 2, ""Dermis"": 100, ""Epidermis"": 241, ""Inflamm/Necrosis"": 80, ""SCC"": 241, ""Subcutis"": 102}",pair_integrity,0.7890702926558432,0.7562099992336222,0.8185945560122122,7,7,[],0.16658960000495426,0.8717948717948718,0.7727272727272727,0.8192771084337349,39,0.5,0.3333333333333333,0.4,2,0.76,0.7037037037037037,0.7307692307692307,100,0.8091286307053942,0.8590308370044053,0.8333333333333334,241,0.85,0.68,0.7555555555555555,80,0.7717842323651453,0.8571428571428571,0.8122270742358079,241,0.9607843137254902,0.9245283018867925,0.9423076923076923,102,true_pairs,biological,
true_pair_biological,nz20,914,3220,805,256,"{""Bone"": 156, ""Cartilage"": 8, ""Dermis"": 400, ""Epidermis"": 964, ""Inflamm/Necrosis"": 320, ""SCC"": 964, ""Subcutis"": 408}","{""Bone"": 39, ""Cartilage"": 2, ""Dermis"": 100, ""Epidermis"": 241, ""Inflamm/Necrosis"": 80, ""SCC"": 241, ""Subcutis"": 102}",pair_integrity,0.855559888813489,0.7825223437296798,0.7921650824402181,7,7,[],0.16226529999403283,0.9743589743589743,0.7755102040816326,0.8636363636363636,39,1.0,0.5,0.6666666666666666,2,0.76,0.6495726495726496,0.7004608294930875,100,0.8008298755186722,0.8894009216589862,0.8427947598253275,241,0.8,0.7529411764705882,0.7757575757575758,80,0.6929460580912863,0.7695852534562212,0.7292576419213974,241,0.9607843137254902,0.8448275862068966,0.8990825688073395,102,true_pairs,biological,
true_pair_biological,nz20,915,3220,805,256,"{""Bone"": 156, ""Cartilage"": 8, ""Dermis"": 400, ""Epidermis"": 964, ""Inflamm/Necrosis"": 320, ""SCC"": 964, ""Subcutis"": 408}","{""Bone"": 39, ""Cartilage"": 2, ""Dermis"": 100, ""Epidermis"": 241, ""Inflamm/Necrosis"": 80, ""SCC"": 241, ""Subcutis"": 102}",pair_integrity,0.8558256286874789,0.7936001824556426,0.8045757779278356,7,7,[],0.20917349998489954,0.8974358974358975,0.8536585365853658,0.875,39,1.0,0.5,0.6666666666666666,2,0.81,0.6428571428571429,0.7168141592920354,100,0.7842323651452282,0.84,0.8111587982832618,241,0.825,0.7764705882352941,0.8,80,0.7427385892116183,0.8325581395348837,0.7850877192982456,241,0.9313725490196079,0.8715596330275229,0.9004739336492891,102,true_pairs,biological,
