contrast_type,contrast_id,metric,fold_seed_positive,fold_seed_negative,fold_seed_zero,fold_positive,fold_negative,fold_zero,fold_seed_count,fold_count
dimension_by_weight_interaction,dim4_vs_dim64_by_xcov0p05_vs_xcov0,biological_retrieval_top1_worst,8,17,0,2,3,0,25,5
dimension_by_weight_interaction,dim4_vs_dim64_by_xcov0p05_vs_xcov0,branch_cross_covariance_rms,15,10,0,3,2,0,25,5
dimension_by_weight_interaction,dim4_vs_dim64_by_xcov0p2_vs_xcov0,biological_scanner_probe_accuracy,5,20,0,0,5,0,25,5
dimension_by_weight_interaction,dim4_vs_dim64_by_xcov0p2_vs_xcov0,acquisition_scanner_probe_accuracy,19,6,0,5,0,0,25,5
dimension_by_weight_interaction,dim4_vs_dim64_by_xcov0p2_vs_xcov0,biological_category_probe_accuracy,12,13,0,4,1,0,25,5
dimension_by_weight_interaction,dim4_vs_dim64_by_xcov0p2_vs_xcov0,acquisition_category_probe_accuracy,20,5,0,5,0,0,25,5
dimension_by_weight_interaction,dim4_vs_dim64_by_xcov0p2_vs_xcov0,biological_pair_cosine_average,6,19,0,0,5,0,25,5
dimension_by_weight_interaction,dim4_vs_dim64_by_xcov0p2_vs_xcov0,biological_pair_cosine_worst,8,17,0,0,5,0,25,5
dimension_by_weight_interaction,dim4_vs_dim64_by_xcov0p2_vs_xcov0,biological_retrieval_top1_average,9,16,0,0,5,0,25,5
dimension_by_weight_interaction,dim4_vs_dim64_by_xcov0p2_vs_xcov0,biological_retrieval_top1_worst,11,13,1,1,4,0,25,5
dimension_by_weight_interaction,dim4_vs_dim64_by_xcov0p2_vs_xcov0,branch_cross_covariance_rms,23,2,0,5,0,0,25,5
dimension_by_weight_interaction,dim8_vs_dim64_by_xcov0p05_vs_xcov0,biological_scanner_probe_accuracy,15,10,0,4,1,0,25,5
dimension_by_weight_interaction,dim8_vs_dim64_by_xcov0p05_vs_xcov0,acquisition_scanner_probe_accuracy,19,6,0,3,2,0,25,5
dimension_by_weight_interaction,dim8_vs_dim64_by_xcov0p05_vs_xcov0,biological_category_probe_accuracy,11,14,0,1,4,0,25,5
dimension_by_weight_interaction,dim8_vs_dim64_by_xcov0p05_vs_xcov0,acquisition_category_probe_accuracy,2,23,0,0,5,0,25,5
dimension_by_weight_interaction,dim8_vs_dim64_by_xcov0p05_vs_xcov0,biological_pair_cosine_average,19,6,0,4,1,0,25,5
dimension_by_weight_interaction,dim8_vs_dim64_by_xcov0p05_vs_xcov0,biological_pair_cosine_worst,13,12,0,3,2,0,25,5
dimension_by_weight_interaction,dim8_vs_dim64_by_xcov0p05_vs_xcov0,biological_retrieval_top1_average,6,19,0,1,4,0,25,5
dimension_by_weight_interaction,dim8_vs_dim64_by_xcov0p05_vs_xcov0,biological_retrieval_top1_worst,11,14,0,1,4,0,25,5
dimension_by_weight_interaction,dim8_vs_dim64_by_xcov0p05_vs_xcov0,branch_cross_covariance_rms,0,25,0,0,5,0,25,5
dimension_by_weight_interaction,dim8_vs_dim64_by_xcov0p2_vs_xcov0,biological_scanner_probe_accuracy,8,17,0,0,5,0,25,5
dimension_by_weight_interaction,dim8_vs_dim64_by_xcov0p2_vs_xcov0,acquisition_scanner_probe_accuracy,17,8,0,5,0,0,25,5
dimension_by_weight_interaction,dim8_vs_dim64_by_xcov0p2_vs_xcov0,biological_category_probe_accuracy,9,16,0,3,2,0,25,5
dimension_by_weight_interaction,dim8_vs_dim64_by_xcov0p2_vs_xcov0,acquisition_category_probe_accuracy,12,13,0,2,3,0,25,5
dimension_by_weight_interaction,dim8_vs_dim64_by_xcov0p2_vs_xcov0,biological_pair_cosine_average,3,22,0,0,5,0,25,5
dimension_by_weight_interaction,dim8_vs_dim64_by_xcov0p2_vs_xcov0,biological_pair_cosine_worst,5,20,0,0,5,0,25,5
dimension_by_weight_interaction,dim8_vs_dim64_by_xcov0p2_vs_xcov0,biological_retrieval_top1_average,7,18,0,1,4,0,25,5
dimension_by_weight_interaction,dim8_vs_dim64_by_xcov0p2_vs_xcov0,biological_retrieval_top1_worst,11,14,0,2,3,0,25,5
dimension_by_weight_interaction,dim8_vs_dim64_by_xcov0p2_vs_xcov0,branch_cross_covariance_rms,1,24,0,0,5,0,25,5
dimension_marginal,dim16_minus_dim64,biological_scanner_probe_accuracy,12,13,0,3,2,0,25,5
dimension_marginal,dim16_minus_dim64,acquisition_scanner_probe_accuracy,7,18,0,1,4,0,25,5
dimension_marginal,dim16_minus_dim64,biological_category_probe_accuracy,14,11,0,2,3,0,25,5
dimension_marginal,dim16_minus_dim64,acquisition_category_probe_accuracy,0,25,0,0,5,0,25,5
dimension_marginal,dim16_minus_dim64,biological_pair_cosine_average,19,6,0,5,0,0,25,5
dimension_marginal,dim16_minus_dim64,biological_pair_cosine_worst,19,6,0,5,0,0,25,5
dimension_marginal,dim16_minus_dim64,biological_retrieval_top1_average,16,9,0,4,1,0,25,5
