dataset_backbone,condition,n_runs,ladder_level,bio_scanner_probe_accuracy_mean,bio_scanner_probe_accuracy_std,bio_mean_paired_cosine_mean,bio_mean_paired_cosine_std,bio_worst_paired_cosine_mean,bio_worst_paired_cosine_std,bio_mean_top1_retrieval_mean,bio_mean_top1_retrieval_std,bio_worst_top1_retrieval_mean,bio_worst_top1_retrieval_std,bio_effective_rank_mean,bio_effective_rank_std,acq_scanner_probe_accuracy_mean,acq_scanner_probe_accuracy_std,acq_mean_paired_cosine_mean,acq_mean_paired_cosine_std,acq_worst_paired_cosine_mean,acq_worst_paired_cosine_std,acq_mean_top1_retrieval_mean,acq_mean_top1_retrieval_std,acq_worst_top1_retrieval_mean,acq_worst_top1_retrieval_std,acq_effective_rank_mean,acq_effective_rank_std,biological_acquisition_cross_covariance_mean,biological_acquisition_cross_covariance_std
SCORPION_Phikon,true_same_region_pairs,25,0,0.5200444444444444,0.04642375048456873,0.8644930937290192,0.006087659483805724,0.8300214433670043,0.0059679684293170564,0.9996799999999999,0.0004117862324490441,0.9974444444444444,0.0031590226128207295,46.75071637524961,3.668099914222558,0.9710933333333334,0.013453000032578011,0.16243366861902178,0.027728654448533625,-0.2031186728179455,0.07468951697629307,0.07391777777777779,0.012150411092301945,0.03686666666666667,0.011918447160433669,8.602407935948454,0.5813740108242802,0.08886689931154251,0.004176956592770401
SCORPION_Phikon,same_slide_different_region_pairs,25,1,0.4340711111111112,0.036501463976503515,0.6913147773742675,0.007689444170527569,0.6022239398956298,0.012049278679113979,0.9603155555555556,0.007988654506426314,0.8991777777777777,0.019874296322662292,44.39034498132671,1.7512465585232446,0.9673422222222221,0.01221506187563187,0.34965111682750283,0.02736055576572876,0.031327967438846825,0.060258191636291945,0.44738666666666665,0.055907048905159996,0.28615555555555555,0.07470723379896356,15.44068410387364,0.9163214499686047,0.11144584327936173,0.004526325690736661
SCORPION_Phikon,shuffled_sample_pairs,25,2,0.4085333333333333,0.0501896813620722,0.6158467254638671,0.01676895947214513,0.4741199243068695,0.026549454075043104,0.8762866666666667,0.017558029010001367,0.6756666666666667,0.05695167072486908,42.545296058155046,1.973812534442828,0.9657511111111111,0.014725516053614812,0.37138563268631697,0.023692919392019455,0.051822473034262656,0.057431907993170515,0.47352888888888883,0.04591429471142661,0.3139777777777778,0.06701216031161532,15.636671583730697,0.7805623356413304,0.11263976156711579,0.004628584420633355
SCORPION_Phikon,scanner_balanced_random_pairs,25,3,0.45599111111111107,0.04446631313832108,0.5747407109737397,0.01598567268217067,0.44641646146774294,0.025546865339032533,0.8605577777777778,0.0183394173406644,0.6720444444444444,0.05584040861748687,45.76302561147449,1.7187266779844044,0.9640977777777777,0.017321230342447768,0.4212446494996548,0.023233616376584415,0.14560267299413682,0.05649213468036963,0.5944355555555556,0.04405773218666728,0.43537777777777775,0.07718019773109355,17.876624161427188,0.8012691079877501,0.11221970409154892,0.005369338022522187
SCORPION_Phikon,fully_random_pairs,25,4,0.45965333333333336,0.030949718946715152,0.5774986402988435,0.011679474641578697,0.44994446873664856,0.021989074996596563,0.8665422222222222,0.018567121035289652,0.6839555555555554,0.04884502451379349,46.10318908102678,1.0256361630709285,0.9589422222222223,0.019254338402684826,0.42243033647537237,0.024511450992684588,0.15135011315345764,0.05913297034366052,0.6033244444444444,0.043383244285941355,0.43986666666666663,0.07415301580574063,18.173296825909233,0.8960903715322673,0.11206901460886001,0.0052917181034734875
SCORPION_ResNet50,true_same_region_pairs,25,0,0.3144622222222222,0.04333945445846315,0.6544406855106354,0.00849543735726687,0.5978132653236389,0.015070418959066198,0.97262,0.006543906001870514,0.9454888888888888,0.012868358489168725,85.08746652068234,6.001838955018165,0.7845333333333333,0.04127604552469116,0.313981097009033,0.04547372571027521,-0.04503017295151949,0.08398510501144324,0.17052444444444448,0.027493897003298448,0.09255555555555556,0.024718580672293364,9.241400104352593,0.5603111373162195,0.0895672732591629,0.0038831693704792377
SCORPION_ResNet50,same_slide_different_region_pairs,25,1,0.30450666666666665,0.031841784800153074,0.5188143639564514,0.009767851011452508,0.44869268298149106,0.01677694207310027,0.8839444444444443,0.016203066125022522,0.7980444444444444,0.026111170212699063,81.66953550818884,3.62696825726819,0.7805600000000001,0.039067953882640595,0.4559560230970383,0.03201004333638949,0.17891284346580505,0.06125259743534619,0.32510666666666665,0.03533110914849054,0.19753333333333334,0.03521979779014356,14.325371094681064,0.5258452673504722,0.08506163239479064,0.0036803749565344226
SCORPION_ResNet50,shuffled_sample_pairs,25,2,0.30665777777777775,0.03327275235658625,0.5083236070871352,0.008694689255613761,0.4438923728466034,0.01377705351331075,0.8774822222222223,0.014622379122202246,0.800311111111111,0.020957089217669655,81.43773514241849,3.444948739567964,0.7806933333333334,0.042899073824261315,0.46890230864286414,0.027965744360345667,0.198176109790802,0.056680531780260994,0.3447511111111112,0.03401187126329975,0.20837777777777777,0.03243778470461893,14.825273555030424,0.41068982034254314,0.08465246319770812,0.0033824182231680763
SCORPION_ResNet50,scanner_balanced_random_pairs,25,3,0.3591822222222222,0.02928852638453798,0.4913173127174377,0.013979491567872204,0.41981415152549745,0.018525587313535062,0.8158088888888889,0.012566633919464798,0.7007333333333334,0.030858648266563884,71.83747462338626,2.0139245958308285,0.7607200000000001,0.04428677031226547,0.5354401336908341,0.02849793315443557,0.3667416858673096,0.04725864918199369,0.43718444444444443,0.038918473270779706,0.31326666666666664,0.04283165198218058,17.61171708940231,0.5284468920436115,0.08840393394231796,0.0032565359225969416
SCORPION_ResNet50,fully_random_pairs,25,4,0.3637777777777778,0.03361033056944926,0.4934807336330414,0.016083577148627595,0.4177562034130096,0.02075313548387794,0.8107444444444445,0.024344022470437224,0.6939777777777778,0.035454747138432746,70.46494116554966,1.7332256783314064,0.7550044444444444,0.033949679538115535,0.5499602726697922,0.023926048255588986,0.3774670076370239,0.04095645397143418,0.4641466666666666,0.03234308383590626,0.31784444444444443,0.03672005092476991,18.062619530799324,0.682672352900881,0.08983706951141357,0.0038394120435866668
