dataset_backbone,fold,seed,condition,original_condition,source,ladder_level,bio_scanner_probe_accuracy,bio_mean_paired_cosine,bio_worst_paired_cosine,bio_mean_top1_retrieval,bio_worst_top1_retrieval,bio_effective_rank,acq_scanner_probe_accuracy,acq_mean_paired_cosine,acq_worst_paired_cosine,acq_mean_top1_retrieval,acq_worst_top1_retrieval,acq_effective_rank,biological_acquisition_cross_covariance
SCORPION_Phikon,0,701,true_same_region_pairs,true_pairs,existing,0,0.44800000000000006,0.8601280152797699,0.8224288821220398,1.0,1.0,46.903198915490215,0.944,0.19024933502078056,-0.1309710443019867,0.0795,0.045,9.179629961430011,0.09289084374904633
SCORPION_Phikon,0,701,same_slide_different_region_pairs,shuffled_region_pairs,existing,1,0.43,0.6787999987602233,0.6011636853218079,0.9480000000000001,0.905,44.42966619857977,0.9460000000000001,0.37902336567640305,0.0954553484916687,0.5000000000000001,0.375,16.168360211756895,0.11117450892925262
SCORPION_Phikon,0,701,shuffled_sample_pairs,shuffled_sample_pairs,existing,2,0.348,0.6143296152353287,0.46080702543258667,0.8685,0.6499999999999999,43.39382186519839,0.944,0.3997392602264881,0.11407975107431412,0.49399999999999994,0.4,16.12672000231729,0.10984541475772858
SCORPION_Phikon,0,702,true_same_region_pairs,true_pairs,existing,0,0.47400000000000003,0.8623629808425903,0.8231728076934814,1.0,1.0,47.58057606265851,0.952,0.2001820642501116,-0.19031329452991486,0.07800000000000001,0.04,9.084859613004069,0.09185966104269028
SCORPION_Phikon,0,702,same_slide_different_region_pairs,shuffled_region_pairs,existing,1,0.454,0.6873351693153381,0.5911258459091187,0.9404999999999999,0.84,43.726907212452176,0.952,0.39400792978703975,0.05446669086813927,0.4915,0.39,15.896830004318945,0.11510860919952393
SCORPION_Phikon,0,702,shuffled_sample_pairs,shuffled_sample_pairs,existing,2,0.39,0.629778915643692,0.5036422610282898,0.8785000000000001,0.665,42.724913304994494,0.944,0.41692934930324554,0.093193918466568,0.518,0.4,16.049557149243665,0.11586665362119675
SCORPION_Phikon,0,703,true_same_region_pairs,true_pairs,existing,0,0.526,0.8591820478439331,0.8211972117424011,1.0,1.0,49.038129676189854,0.95,0.21641057543456554,-0.20042939484119415,0.08,0.035,9.02121907435852,0.09333063662052155
SCORPION_Phikon,0,703,same_slide_different_region_pairs,shuffled_region_pairs,existing,1,0.422,0.6850038468837738,0.6073492169380188,0.967,0.925,45.500422212110855,0.944,0.40196611993014814,0.042251165956258774,0.492,0.33999999999999997,15.808750439043834,0.11334998160600662
SCORPION_Phikon,0,703,shuffled_sample_pairs,shuffled_sample_pairs,existing,2,0.32999999999999996,0.6218523114919663,0.48030468821525574,0.8699999999999999,0.62,41.19138182232323,0.9380000000000001,0.41236409433186055,0.05546965077519417,0.4875,0.375,15.93021789403374,0.11416105180978775
SCORPION_Phikon,0,704,true_same_region_pairs,true_pairs,existing,0,0.48599999999999993,0.8606039524078369,0.8226587772369385,0.999,0.995,48.563482822595354,0.944,0.17936906944960357,-0.22773253917694092,0.06250000000000001,0.025,8.436032309720883,0.09178715199232101
SCORPION_Phikon,0,704,same_slide_different_region_pairs,shuffled_region_pairs,existing,1,0.454,0.6844046533107757,0.5949585437774658,0.9545,0.885,46.92508835827542,0.9479999999999998,0.3839653555303812,0.045723844319581985,0.4525,0.30000000000000004,15.204841303853552,0.11423298716545105
SCORPION_Phikon,0,704,shuffled_sample_pairs,shuffled_sample_pairs,existing,2,0.414,0.5997508138418197,0.44608864188194275,0.875,0.66,44.973124703635165,0.9540000000000001,0.39794996604323385,0.08668290823698044,0.4574999999999999,0.315,15.730374712161066,0.11052162200212479
SCORPION_Phikon,0,705,true_same_region_pairs,true_pairs,existing,0,0.508,0.8620702385902405,0.8276647925376892,0.9995,0.995,47.78952661948061,0.9559999999999998,0.19324270356446505,-0.09706268459558487,0.07350000000000001,0.035,9.368022844834655,0.09124311804771423
