dataset_backbone,from_condition,to_condition,from_level,to_level,metric,mean_delta
SCORPION_Phikon,scanner_balanced_random_pairs,fully_random_pairs,3,4,bio_effective_rank,0.34016346955228727
SCORPION_Phikon,scanner_balanced_random_pairs,fully_random_pairs,3,4,acq_scanner_probe_accuracy,-0.005155555555555469
SCORPION_Phikon,scanner_balanced_random_pairs,fully_random_pairs,3,4,acq_mean_paired_cosine,0.0011856869757175814
SCORPION_Phikon,scanner_balanced_random_pairs,fully_random_pairs,3,4,acq_worst_paired_cosine,0.005747440159320827
SCORPION_Phikon,scanner_balanced_random_pairs,fully_random_pairs,3,4,acq_mean_top1_retrieval,0.008888888888888835
SCORPION_Phikon,scanner_balanced_random_pairs,fully_random_pairs,3,4,acq_worst_top1_retrieval,0.004488888888888876
SCORPION_Phikon,scanner_balanced_random_pairs,fully_random_pairs,3,4,acq_effective_rank,0.29667266448204543
SCORPION_Phikon,scanner_balanced_random_pairs,fully_random_pairs,3,4,biological_acquisition_cross_covariance,-0.00015068948268891214
SCORPION_ResNet50,true_same_region_pairs,same_slide_different_region_pairs,0,1,bio_scanner_probe_accuracy,-0.00995555555555555
SCORPION_ResNet50,true_same_region_pairs,same_slide_different_region_pairs,0,1,bio_mean_paired_cosine,-0.13562632155418397
SCORPION_ResNet50,true_same_region_pairs,same_slide_different_region_pairs,0,1,bio_worst_paired_cosine,-0.1491205823421478
SCORPION_ResNet50,true_same_region_pairs,same_slide_different_region_pairs,0,1,bio_mean_top1_retrieval,-0.08867555555555573
SCORPION_ResNet50,true_same_region_pairs,same_slide_different_region_pairs,0,1,bio_worst_top1_retrieval,-0.14744444444444438
SCORPION_ResNet50,true_same_region_pairs,same_slide_different_region_pairs,0,1,bio_effective_rank,-3.417931012493497
SCORPION_ResNet50,true_same_region_pairs,same_slide_different_region_pairs,0,1,acq_scanner_probe_accuracy,-0.003973333333333162
SCORPION_ResNet50,true_same_region_pairs,same_slide_different_region_pairs,0,1,acq_mean_paired_cosine,0.14197492608800533
SCORPION_ResNet50,true_same_region_pairs,same_slide_different_region_pairs,0,1,acq_worst_paired_cosine,0.22394301641732453
SCORPION_ResNet50,true_same_region_pairs,same_slide_different_region_pairs,0,1,acq_mean_top1_retrieval,0.15458222222222218
SCORPION_ResNet50,true_same_region_pairs,same_slide_different_region_pairs,0,1,acq_worst_top1_retrieval,0.10497777777777778
SCORPION_ResNet50,true_same_region_pairs,same_slide_different_region_pairs,0,1,acq_effective_rank,5.083970990328471
SCORPION_ResNet50,true_same_region_pairs,same_slide_different_region_pairs,0,1,biological_acquisition_cross_covariance,-0.0045056408643722595
SCORPION_ResNet50,same_slide_different_region_pairs,shuffled_sample_pairs,1,2,bio_scanner_probe_accuracy,0.0021511111111111036
SCORPION_ResNet50,same_slide_different_region_pairs,shuffled_sample_pairs,1,2,bio_mean_paired_cosine,-0.01049075686931622
SCORPION_ResNet50,same_slide_different_region_pairs,shuffled_sample_pairs,1,2,bio_worst_paired_cosine,-0.004800310134887686
SCORPION_ResNet50,same_slide_different_region_pairs,shuffled_sample_pairs,1,2,bio_mean_top1_retrieval,-0.006462222222222036
SCORPION_ResNet50,same_slide_different_region_pairs,shuffled_sample_pairs,1,2,bio_worst_top1_retrieval,0.002266666666666528
SCORPION_ResNet50,same_slide_different_region_pairs,shuffled_sample_pairs,1,2,bio_effective_rank,-0.23180036577035423
SCORPION_ResNet50,same_slide_different_region_pairs,shuffled_sample_pairs,1,2,acq_scanner_probe_accuracy,0.00013333333333320763
SCORPION_ResNet50,same_slide_different_region_pairs,shuffled_sample_pairs,1,2,acq_mean_paired_cosine,0.01294628554582583
SCORPION_ResNet50,same_slide_different_region_pairs,shuffled_sample_pairs,1,2,acq_worst_paired_cosine,0.019263266324996947
SCORPION_ResNet50,same_slide_different_region_pairs,shuffled_sample_pairs,1,2,acq_mean_top1_retrieval,0.01964444444444452
SCORPION_ResNet50,same_slide_different_region_pairs,shuffled_sample_pairs,1,2,acq_worst_top1_retrieval,0.010844444444444434
SCORPION_ResNet50,same_slide_different_region_pairs,shuffled_sample_pairs,1,2,acq_effective_rank,0.4999024603493609
SCORPION_ResNet50,same_slide_different_region_pairs,shuffled_sample_pairs,1,2,biological_acquisition_cross_covariance,-0.00040916919708251787
SCORPION_ResNet50,shuffled_sample_pairs,scanner_balanced_random_pairs,2,3,bio_scanner_probe_accuracy,0.05252444444444443
SCORPION_ResNet50,shuffled_sample_pairs,scanner_balanced_random_pairs,2,3,bio_mean_paired_cosine,-0.017006294369697472
SCORPION_ResNet50,shuffled_sample_pairs,scanner_balanced_random_pairs,2,3,bio_worst_paired_cosine,-0.02407822132110593
SCORPION_ResNet50,shuffled_sample_pairs,scanner_balanced_random_pairs,2,3,bio_mean_top1_retrieval,-0.06167333333333336
SCORPION_ResNet50,shuffled_sample_pairs,scanner_balanced_random_pairs,2,3,bio_worst_top1_retrieval,-0.09957777777777754
SCORPION_ResNet50,shuffled_sample_pairs,scanner_balanced_random_pairs,2,3,bio_effective_rank,-9.600260519032233
SCORPION_ResNet50,shuffled_sample_pairs,scanner_balanced_random_pairs,2,3,acq_scanner_probe_accuracy,-0.019973333333333287
