strategy,n_seeds,global_accuracy_mean,global_accuracy_std,global_loss_mean,global_loss_std,worst_site_accuracy_mean,worst_site_accuracy_std,global_qwk_mean,global_qwk_std,macro_f1_mean,macro_f1_std,worst_site_qwk_mean,worst_site_qwk_std,mean_site_qwk_mean,mean_site_qwk_std,weight_entropy_mean,weight_entropy_std,n_eff_mean,n_eff_std,n_comparable_seeds,delta_vs_fedavg_global_qwk_mean,delta_vs_fedavg_global_qwk_std,wins_vs_fedavg_global_qwk,delta_vs_fedavg_worst_site_qwk_mean,delta_vs_fedavg_worst_site_qwk_std,wins_vs_fedavg_worst_site_qwk,delta_vs_fedavg_mean_site_qwk_mean,delta_vs_fedavg_mean_site_qwk_std,wins_vs_fedavg_mean_site_qwk,delta_vs_fedavg_global_accuracy_mean,delta_vs_fedavg_global_accuracy_std,wins_vs_fedavg_global_accuracy,delta_vs_fedavg_macro_f1_mean,delta_vs_fedavg_macro_f1_std,wins_vs_fedavg_macro_f1
adaptive_ordinal_harm,5,0.5436235294117647,0.007827906780709258,1.1881800413131713,0.009749412094819073,0.5164187899215122,0.010835112453716234,0.6918749193965483,0.013703065482810646,0.47405074377657985,0.009094974615480792,0.6536481185653961,0.012858985886243684,0.6948594097287955,0.008103331507319726,1.492123111576212,0.01643050165336123,3.9068515687316587,0.13073678117135853,5,-0.0005980966058070969,0.0065679910460185766,2,-0.004945254674022848,0.010261050438695834,3,-0.0021613084296588482,0.00891984124445166,2,-0.0033882352941176476,0.012118903418593794,2,-0.006166707904736568,0.016861723904300435,2
cross_site_blend_50,5,0.5472,0.00412134287921153,1.170731210708618,0.013297367501913142,0.5279113850868205,0.010908719664917453,0.7013849689589459,0.010310530433896587,0.4823492750884188,0.004910917177579299,0.662606974136169,0.012684816714390246,0.7040169370765307,0.006856753961991899,1.56823639922964,0.00031511846124571033,4.575405017200117,0.0030127108480933083,5,0.008911952956590419,0.009061727017931835,4,0.004013600896750113,0.019028569210598898,2,0.0069962189180764025,0.008089375015997142,4,0.00018823529411766683,0.007878664633133222,3,0.0021318234071023624,0.012216192101298956,2
fedavg,5,0.5470117647058823,0.008235966359117343,1.1875622272491455,0.01835879038504524,0.5183020246541118,0.012727165776639142,0.6924730160023554,0.016811718137472693,0.4802174516813164,0.009402950552526115,0.6585933732394189,0.016728327137918348,0.6970207181584543,0.013412466808779246,1.4482536578365668,0.0,3.5870568232048843,0.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
ordinal_harm_blend_50,5,0.5444705882352942,0.005849319009249923,1.1753870725631714,0.015240225595220775,0.5216819478162491,0.014694326338948547,0.6964926482456624,0.0154292247022886,0.4778516937942713,0.006835366963755358,0.6527083987745366,0.010855426477083938,0.6993689834771396,0.009891455711325015,1.56780827320923,0.0020173705853977807,4.571324646211808,0.02030844280813109,5,0.004019632243306948,0.007629704623773696,3,-0.005884974464882365,0.020415409532021988,2,0.0023482653186853277,0.006134105489776188,4,-0.0025411764705882247,0.01071867367718247,2,-0.00236575788704515,0.012754681581888,2
