noise,metric,n_seeds,clean_strategy,corrupted_strategy,clean_mean,corrupted_mean,switch_mean,mean_delta_switch_vs_clean,sd_delta,se_delta,ci95_low,ci95_high,positive_seed_count,negative_seed_count,tie_seed_count,chosen_strategy
0,global_accuracy,15,fedavg,cross_site_blend_50,0.5660235294117647,0.5640156862745098,0.5660235294117647,0.0,0.0,0.0,0.0,0.0,0,0,15,fedavg
0,global_qwk,15,fedavg,cross_site_blend_50,0.7201368692066603,0.7197766067754112,0.7201368692066603,0.0,0.0,0.0,0.0,0.0,0,0,15,fedavg
0,macro_f1,15,fedavg,cross_site_blend_50,0.5049620454963686,0.49922394390119484,0.5049620454963686,0.0,0.0,0.0,0.0,0.0,0,0,15,fedavg
0,mean_site_qwk,15,fedavg,cross_site_blend_50,0.7206507923372883,0.7211031315288667,0.7206507923372883,0.0,0.0,0.0,0.0,0.0,0,0,15,fedavg
0,worst_site_qwk,15,fedavg,cross_site_blend_50,0.6849409424222447,0.6782068121705876,0.6849409424222447,0.0,0.0,0.0,0.0,0.0,0,0,15,fedavg
25,global_accuracy,15,fedavg,cross_site_blend_50,0.5463843137254901,0.5494588235294118,0.5494588235294118,0.003074509803921573,0.0075814726776380955,0.001957527828014593,-0.0011243873871697287,0.007273406995012875,10,5,0,cross_site_blend_50
25,global_qwk,15,fedavg,cross_site_blend_50,0.6948332092536575,0.7031095879102283,0.7031095879102283,0.008276378656570634,0.012047312597767165,0.0031106027371804695,0.0016041357853185268,0.01494862152782274,12,3,0,cross_site_blend_50
25,macro_f1,15,fedavg,cross_site_blend_50,0.47916520323897976,0.4820137223178952,0.4820137223178952,0.0028485190789153125,0.012602297849108617,0.0032538993129028813,-0.004131094947261368,0.009828133105091993,8,7,0,cross_site_blend_50
25,mean_site_qwk,15,fedavg,cross_site_blend_50,0.6968602607719958,0.7049424536184332,0.7049424536184332,0.008082192846437313,0.012801367138599124,0.003305298782432087,0.0009923269581204866,0.015172058734754138,11,4,0,cross_site_blend_50
25,worst_site_qwk,15,fedavg,cross_site_blend_50,0.6526586250177875,0.6544996886880615,0.6544996886880615,0.0018410636702741827,0.024477587722447753,0.006320085973624752,-0.01171552074315091,0.015397648083699275,6,9,0,cross_site_blend_50
35,global_accuracy,15,fedavg,cross_site_blend_50,0.5378823529411765,0.5439372549019608,0.5439372549019608,0.0060549019607843094,0.004275686626480373,0.001103977539864017,0.0036868701377759934,0.008422933783792625,13,2,0,cross_site_blend_50
35,global_qwk,15,fedavg,cross_site_blend_50,0.6892649222975975,0.6975721915959952,0.6975721915959952,0.008307269298397691,0.005761909977657386,0.001487718759054227,0.005116112560226374,0.011498426036569007,14,1,0,cross_site_blend_50
35,macro_f1,15,fedavg,cross_site_blend_50,0.46827481906543966,0.4748112834176111,0.4748112834176111,0.006536464352171445,0.010533118013764223,0.0027196393767297453,0.0007028378890861419,0.012370090815256748,11,4,0,cross_site_blend_50
35,mean_site_qwk,15,fedavg,cross_site_blend_50,0.6905638765303357,0.6994311805206819,0.6994311805206819,0.008867303990346158,0.005806121994361435,0.0014991342526806954,0.005651661018346066,0.012082946962346248,15,0,0,cross_site_blend_50
35,worst_site_qwk,15,fedavg,cross_site_blend_50,0.6428177456464775,0.6489658663493203,0.6489658663493203,0.006148120702842874,0.015582160864728946,0.0040232966351346775,-0.0024818505795210083,0.014778091985206757,10,5,0,cross_site_blend_50
45,global_accuracy,15,fedavg,cross_site_blend_50,0.5318274509803921,0.537035294117647,0.537035294117647,0.005207843137254893,0.007184245226148324,0.0018549641410628395,0.0012289450546751025,0.009186741219834683,11,4,0,cross_site_blend_50
45,global_qwk,15,fedavg,cross_site_blend_50,0.6842733268811034,0.6907858127831991,0.6907858127831991,0.006512485902095692,0.012511720978272472,0.003230512465416217,-0.0004169633362220938,0.013441935140413478,11,4,0,cross_site_blend_50
45,macro_f1,15,fedavg,cross_site_blend_50,0.4609563484672291,0.4664963721927103,0.4664963721927103,0.0055400237254811914,0.013419561759637585,0.0034649159472318843,-0.0018922209813312003,0.012972268432293583,9,6,0,cross_site_blend_50
45,mean_site_qwk,15,fedavg,cross_site_blend_50,0.6855132058153116,0.6929401916776722,0.6929401916776722,0.00742698586236051,0.014582786624608095,0.0037652593158935613,-0.000649495370231179,0.015503467094952199,11,4,0,cross_site_blend_50
45,worst_site_qwk,15,fedavg,cross_site_blend_50,0.6336657953236815,0.6447536342491726,0.6447536342491726,0.011087838925491034,0.01799428257901076,0.004646103783697261,0.001121946309460409,0.02105373154152166,11,4,0,cross_site_blend_50
