label,dataset,backbone,condition,scanner_probe_accuracy,mean_paired_cosine,mean_top1_retrieval,effective_rank,biological_acquisition_cross_covariance,rank_collapse_vs_true,tissue_preservation_collapse_vs_true,retrieval_collapse_vs_true,scanner_only_suppression_flag
scorpion_dinov2,SCORPION,DINOv2-Base,true_pairs,0.39977777777777773,0.8795768911838532,0.9999133333333333,54.451411859351104,0.09170916527509684,False,False,False,False
scorpion_dinov2,SCORPION,DINOv2-Base,shuffled_region_pairs,0.3735733333333333,0.808928783416748,0.9953577777777778,39.07685841307836,0.1054430359601974,True,True,False,True
scorpion_dinov2,SCORPION,DINOv2-Base,shuffled_sample_pairs,0.3588355555555555,0.7668202252388001,0.9792422222222222,35.22585177852264,0.10289278984069819,True,True,True,True
caninescc_dinov2,Canine SCC,DINOv2-Base,true_pairs,0.36140764156190647,0.7299609289169311,0.9333924017603691,74.04438520354552,0.08983064264059064,False,False,False,False
caninescc_dinov2,Canine SCC,DINOv2-Base,shuffled_region_pairs,0.3056734275269665,0.5421641668081283,0.7292739927663249,54.513186314989355,0.08710586667060846,True,True,True,True
caninescc_dinov2,Canine SCC,DINOv2-Base,shuffled_sample_pairs,0.40930224647974195,0.5848554930686951,0.718254163684336,45.327860174279955,0.09609713435173031,True,True,True,False
scorpion_phikon,SCORPION,Phikon,true_pairs,0.5200444444444444,0.8644930937290192,0.99968,46.75071637524961,0.08886689931154246,False,False,False,False
scorpion_phikon,SCORPION,Phikon,shuffled_region_pairs,0.4340711111111111,0.6913147773742676,0.9603155555555556,44.39034498132673,0.11144584327936169,False,True,True,True
scorpion_phikon,SCORPION,Phikon,shuffled_sample_pairs,0.4085333333333333,0.6158467254638672,0.8762866666666667,42.545296058155046,0.11263976156711575,False,True,True,True
scorpion_resnet50,SCORPION,ResNet50 ImageNet,true_pairs,0.3144622222222222,0.6544406855106354,0.97262,85.08746652068234,0.08956727325916285,False,False,False,False
scorpion_resnet50,SCORPION,ResNet50 ImageNet,shuffled_region_pairs,0.30450666666666665,0.5188143639564514,0.8839444444444444,81.66953550818884,0.0850616323947906,False,True,True,True
scorpion_resnet50,SCORPION,ResNet50 ImageNet,shuffled_sample_pairs,0.30665777777777775,0.5083236070871353,0.8774822222222223,81.43773514241849,0.0846524631977081,False,True,True,True
