strategy,global_qwk,global_accuracy,macro_f1,global_loss,worst_site_qwk,worst_site_accuracy,mean_site_qwk,weight_entropy,n_eff
fedavg,0.6484728965396551,0.4425956738768719,0.42683908727914427,1.426837682723999,0.6235246235246235,0.41333333333333333,0.6552426942189997,1.447865223410363,3.584382912358957
cross_site_full,0.6312776465609042,0.43760399334442596,0.4225791789177407,1.3756752014160156,0.6086468276249299,0.4222222222222222,0.6401755689135349,1.6088010427334982,4.993732511369317
cross_site_blend_25,0.6209017421235494,0.4459234608985025,0.43251347514699345,1.4194252490997314,0.5809743252139565,0.42105263157894735,0.6230200026157894,1.5182540920702141,4.115879015515101
cross_site_blend_50,0.6241502520088026,0.4492512479201331,0.433494654740823,1.4038994312286377,0.607983852881812,0.4444444444444444,0.6276684567009061,1.5699470438955663,4.592132599182516
cross_site_blend_75,0.6375575672842851,0.4492512479201331,0.433099267940499,1.3891154527664185,0.6135726303982052,0.43333333333333335,0.6472332532838225,1.6011529724970361,4.913638523853628
