fold,seed,condition,mean_paired_cosine,worst_paired_cosine,mean_top1_retrieval,worst_top1_retrieval,scanner_probe_accuracy,effective_rank,biological_acquisition_cross_covariance,feature_variance_nonzero_fraction,n_test_slides
0,701,shuffled_region_pairs,0.6787999987602233,0.6011636853218079,0.9480000000000001,0.905,0.43,44.42966619857977,0.11117450892925262,1.0,10
0,702,shuffled_region_pairs,0.6873351693153381,0.5911258459091187,0.9404999999999999,0.84,0.454,43.726907212452176,0.11510860919952393,1.0,10
0,703,shuffled_region_pairs,0.6850038468837738,0.6073492169380188,0.967,0.925,0.422,45.500422212110855,0.11334998160600662,1.0,10
0,704,shuffled_region_pairs,0.6844046533107757,0.5949585437774658,0.9545,0.885,0.454,46.92508835827542,0.11423298716545105,1.0,10
0,705,shuffled_region_pairs,0.6814611434936524,0.5820298194885254,0.9540000000000001,0.9,0.4,46.518438309792515,0.11386862397193909,1.0,10
1,701,shuffled_region_pairs,0.6959078013896942,0.6067537665367126,0.968,0.9,0.4,45.34143898121325,0.10377279669046402,1.0,10
1,702,shuffled_region_pairs,0.6849715173244476,0.5937971472740173,0.9595,0.9,0.382,46.30709552118177,0.10501603037118912,1.0,10
1,703,shuffled_region_pairs,0.7010094940662384,0.6070004105567932,0.9684999999999999,0.91,0.392,45.065271023674605,0.1043182983994484,1.0,10
1,704,shuffled_region_pairs,0.6957477688789367,0.5963989496231079,0.9705,0.9,0.374,46.00003373682528,0.1044827401638031,1.0,10
1,705,shuffled_region_pairs,0.6844094514846801,0.5932931303977966,0.9570000000000001,0.9,0.42400000000000004,46.094932509837015,0.10716677457094193,1.0,10
2,701,shuffled_region_pairs,0.6940216004848481,0.6302366256713867,0.9594999999999999,0.9,0.39399999999999996,44.61997076539118,0.1091710552573204,1.0,10
2,702,shuffled_region_pairs,0.691855388879776,0.6133579015731812,0.9715,0.925,0.44800000000000006,45.31860269371386,0.10941477119922638,1.0,10
2,703,shuffled_region_pairs,0.6835464537143707,0.5994216799736023,0.9635,0.9299999999999999,0.42000000000000004,46.64037548832634,0.11235371232032776,1.0,10
2,704,shuffled_region_pairs,0.6858565390110016,0.6121843457221985,0.959,0.905,0.398,44.32157067917975,0.10991398990154266,1.0,10
2,705,shuffled_region_pairs,0.6871982395648957,0.6084913015365601,0.953,0.91,0.42200000000000004,45.34259569180331,0.10717518627643585,1.0,10
3,701,shuffled_region_pairs,0.6977903246879578,0.6050531268119812,0.95,0.8722222222222222,0.4644444444444445,43.08060808887863,0.11101637780666351,1.0,9
3,702,shuffled_region_pairs,0.7113017499446869,0.6326729655265808,0.9677777777777777,0.9166666666666667,0.4644444444444445,40.705644869760086,0.11178895086050034,1.0,9
3,703,shuffled_region_pairs,0.6988928914070129,0.5883371829986572,0.9605555555555556,0.8722222222222222,0.49333333333333335,42.35467182397333,0.11388672888278961,1.0,9
3,704,shuffled_region_pairs,0.6867442548274993,0.5870774388313293,0.9572222222222223,0.8888888888888888,0.42000000000000004,42.23415064548539,0.11075218766927719,1.0,9
3,705,shuffled_region_pairs,0.691290408372879,0.6050050854682922,0.9644444444444444,0.9055555555555556,0.4955555555555556,45.2891583868621,0.11055874079465866,1.0,9
4,701,shuffled_region_pairs,0.6919339776039124,0.587652325630188,0.9544444444444444,0.8666666666666667,0.5111111111111111,42.88918881966733,0.1162080317735672,1.0,9
4,702,shuffled_region_pairs,0.698091721534729,0.6019952297210693,0.9633333333333333,0.9055555555555556,0.42666666666666664,40.89871608370082,0.12105394899845123,1.0,9
4,703,shuffled_region_pairs,0.7028294920921325,0.6019608974456787,0.9744444444444446,0.9055555555555556,0.45999999999999996,42.73181006326413,0.11844360828399658,1.0,9
4,704,shuffled_region_pairs,0.6948335111141205,0.6057684421539307,0.9594444444444445,0.8999999999999999,0.4666666666666667,43.188632164626966,0.11564086377620697,1.0,9
4,705,shuffled_region_pairs,0.6876320362091064,0.6025134325027466,0.9622222222222223,0.9111111111111111,0.43555555555555553,44.233634204592136,0.1162765771150589,1.0,9
0,701,shuffled_sample_pairs,0.6143296152353287,0.46080702543258667,0.8685,0.6499999999999999,0.348,43.39382186519839,0.10984541475772858,1.0,10
0,702,shuffled_sample_pairs,0.629778915643692,0.5036422610282898,0.8785000000000001,0.665,0.39,42.724913304994494,0.11586665362119675,1.0,10
0,703,shuffled_sample_pairs,0.6218523114919663,0.48030468821525574,0.8699999999999999,0.62,0.32999999999999996,41.19138182232323,0.11416105180978775,1.0,10
0,704,shuffled_sample_pairs,0.5997508138418197,0.44608864188194275,0.875,0.66,0.414,44.973124703635165,0.11052162200212479,1.0,10
0,705,shuffled_sample_pairs,0.6300805628299713,0.500414252281189,0.8855000000000001,0.74,0.40599999999999997,42.01191153435879,0.1181861087679863,1.0,10
1,701,shuffled_sample_pairs,0.6334117382764817,0.498678058385849,0.8949999999999999,0.76,0.34400000000000003,42.902934200587815,0.10806424915790558,1.0,10
1,702,shuffled_sample_pairs,0.6420099437236786,0.49464648962020874,0.9044999999999999,0.74,0.366,40.75949458266494,0.11188032478094101,1.0,10
1,703,shuffled_sample_pairs,0.6411784529685974,0.5199552178382874,0.9025000000000001,0.79,0.39599999999999996,42.53710276660022,0.10905724763870239,1.0,10
1,704,shuffled_sample_pairs,0.6200331538915634,0.4756779968738556,0.8935000000000001,0.725,0.376,45.44555285548206,0.1051025465130806,1.0,10
1,705,shuffled_sample_pairs,0.6342884063720703,0.4857231378555298,0.9035,0.72,0.4080000000000001,42.474129303129715,0.1088990792632103,1.0,10
2,701,shuffled_sample_pairs,0.5940767824649811,0.44431403279304504,0.868,0.665,0.404,45.390154460300046,0.10930392891168594,1.0,10
2,702,shuffled_sample_pairs,0.6109881192445755,0.46024906635284424,0.8789999999999999,0.64,0.35,43.240982783447976,0.11511224508285522,1.0,10
2,703,shuffled_sample_pairs,0.6085863530635833,0.4438524544239044,0.8604999999999998,0.59,0.366,43.435711901768514,0.11367421597242355,1.0,10
2,704,shuffled_sample_pairs,0.5878710597753525,0.42683979868888855,0.843,0.58,0.312,45.070267445648945,0.11738038808107376,1.0,10
2,705,shuffled_sample_pairs,0.6048584401607513,0.4632206857204437,0.8885,0.6799999999999999,0.43000000000000005,45.89041515816514,0.11068560928106308,1.0,10
3,701,shuffled_sample_pairs,0.6138059377670289,0.4737013578414917,0.8533333333333333,0.6222222222222222,0.44000000000000006,41.155227725782005,0.1097266748547554,1.0,9
3,702,shuffled_sample_pairs,0.6230507105588913,0.4803759753704071,0.8755555555555556,0.6666666666666666,0.4488888888888889,40.453324211306246,0.11305976659059525,1.0,9
3,703,shuffled_sample_pairs,0.6235944628715515,0.4816318154335022,0.8677777777777778,0.6444444444444445,0.4666666666666667,38.95101683878293,0.1107332780957222,1.0,9
3,704,shuffled_sample_pairs,0.5880808889865875,0.4453449249267578,0.8400000000000001,0.6111111111111112,0.44000000000000006,43.0273539554003,0.10543423891067505,1.0,9
3,705,shuffled_sample_pairs,0.5819341510534286,0.4238838255405426,0.8516666666666666,0.6111111111111112,0.48,44.50979919532428,0.1072760745882988,1.0,9
4,701,shuffled_sample_pairs,0.6134511828422546,0.475671648979187,0.885,0.6777777777777778,0.4533333333333333,41.924059347770175,0.1133841946721077,1.0,9
4,702,shuffled_sample_pairs,0.6378727614879608,0.5128535032272339,0.8727777777777778,0.6666666666666667,0.47777777777777775,38.81999880178717,0.12328701466321945,1.0,9
4,703,shuffled_sample_pairs,0.6082689464092255,0.45415735244750977,0.8772222222222222,0.6833333333333333,0.4955555555555556,42.3699631686143,0.1179475411772728,1.0,9
4,704,shuffled_sample_pairs,0.619848707318306,0.49986937642097473,0.8872222222222224,0.7722222222222221,0.4288888888888889,40.5455275543913,0.11854413896799088,1.0,9
4,705,shuffled_sample_pairs,0.6131657183170318,0.5010945200920105,0.881111111111111,0.711111111111111,0.4422222222222222,40.43423196641202,0.11886043101549149,1.0,9
0,701,true_pairs,0.8601280152797699,0.8224288821220398,1.0,1.0,0.44800000000000006,46.903198915490215,0.09289084374904633,1.0,10
0,702,true_pairs,0.8623629808425903,0.8231728076934814,1.0,1.0,0.47400000000000003,47.58057606265851,0.09185966104269028,1.0,10
0,703,true_pairs,0.8591820478439331,0.8211972117424011,1.0,1.0,0.526,49.038129676189854,0.09333063662052155,1.0,10
0,704,true_pairs,0.8606039524078369,0.8226587772369385,0.999,0.995,0.48599999999999993,48.563482822595354,0.09178715199232101,1.0,10
0,705,true_pairs,0.8620702385902405,0.8276647925376892,0.9995,0.995,0.508,47.78952661948061,0.09124311804771423,1.0,10
1,701,true_pairs,0.8613636493682861,0.8265601396560669,0.9994999999999999,0.995,0.40800000000000003,50.31792751322223,0.0846262276172638,1.0,10
1,702,true_pairs,0.8609752237796784,0.8264277577400208,0.9995,0.995,0.54,50.07945956055658,0.08515115082263947,1.0,10
1,703,true_pairs,0.8645052194595337,0.8287219405174255,1.0,1.0,0.48,49.37089761917137,0.08825105428695679,1.0,10
1,704,true_pairs,0.8595523059368133,0.8234825730323792,0.9994999999999999,0.995,0.492,50.960278988263724,0.08388654887676239,1.0,10
1,705,true_pairs,0.8631533324718476,0.8302769660949707,1.0,1.0,0.48600000000000004,49.41878146398752,0.08751700818538666,1.0,10
2,701,true_pairs,0.8566808760166168,0.8297626376152039,1.0,1.0,0.514,50.80805015105896,0.08790832757949829,1.0,10
2,702,true_pairs,0.8573719263076782,0.8285759091377258,1.0,1.0,0.5319999999999999,50.86964869068526,0.08856480568647385,1.0,10
2,703,true_pairs,0.8591272234916687,0.8305413722991943,1.0,1.0,0.518,50.21160502442267,0.08942849934101105,1.0,10
2,704,true_pairs,0.8547719597816468,0.8294776678085327,1.0,1.0,0.506,50.5643057208052,0.0875210165977478,1.0,10
2,705,true_pairs,0.8576626479625702,0.83330899477005,1.0,1.0,0.5519999999999999,50.63630397567299,0.08957289904356003,1.0,10
3,701,true_pairs,0.8712251901626586,0.8371989130973816,1.0,1.0,0.5733333333333334,42.171173233247096,0.08725522458553314,1.0,9
3,702,true_pairs,0.8720134258270263,0.8414462804794312,1.0,1.0,0.5266666666666667,41.237781710014815,0.08512326329946518,1.0,9
3,703,true_pairs,0.8740722954273223,0.8443107604980469,1.0,1.0,0.5688888888888888,41.35850643189231,0.08187364041805267,1.0,9
3,704,true_pairs,0.8689919769763946,0.8329744935035706,0.9988888888888889,0.9888888888888889,0.6022222222222222,43.05394199369121,0.08201117068529129,1.0,9
3,705,true_pairs,0.8720348596572876,0.8397815227508545,1.0,1.0,0.5977777777777777,42.0458608758277,0.08228881657123566,1.0,9
4,701,true_pairs,0.8704445779323577,0.8300708532333374,0.9994444444444444,0.9944444444444445,0.5688888888888888,43.25654254787099,0.09568141400814056,1.0,9
4,702,true_pairs,0.8713107407093048,0.832689642906189,0.9988888888888887,0.9944444444444445,0.5066666666666666,42.77227579912051,0.09384182840585709,1.0,9
4,703,true_pairs,0.8717845559120179,0.8302186131477356,0.9994444444444444,0.9944444444444445,0.47555555555555556,43.27338722264067,0.09547543525695801,1.0,9
4,704,true_pairs,0.8683097720146179,0.8249658942222595,0.9988888888888889,0.9944444444444445,0.5511111111111111,43.97640584401877,0.09107811748981476,1.0,9
4,705,true_pairs,0.8726283490657807,0.8326206803321838,0.9994444444444444,0.9944444444444445,0.5599999999999999,42.509860918655164,0.09350462257862091,1.0,9
