condition,n_runs,scanner_probe_accuracy_mean,scanner_probe_accuracy_std,scanner_probe_accuracy_min,scanner_probe_accuracy_max,mean_paired_cosine_mean,mean_paired_cosine_std,mean_paired_cosine_min,mean_paired_cosine_max,worst_paired_cosine_mean,worst_paired_cosine_std,worst_paired_cosine_min,worst_paired_cosine_max,mean_top1_retrieval_mean,mean_top1_retrieval_std,mean_top1_retrieval_min,mean_top1_retrieval_max,worst_top1_retrieval_mean,worst_top1_retrieval_std,worst_top1_retrieval_min,worst_top1_retrieval_max,effective_rank_mean,effective_rank_std,effective_rank_min,effective_rank_max,biological_acquisition_cross_covariance_mean,biological_acquisition_cross_covariance_std,biological_acquisition_cross_covariance_min,biological_acquisition_cross_covariance_max
shuffled_region_pairs,25,0.43407111111111113,0.03650146397650348,0.374,0.5111111111111111,0.6913147773742676,0.007689444170527557,0.6787999987602233,0.7113017499446869,0.6022239398956298,0.012049278679113982,0.5820298194885254,0.6326729655265808,0.9603155555555556,0.007988654506426308,0.9404999999999999,0.9744444444444446,0.8991777777777777,0.019874296322662296,0.84,0.9299999999999999,44.39034498132671,1.7512465585232466,40.705644869760086,46.92508835827542,0.11144584327936173,0.004526325690736659,0.10377279669046402,0.12105394899845123
shuffled_sample_pairs,25,0.4085333333333333,0.0501896813620722,0.312,0.4955555555555556,0.6158467254638672,0.016768959472145094,0.5819341510534286,0.6420099437236786,0.4741199243068695,0.026549454075043104,0.4238838255405426,0.5199552178382874,0.8762866666666667,0.017558029010001374,0.8400000000000001,0.9044999999999999,0.6756666666666666,0.05695167072486908,0.58,0.79,42.545296058155046,1.9738125344428281,38.81999880178717,45.89041515816514,0.11263976156711579,0.004628584420633354,0.1051025465130806,0.12328701466321945
true_pairs,25,0.5200444444444444,0.04642375048456874,0.40800000000000003,0.6022222222222222,0.8644930937290192,0.0060876594838056705,0.8547719597816468,0.8740722954273223,0.8300214433670043,0.005967968429317074,0.8211972117424011,0.8443107604980469,0.99968,0.00041178623244906936,0.9988888888888887,1.0,0.9974444444444444,0.003159022612820756,0.9888888888888889,1.0,46.75071637524961,3.6680999142225605,41.237781710014815,50.960278988263724,0.08886689931154251,0.0041769565927703995,0.08187364041805267,0.09568141400814056
