seed,strategy,global_accuracy,global_loss,worst_site_accuracy,global_qwk,macro_f1,worst_site_qwk,mean_site_qwk,weight_entropy,n_eff,source_path
123,fedavg,0.4475873544093178,1.3636858463287354,0.4222222222222222,0.6391945477233533,0.43110830127975164,0.6083286437816544,0.6513664308572995,1.447865223410363,3.584382912358957,results\ordinal_harm_fair_weights_h_3000_noise_25_seed_123\summary.csv
123,cross_site_blend_50,0.47420965058236275,1.3436309099197388,0.44,0.6623322360203722,0.46256639836072605,0.629219229457893,0.6662535103668716,1.5677261496135184,4.56993536458854,results\ordinal_harm_fair_weights_h_3000_noise_25_seed_123\summary.csv
123,ordinal_harm_blend_50,0.45923460898502494,1.3440223932266235,0.4444444444444444,0.6655060105617625,0.44774507161653787,0.6185554763601806,0.6766269611591648,1.5735120482984557,4.627867993622225,results\ordinal_harm_fair_weights_h_3000_noise_25_seed_123\summary.csv
123,adaptive_ordinal_harm,0.454242928452579,1.343567132949829,0.4222222222222222,0.6554582113815357,0.4432100726212374,0.6049674748669427,0.6770878255314143,1.5787536886044098,4.680762022640199,results\ordinal_harm_fair_weights_h_3000_noise_25_seed_123\summary.csv
2025,fedavg,0.43760399334442596,1.3668962717056274,0.4,0.5994025063762911,0.42427535857941007,0.4220907297830375,0.6134302456031201,1.447865223410363,3.584382912358957,results\ordinal_harm_fair_weights_h_3000_noise_25_seed_2025\summary.csv
2025,cross_site_blend_50,0.4475873544093178,1.363447904586792,0.4,0.6195704720213883,0.43633860925168694,0.4123314065510597,0.6237463484317556,1.5664704535569953,4.557890305687356,results\ordinal_harm_fair_weights_h_3000_noise_25_seed_2025\summary.csv
2025,ordinal_harm_blend_50,0.44093178036605657,1.3618513345718384,0.3962962962962963,0.6059516944032515,0.426841118225213,0.4114285714285715,0.6151861961828059,1.5652282244257412,4.545268335524767,results\ordinal_harm_fair_weights_h_3000_noise_25_seed_2025\summary.csv
2025,adaptive_ordinal_harm,0.43594009983361065,1.3609169721603394,0.3962962962962963,0.603401499861108,0.42045126816079703,0.39924670433145004,0.6133842447710521,1.596062298982593,4.860282425350978,results\ordinal_harm_fair_weights_h_3000_noise_25_seed_2025\summary.csv
42,fedavg,0.4858569051580699,1.3220568895339966,0.46296296296296297,0.6620869615362436,0.4703249824363744,0.5636672325976232,0.661137663963755,1.447865223410363,3.584382912358957,results\ordinal_harm_fair_weights_h_3000_noise_25_seed_42\summary.csv
42,cross_site_blend_50,0.4925124792013311,1.3139057159423828,0.44,0.6808446074092805,0.47289812706792994,0.545144804088586,0.672903553609102,1.5662570352649348,4.5564632844782675,results\ordinal_harm_fair_weights_h_3000_noise_25_seed_42\summary.csv
42,ordinal_harm_blend_50,0.47920133111480867,1.3216298818588257,0.4111111111111111,0.67089297546714,0.4586304536588377,0.5906735751295337,0.6697014642694642,1.566200107371194,4.554291085451564,results\ordinal_harm_fair_weights_h_3000_noise_25_seed_42\summary.csv
42,adaptive_ordinal_harm,0.46755407653910147,1.3291904926300049,0.4222222222222222,0.6722303510427269,0.44548171237489803,0.5900514579759863,0.6753492889664329,1.5008748060292931,3.972038409612543,results\ordinal_harm_fair_weights_h_3000_noise_25_seed_42\summary.csv
7,fedavg,0.47753743760399336,1.3141545057296753,0.4222222222222222,0.6899987235910106,0.4604955312421502,0.6181330951317552,0.6995142329026687,1.447865223410363,3.584382912358957,results\ordinal_harm_fair_weights_h_3000_noise_25_seed_7\summary.csv
7,cross_site_blend_50,0.5174708818635607,1.310593843460083,0.4666666666666667,0.7063985901426257,0.5041108917976754,0.6113264427217915,0.7128390378454882,1.5672218456134535,4.565259324956066,results\ordinal_harm_fair_weights_h_3000_noise_25_seed_7\summary.csv
7,ordinal_harm_blend_50,0.5158069883527454,1.3057607412338257,0.4473684210526316,0.7092568553621389,0.5073093304931097,0.5878995433789954,0.7116463675425153,1.5667418954054946,4.561760705593438,results\ordinal_harm_fair_weights_h_3000_noise_25_seed_7\summary.csv
7,adaptive_ordinal_harm,0.49916805324459235,1.3152217864990234,0.4342105263157895,0.7055158707880937,0.4928600051140941,0.5966674275279616,0.710710829763492,1.4844265064267859,3.8455410497990163,results\ordinal_harm_fair_weights_h_3000_noise_25_seed_7\summary.csv
99,fedavg,0.4193011647254576,1.399810552597046,0.3592592592592593,0.5571357078964272,0.4070905364153676,0.40542603793528686,0.5644483251665028,1.447865223410363,3.584382912358957,results\ordinal_harm_fair_weights_h_3000_noise_25_seed_99\summary.csv
99,cross_site_blend_50,0.40266222961730447,1.4102404117584229,0.3466666666666667,0.571894142557829,0.39292538264081184,0.4380784486557955,0.5720763284811027,1.5662019095628148,4.555523156431152,results\ordinal_harm_fair_weights_h_3000_noise_25_seed_99\summary.csv
99,ordinal_harm_blend_50,0.415973377703827,1.4098314046859741,0.35555555555555557,0.5962177730780691,0.4092103927577339,0.5129295076160113,0.5912714458799962,1.5708831195896247,4.601994698861064,results\ordinal_harm_fair_weights_h_3000_noise_25_seed_99\summary.csv
99,adaptive_ordinal_harm,0.41264559068219636,1.408817172050476,0.35185185185185186,0.5889278654826733,0.40774177667266764,0.5063291139240507,0.5848370201966937,1.597051773337024,4.870874681553884,results\ordinal_harm_fair_weights_h_3000_noise_25_seed_99\summary.csv
