regime,n_seeds,global_qwk_mean,global_qwk_std,global_accuracy_mean,global_accuracy_std,macro_f1_mean,macro_f1_std,global_loss_mean,global_loss_std,worst_site_qwk_mean,worst_site_qwk_std,worst_site_accuracy_mean,worst_site_accuracy_std,mean_site_qwk_mean,mean_site_qwk_std,delta_vs_centralized_all_global_qwk_mean,delta_vs_centralized_all_global_qwk_std,wins_vs_centralized_all_global_qwk,delta_vs_centralized_all_global_accuracy_mean,delta_vs_centralized_all_global_accuracy_std,wins_vs_centralized_all_global_accuracy,delta_vs_centralized_all_macro_f1_mean,delta_vs_centralized_all_macro_f1_std,wins_vs_centralized_all_macro_f1,delta_vs_centralized_all_worst_site_qwk_mean,delta_vs_centralized_all_worst_site_qwk_std,wins_vs_centralized_all_worst_site_qwk,delta_vs_centralized_all_mean_site_qwk_mean,delta_vs_centralized_all_mean_site_qwk_std,wins_vs_centralized_all_mean_site_qwk,n_comparable_seeds
centralized_all,5,0.6425393513915476,0.03931834249926692,0.4945812807881773,0.04260443016835399,0.48936134613377125,0.04231159745163533,1.3997535705566406,0.07535629805206925,0.4275493143616586,0.15568198921352167,0.40673992673992676,0.09743334982485631,0.6450065287908515,0.0305204642322922,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,5
fedavg,5,0.5549472796223804,0.03953482863149136,0.4374384236453202,0.033301367056464165,0.4231508110479838,0.03251218329316834,1.4225455284118653,0.03134223811969638,0.3690551415951509,0.14479263960679656,0.35384615384615387,0.036667563195064354,0.5553262492577474,0.02932459672435255,-0.08759207176916717,0.06391919440736145,0,-0.05714285714285714,0.02755980439546673,0,-0.06621053508578742,0.02967650397972584,0,-0.05849417276650772,0.084648358418797,1,-0.08968027953310409,0.050110819120243746,0,5
local_site_0,5,0.609619312806307,0.017018364495370905,0.45024630541871924,0.03888194534122389,0.44421772279516364,0.04040069778321432,1.5202064275741578,0.07659561152683711,0.360990567989421,0.16783648212646984,0.35384615384615387,0.036667563195064354,0.6045751312322082,0.02020975404951859,-0.03292003858524069,0.043584608923752405,1,-0.044334975369458116,0.0505976319807245,1,-0.04514362333860759,0.053719873937755756,1,-0.06655874637223762,0.052542648390930834,0,-0.0404313975586434,0.038375874907717364,1,5
local_site_1,5,0.4843463864759534,0.03238911785316621,0.35763546798029555,0.024283266096288145,0.3503901822158979,0.02393191988225192,1.8081063985824586,0.06825541475925961,0.32578527734707186,0.11054261378343896,0.2786080586080586,0.04185981477387869,0.4877923789013868,0.04443484650880359,-0.15819296491559423,0.05388704031324418,0,-0.13694581280788176,0.05610143242367659,0,-0.13897116391787334,0.05021918768037651,0,-0.10176403701458676,0.10174364853394288,1,-0.15721414988946472,0.04701594178042247,0,5
local_site_2,5,0.5038949186358741,0.0427281921190369,0.3536945812807882,0.031038392122213536,0.3473375959733273,0.03808224877033845,1.7063129663467407,0.11156295762738029,0.31872393014312617,0.14023591302143976,0.25435897435897437,0.02038421221984798,0.5160208199359977,0.03196648712863522,-0.13864443275567356,0.060572238451847185,0,-0.14088669950738916,0.03241514064307802,0,-0.1420237501604439,0.035776703493923444,0,-0.10882538421853245,0.0870919069895616,0,-0.12898570885485386,0.06202783951052328,0,5
local_site_3,5,0.45623682169539254,0.06797541184437945,0.3458128078817734,0.031810609440321054,0.33339953911012943,0.03663378011131264,1.7004989624023437,0.11059289287326296,0.3285586544511927,0.06509605155206738,0.28212454212454213,0.03722718389870573,0.46062677447253303,0.07061268070353474,-0.1863025296961551,0.07152976700040624,0,-0.14876847290640394,0.02816941567585378,0,-0.1559618070236418,0.02894592086676243,0,-0.09899065991046593,0.11074574781279942,1,-0.18437975431831852,0.05759364979749336,0,5
local_site_4,5,0.4832231251161461,0.02933238223148511,0.3359605911330049,0.023210283722935456,0.33269945804707796,0.026103688719272374,1.7850955486297608,0.11479732895736124,0.2890738346995523,0.10337317826609745,0.2123076923076923,0.06162920659761421,0.47661031101111606,0.03562469931478532,-0.15931622627540154,0.04494065743402888,0,-0.15862068965517243,0.019518830301634427,0,-0.15666188808669326,0.017139189827971236,0,-0.13847547966210635,0.056743166060080966,0,-0.1683962177797355,0.05504603337280054,0,5
