seed,regime,global_qwk,global_accuracy,macro_f1,global_loss,worst_site_qwk,worst_site_accuracy,mean_site_qwk,train_description,source_path
123,centralized_all,0.6728228016399259,0.5665024630541872,0.560428178771832,1.3210608959197998,0.5556706369756603,0.5494505494505495,0.6595520266634691,single model trained on the union of all simulated-site training data,results\panda_centralized_vs_federated_1000_seed_123\summary.csv
123,local_site_0,0.5998787669555652,0.4630541871921182,0.4576206102333438,1.4556373357772827,0.4897959183673469,0.38461538461538464,0.5873188319182946,single model trained only on simulated site 0,results\panda_centralized_vs_federated_1000_seed_123\summary.csv
123,local_site_1,0.43426969173690766,0.35467980295566504,0.35900632667324334,1.8012773990631104,0.3532934131736527,0.3076923076923077,0.4283454152871011,single model trained only on simulated site 1,results\panda_centralized_vs_federated_1000_seed_123\summary.csv
123,local_site_2,0.5167293555526732,0.39408866995073893,0.3931363277433933,1.5946794748306274,0.4162162162162162,0.23076923076923078,0.5059727072781378,single model trained only on simulated site 2,results\panda_centralized_vs_federated_1000_seed_123\summary.csv
123,local_site_3,0.4966834386040039,0.3793103448275862,0.37439665013680185,1.5982320308685303,0.32167832167832167,0.3,0.4813361314239709,single model trained only on simulated site 3,results\panda_centralized_vs_federated_1000_seed_123\summary.csv
123,local_site_4,0.4615787548224025,0.37438423645320196,0.3736430277413884,1.6964366436004639,0.37575757575757573,0.3076923076923077,0.4521574034902244,single model trained only on simulated site 4,results\panda_centralized_vs_federated_1000_seed_123\summary.csv
123,fedavg,0.5920933097236122,0.4729064039408867,0.4585757959097618,1.3880521059036255,0.5350410826486225,0.38461538461538464,0.5830897328740231,standard sample-size-weighted federated averaging across simulated sites,results\panda_centralized_vs_federated_1000_seed_123\summary.csv
2025,centralized_all,0.6904695104843923,0.458128078817734,0.4547622614948524,1.498887538909912,0.5502645502645502,0.3,0.6821821659971905,single model trained on the union of all simulated-site training data,results\panda_centralized_vs_federated_1000_seed_2025\summary.csv
2025,local_site_0,0.6102438124622711,0.39901477832512317,0.3924422009787863,1.5967521667480469,0.5028248587570621,0.3,0.6105783774449021,single model trained only on simulated site 0,results\panda_centralized_vs_federated_1000_seed_2025\summary.csv
2025,local_site_1,0.517330927548207,0.3793103448275862,0.3718543182674437,1.7491939067840576,0.3715846994535519,0.3,0.5306552221516403,single model trained only on simulated site 1,results\panda_centralized_vs_federated_1000_seed_2025\summary.csv
2025,local_site_2,0.4588486374083397,0.3251231527093596,0.30283355819217744,1.8494127988815308,0.3076923076923077,0.2692307692307692,0.47812945832632925,single model trained only on simulated site 2,results\panda_centralized_vs_federated_1000_seed_2025\summary.csv
2025,local_site_3,0.4834717296658305,0.3103448275862069,0.2830991278492249,1.8264068365097046,0.39977363203496974,0.27472527472527475,0.5221891193247499,single model trained only on simulated site 3,results\panda_centralized_vs_federated_1000_seed_2025\summary.csv
2025,local_site_4,0.488163948138854,0.31527093596059114,0.30526336791373027,1.8762022256851196,0.3681592039800995,0.23333333333333334,0.4937175051750053,single model trained only on simulated site 4,results\panda_centralized_vs_federated_1000_seed_2025\summary.csv
2025,fedavg,0.49175674200240194,0.3891625615763547,0.3767678235846841,1.4587547779083252,0.37688442211055284,0.3333333333333333,0.5064730413358165,standard sample-size-weighted federated averaging across simulated sites,results\panda_centralized_vs_federated_1000_seed_2025\summary.csv
