strategy,global_qwk,global_accuracy,macro_f1,global_loss,worst_site_qwk,worst_site_accuracy,mean_site_qwk,weight_entropy,n_eff
fedavg,0.5675337843512176,0.39933444259567386,0.38839419518109725,1.416540265083313,0.44737560265623577,0.3333333333333333,0.5707957730879348,1.447865223410363,3.584382912358957
cross_site_full,0.5807000345724613,0.39933444259567386,0.38669708557890053,1.4193812608718872,0.47624205455633783,0.3333333333333333,0.5773339276131151,1.6093605610836983,4.999225380484285
cross_site_blend_25,0.5697181001820542,0.40931780366056575,0.40166869334416155,1.4212322235107422,0.4372990353697749,0.35185185185185186,0.5675293780201947,1.516108682202467,4.097893918061572
cross_site_blend_50,0.5844856194690266,0.40266222961730447,0.3900148862261254,1.4157874584197998,0.4781783681214422,0.34074074074074073,0.5807051460099428,1.566704502521177,4.560224681066726
cross_site_blend_75,0.577828891935507,0.4059900166389351,0.3940082759544477,1.4200443029403687,0.42007531116157404,0.34444444444444444,0.5704566250693625,1.5986701711350224,4.887610263395287
