target_stresses,mean_trigger_rate_target,clean_trigger_rate,clean_global_qwk_delta,mean_delta_global_qwk_target,positive_regimes_global_qwk_target,significant_regimes_global_qwk_target,mean_delta_macro_f1_target,positive_regimes_macro_f1_target,significant_regimes_macro_f1_target,mean_delta_worst_site_qwk_target,positive_regimes_worst_site_qwk_target,significant_regimes_worst_site_qwk_target,mean_delta_mean_site_qwk_target,positive_regimes_mean_site_qwk_target,significant_regimes_mean_site_qwk_target,mean_delta_global_accuracy_target,positive_regimes_global_accuracy_target,significant_regimes_global_accuracy_target,config_id,low_quantile,high_quantile,min_trigger_count,passes_clean_trigger_cutoff,positive_global_qwk_all_targets,significant_global_qwk_all_targets,positive_macro_f1_all_targets,positive_worst_site_qwk_all_targets,robust_positive_config
"35,45",0.7,0.2,-0.0011737011302600298,0.008071122839852566,2,2,0.012462217608013743,2,2,0.011290028770785075,2,2,0.008307683147060534,2,2,0.010572549019607838,2,2,low_0.15__high_0.8__min_3,0.15,0.8,3,True,True,True,True,True,True
"35,45",0.6666666666666667,0.2,-0.0011737011302600298,0.0080203244137671,2,2,0.012087075764170122,2,2,0.01148810604296465,2,2,0.008198005711832723,2,2,0.010243137254901957,2,2,low_0.15__high_0.85__min_3,0.15,0.85,3,True,True,True,True,True,True
"35,45",0.6666666666666667,0.13333333333333333,-0.0007935929977378094,0.0080203244137671,2,2,0.012087075764170122,2,2,0.01148810604296465,2,2,0.008198005711832723,2,2,0.010243137254901957,2,2,low_0.15__high_0.9__min_3,0.15,0.9,3,True,True,True,True,True,True
"35,45",0.8,0.2,-0.00022098605384774929,0.007989641214898414,2,2,0.0126333414084102,2,2,0.011034174815483763,2,2,0.008322294989927204,2,2,0.01138823529411764,2,2,low_0.05__high_0.75__min_2,0.05,0.75,2,True,True,True,True,True,True
"35,45",0.8,0.2,-0.00022098605384774929,0.007989641214898414,2,2,0.0126333414084102,2,2,0.011034174815483763,2,2,0.008322294989927204,2,2,0.01138823529411764,2,2,low_0.05__high_0.8__min_2,0.05,0.8,2,True,True,True,True,True,True
"35,45",0.6666666666666666,0.2,-0.00022098605384774929,0.007972333494825156,2,2,0.011751508673254646,2,2,0.011405654574757174,2,2,0.008269342043225842,2,2,0.010039215686274505,2,2,low_0.05__high_0.75__min_3,0.05,0.75,3,True,True,True,True,True,True
"35,45",0.6666666666666666,0.06666666666666667,-0.00038010813252222034,0.007972333494825156,2,2,0.011751508673254646,2,2,0.011405654574757174,2,2,0.008269342043225842,2,2,0.010039215686274505,2,2,low_0.05__high_0.8__min_3,0.05,0.8,3,True,True,True,True,True,True
"35,45",0.6666666666666666,0.2,-0.00022098605384774929,0.007972333494825156,2,2,0.011751508673254646,2,2,0.011405654574757174,2,2,0.008269342043225842,2,2,0.010039215686274505,2,2,low_0.1__high_0.75__min_3,0.1,0.75,3,True,True,True,True,True,True
"35,45",0.6666666666666666,0.13333333333333333,-0.00025459820129093794,0.007972333494825156,2,2,0.011751508673254646,2,2,0.011405654574757174,2,2,0.008269342043225842,2,2,0.010039215686274505,2,2,low_0.1__high_0.8__min_3,0.1,0.8,3,True,True,True,True,True,True
"35,45",0.6333333333333333,0.06666666666666667,-0.00038010813252222034,0.00792153506873969,2,2,0.011376366829411025,2,2,0.011603731846936749,2,2,0.008159664607998033,2,2,0.009709803921568623,2,2,low_0.05__high_0.85__min_3,0.05,0.85,3,True,True,True,True,True,True
"35,45",0.6333333333333333,0.13333333333333333,-0.00025459820129093794,0.00792153506873969,2,2,0.011376366829411025,2,2,0.011603731846936749,2,2,0.008159664607998033,2,2,0.009709803921568623,2,2,low_0.1__high_0.85__min_3,0.1,0.85,3,True,True,True,True,True,True
"35,45",0.6333333333333333,0.06666666666666667,0.0001255099312312824,0.00792153506873969,2,2,0.011376366829411025,2,2,0.011603731846936749,2,2,0.008159664607998033,2,2,0.009709803921568623,2,2,low_0.1__high_0.9__min_3,0.1,0.9,3,True,True,True,True,True,True
"35,45",0.8,0.2,-0.0007599808502946208,0.007776365621142659,2,2,0.013649649057932423,2,2,0.010579332088348384,2,1,0.008118065185242584,2,2,0.011937254901960782,2,2,low_0.1__high_0.9__min_2,0.1,0.9,2,True,True,True,True,True,True
"35,45",0.8,0.2,-0.0007599808502946208,0.007776365621142659,2,2,0.013649649057932423,2,2,0.010579332088348384,2,1,0.008118065185242584,2,2,0.011937254901960782,2,2,low_0.15__high_0.9__min_2,0.15,0.9,2,True,True,True,True,True,True
"35,45",0.7666666666666666,0.2,-0.00022098605384774929,0.00771759434779287,2,2,0.013173562870381744,2,2,0.01104815094209779,2,2,0.008102090646193726,2,2,0.01154509803921568,2,2,low_0.05__high_0.85__min_2,0.05,0.85,2,True,True,True,True,True,True
"35,45",0.7666666666666666,0.13333333333333333,0.00015912207867447108,0.00771759434779287,2,2,0.013173562870381744,2,2,0.01104815094209779,2,2,0.008102090646193726,2,2,0.01154509803921568,2,2,low_0.05__high_0.9__min_2,0.05,0.9,2,True,True,True,True,True,True
