model,n_rows,train_log_rmse,leave_condition_out_log_rmse,coefficients
power_overlap,43,0.41057335731264727,0.4547895560586871,"{""intercept"": -1.5684253676368343, ""log_n"": -0.6594939205547636, ""nonlinear"": 0.5344695817750008, ""overlap"": 10.879208588483124}"
full,43,0.39693668929032105,0.4593394472380667,"{""intercept"": -1.246496163322537, ""log_n"": -0.6631387792569812, ""method_hybrid_curriculum"": -0.4504684909911147, ""method_operator"": -0.27297515886340123, ""method_pair_consistency"": -0.5230525134680187, ""nonlinear"": 0.5300183285013292, ""overlap"": 11.016364755657358}"
power,43,0.5534826568113893,0.5994663430531754,"{""intercept"": 8.349233266420685, ""log_n"": -0.6110694066579859}"
constant,43,0.8675430803789466,0.8810817214135543,"{""intercept"": 3.6170575621775725}"
