noise,metric,n_seeds,detector_trigger_rate,clean_mean,corrupted_strategy_mean,detector_mean,oracle_mean,mean_delta_detector_vs_clean,sd_delta_detector_vs_clean,ci95_low,ci95_high,positive_seed_count,negative_seed_count,mean_regret_detector_vs_oracle,regret_ci95_low,regret_ci95_high
0,global_accuracy,15,0.13333333333333333,0.567843137254902,0.5653960784313725,0.5673725490196079,0.567843137254902,-0.00047058823529411896,0.0019565219779301203,-0.0015541817515868565,0.0006130052809986187,1,1,-0.00047058823529411896,-0.0015541817515868565,0.0006130052809986187
0,global_qwk,15,0.13333333333333333,0.7219566328755629,0.7205804833142454,0.7217020346742722,0.7219566328755629,-0.00025459820129093794,0.0015829573762223346,-0.0011312979617796744,0.0006221015591977986,1,1,-0.00025459820129093794,-0.0011312979617796744,0.0006221015591977986
0,macro_f1,15,0.13333333333333333,0.5046006402446166,0.499331590916465,0.5046874754784967,0.5046006402446166,8.68352338801485e-05,0.0008641662651330806,-0.0003917716882295514,0.0005654421559898484,1,1,8.68352338801485e-05,-0.0003917716882295514,0.0005654421559898484
0,mean_site_qwk,15,0.13333333333333333,0.7234468938151006,0.72362585179712,0.7234428740651974,0.7234468938151006,-4.019749903272363e-06,0.0011476207110986604,-0.0006396141238675113,0.0006315746240609666,1,1,-4.019749903272363e-06,-0.0006396141238675113,0.0006315746240609666
0,worst_site_qwk,15,0.13333333333333333,0.686151497515793,0.6861792589346805,0.6876597398931953,0.686151497515793,0.0015082423774022062,0.005639540523103032,-0.0016151416758501008,0.004631626430654514,2,0,0.0015082423774022062,-0.0016151416758501008,0.004631626430654514
25,global_accuracy,15,0.3333333333333333,0.5456941176470589,0.5529725490196078,0.547921568627451,0.5529725490196078,0.0022274509803921574,0.005824839283408733,-0.00099855831168152,0.005453460272465835,4,1,-0.005050980392156871,-0.009469025367018618,-0.0006329354172951249
25,global_qwk,15,0.3333333333333333,0.7081539626486426,0.7138750471619463,0.7094411764717671,0.7138750471619463,0.001287213823124526,0.005476905159406437,-0.0017460968102482948,0.004320524456497347,3,2,-0.004433870690179324,-0.009303431886234326,0.000435690505875678
25,macro_f1,15,0.3333333333333333,0.47653365620509036,0.4853532822907864,0.47943657345136337,0.4853532822907864,0.0029029172462730142,0.008571571836490635,-0.0018443331149444572,0.007650167607490486,4,1,-0.0059167088394229605,-0.013048071752264419,0.0012146540734184969
25,mean_site_qwk,15,0.3333333333333333,0.7102961218327134,0.7160762655794711,0.7112643626392996,0.7160762655794711,0.0009682408065864105,0.007177419009374931,-0.0030068766671784044,0.004943358280351225,3,2,-0.004811902940171457,-0.01079669130032982,0.0011728854199869057
25,worst_site_qwk,15,0.3333333333333333,0.6707992566013253,0.6761008929781999,0.6743276307158295,0.6761008929781999,0.003528374114504144,0.014092860424184927,-0.004276768047926872,0.01133351627693516,3,2,-0.0017732622623702601,-0.010126069945028892,0.006579545420288371
35,global_accuracy,15,0.6,0.5355294117647059,0.5453176470588235,0.5428078431372548,0.5453176470588235,0.0072784313725490135,0.00773637135569201,0.0029937456213930246,0.011563117123705002,9,0,-0.002509803921568632,-0.006919274500443315,0.0018996666573060511
35,global_qwk,15,0.6,0.7021036219466298,0.7080857343295306,0.7075213086932057,0.7080857343295306,0.005417686746575871,0.008662333730690884,0.0006201691247851842,0.010215204368366558,8,1,-0.0005644256363248538,-0.0023019976430585913,0.0011731463704088836
35,macro_f1,15,0.6,0.46456015631756925,0.4747371410156424,0.4729443378737816,0.4747371410156424,0.008384181556212351,0.010223210637848784,0.0027221931462546372,0.014046169966170065,9,0,-0.0017928031418607882,-0.008412617651659189,0.004827011367937612
35,mean_site_qwk,15,0.6,0.7041348733445625,0.7109338577594347,0.7100545494419308,0.7109338577594347,0.005919676097368268,0.007603144737730261,0.0017087761257994268,0.01013057606893711,9,0,-0.0008793083175040684,-0.0030111573215049563,0.0012525406864968198
35,worst_site_qwk,15,0.6,0.6630820077647037,0.6701564498460572,0.6729910416160367,0.6701564498460572,0.009909033851333023,0.01484557118821422,0.0016870129046377066,0.01813105479802834,7,2,0.002834591769979459,-0.0032377462690594025,0.00890692980901832
45,global_accuracy,15,0.7333333333333333,0.5213803921568626,0.5389803921568627,0.5341803921568626,0.5389803921568627,0.012799999999999997,0.010331834864429585,0.0070778515157047615,0.01852214848429523,11,0,-0.004799999999999997,-0.009481175400263015,-0.00011882459973697884
45,global_qwk,15,0.7333333333333333,0.6930677626855606,0.7046875088328038,0.7035947429286352,0.7046875088328038,0.010526980243074443,0.014683035369030064,0.0023949775848624514,0.018658982901286432,10,1,-0.0010927659041687502,-0.0032464778969613795,0.0010609460886238792
45,macro_f1,15,0.7333333333333333,0.4479737197891679,0.4678853575701733,0.4630925555794649,0.4678853575701733,0.01511883579029694,0.012502762398668483,0.00819434814141366,0.02204332343918022,11,0,-0.004792801990708506,-0.010184271729502484,0.0005986677480854718
45,mean_site_qwk,15,0.7333333333333333,0.6960332618744082,0.7084003325573617,0.7066522698634916,0.7084003325573617,0.010619007989083417,0.013236816493818592,0.0032879743023405,0.017950041675826336,10,1,-0.0017480626938700006,-0.004539714057354257,0.001043588669614256
45,worst_site_qwk,15,0.7333333333333333,0.650804072253538,0.664855411716722,0.6637063475517192,0.664855411716722,0.012902275298181325,0.013428175313164394,0.00546526009001031,0.020339290506352338,10,1,-0.0011490641650026964,-0.00336832370201582,0.0010701953720104272
